tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,other_special_charges,impairment_of_capital_assets,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_taxes,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,depreciation_income_statement,selling_general_and_administration,general_and_administrative_expense,other_gand_a,insurance_and_claims,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
12635054.7,0.2621,159102000.0,48207000.0,48207000.0,166125000.0,53535000.0,61731000.0,207309000.0,153774000.0,2570000.0,19000.0,3947000.0,130553054.7,166125000.0,131727000.0,99688000.0,,,,,166125000.0,166125000.0,166125000.0,166125000.0,166125000.0,-12370000.0,153755000.0,46861000.0,-1346000.0,46807000.0,51443000.0,2917000.0,1719000.0,1400000.0,2570000.0,1358000.0,19000.0,3947000.0,104324000.0,16857000.0,92000.0,396000.0,396000.0,396000.0,16369000.0,16369000.0,2841000.0,560000.0,12968000.0,121181000.0,114870000.0,236051000.0,236051000.0,2022-12-31
-285200.0,0.4,150931000.0,-713000.0,-713000.0,111391000.0,45390000.0,51965000.0,150218000.0,104828000.0,5553000.0,17000.0,6931000.0,111818800.0,111391000.0,114460000.0,98627000.0,453159000.0,452370000.0,0.246,0.246,111391000.0,111391000.0,111391000.0,111391000.0,111391000.0,-6580000.0,104811000.0,-747000.0,-34000.0,-1378000.0,,1378000.0,,665000.0,5553000.0,1361000.0,17000.0,6931000.0,100005000.0,17496000.0,574000.0,391000.0,391000.0,391000.0,16531000.0,16531000.0,3174000.0,554000.0,12803000.0,117501000.0,96964000.0,214465000.0,214465000.0,2023-03-31
137388.283203,0.04157,199171000.0,3305000.0,3305000.0,141448000.0,54857000.0,58642000.0,202476000.0,147619000.0,6829000.0,36000.0,8181000.0,138280388.283203,141448000.0,127816000.0,135216000.0,453575000.0,452892000.0,0.312,0.312,141448000.0,141448000.0,141448000.0,141448000.0,141448000.0,6135000.0,147583000.0,3598000.0,293000.0,3087000.0,5027000.0,1940000.0,,218000.0,6829000.0,1316000.0,36000.0,8181000.0,137156000.0,14700000.0,139000.0,383000.0,383000.0,383000.0,14178000.0,14178000.0,4115000.0,530000.0,9533000.0,151856000.0,113116000.0,264972000.0,264972000.0,2023-06-30
-36666.529511,0.04234,169244000.0,-866000.0,-866000.0,116371000.0,46784000.0,49808000.0,168378000.0,121594000.0,8430000.0,78000.0,9837000.0,117200333.470489,116371000.0,109185000.0,112216000.0,453538000.0,452975000.0,0.257,0.257,116371000.0,116371000.0,116371000.0,116371000.0,116371000.0,5145000.0,121516000.0,-866000.0,,-1736000.0,0.0,1736000.0,0.0,870000.0,8430000.0,1329000.0,78000.0,9837000.0,113952000.0,12942000.0,93000.0,349000.0,349000.0,349000.0,12500000.0,12500000.0,2778000.0,505000.0,9217000.0,126894000.0,96243000.0,223137000.0,223137000.0,2023-09-30
232800.0,0.4,233538000.0,582000.0,582000.0,168435000.0,68895000.0,67758000.0,234120000.0,165225000.0,8542000.0,76000.0,9914000.0,168085800.0,168435000.0,152054000.0,159211000.0,,,,,168435000.0,168435000.0,168435000.0,168435000.0,168435000.0,-3286000.0,165149000.0,-4811000.0,-5393000.0,0.0,0.0,,0.0,582000.0,8542000.0,1296000.0,76000.0,9914000.0,161418000.0,15770000.0,119000.0,369000.0,369000.0,369000.0,15282000.0,15282000.0,3875000.0,509000.0,10898000.0,177188000.0,136284000.0,313472000.0,313472000.0,2023-12-31
