tax_effect_of_unusual_items,tax_rate_for_calcs,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,preferred_stock_dividends,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,net_non_operating_interest_income_expense,interest_expense_non_operating,other_operating_expenses,selling_general_and_administration,general_and_administrative_expense,salaries_and_wages,total_revenue,operating_revenue,date
0.0,0.225841,-789000000.0,227000000.0,-868000000.0,-53000000.0,53000000.0,-789000000.0,-789000000.0,2817000000.0,371500000.0,368600000.0,0.097667,0.097667,-815000000.0,-815000000.0,26000000.0,-789000000.0,-76000000.0,-713000000.0,-713000000.0,-208000000.0,-921000000.0,213000000.0,-53000000.0,53000000.0,572000000.0,520000000.0,520000000.0,520000000.0,1896000000.0,1896000000.0,2022-12-31
0.0,0.21,177000000.0,224000000.0,-398000000.0,-61000000.0,61000000.0,177000000.0,177000000.0,2816000000.0,364100000.0,361900000.0,0.45,0.45,163000000.0,163000000.0,14000000.0,177000000.0,-89000000.0,266000000.0,266000000.0,-725000000.0,-459000000.0,251000000.0,-61000000.0,61000000.0,423000000.0,583000000.0,583000000.0,583000000.0,2357000000.0,2357000000.0,2023-03-31
0.0,0.21,759000000.0,156000000.0,594000000.0,-55000000.0,55000000.0,759000000.0,759000000.0,1838000000.0,356100000.0,355200000.0,2.06,2.06,733000000.0,733000000.0,26000000.0,759000000.0,-72000000.0,831000000.0,831000000.0,-292000000.0,539000000.0,258000000.0,-55000000.0,55000000.0,466000000.0,566000000.0,566000000.0,566000000.0,2377000000.0,2377000000.0,2023-06-30
0.0,0.230508,1064000000.0,196000000.0,1530000000.0,-55000000.0,55000000.0,1064000000.0,1064000000.0,2149000000.0,348000000.0,346400000.0,3.02,3.03,1050000000.0,1050000000.0,14000000.0,1064000000.0,-71000000.0,1135000000.0,1135000000.0,340000000.0,1475000000.0,266000000.0,-55000000.0,55000000.0,450000000.0,593000000.0,593000000.0,593000000.0,3624000000.0,3624000000.0,2023-09-30
0.0,0.27907,-698000000.0,236000000.0,-760000000.0,-57000000.0,57000000.0,-698000000.0,-698000000.0,2987000000.0,337200000.0,337200000.0,-2.15,-2.15,-724000000.0,-724000000.0,26000000.0,-698000000.0,-109000000.0,-589000000.0,-589000000.0,-228000000.0,-817000000.0,239000000.0,-57000000.0,57000000.0,559000000.0,586000000.0,586000000.0,586000000.0,2170000000.0,2170000000.0,2023-12-31
