tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,rent_expense_supplemental,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
80250000.0,0.25,238000000.0,321000000.0,321000000.0,-124000000.0,369000000.0,3430000000.0,559000000.0,190000000.0,-90000000.0,117000000.0,27000000.0,-364750000.0,-124000000.0,3799000000.0,956000000.0,-93000000.0,310952810.0,310952810.0,-0.4,-0.4,-124000000.0,-124000000.0,-124000000.0,3000000.0,-127000000.0,-127000000.0,3000000.0,203000000.0,73000000.0,256000000.0,-65000000.0,321000000.0,-90000000.0,117000000.0,27000000.0,-93000000.0,369000000.0,-240000000.0,609000000.0,169000000.0,440000000.0,440000000.0,276000000.0,3430000000.0,3706000000.0,3608000000.0,2022-12-31
18774193.548387,0.160463,1607000000.0,117000000.0,117000000.0,990000000.0,385000000.0,3250000000.0,1724000000.0,1339000000.0,-86000000.0,130000000.0,44000000.0,891774193.548387,990000000.0,3816000000.0,1051000000.0,664000000.0,334372336.0,317422972.0,3.0,3.1,990000000.0,990000000.0,990000000.0,-10000000.0,1000000000.0,1000000000.0,-15000000.0,194000000.0,1209000000.0,631000000.0,514000000.0,117000000.0,-86000000.0,130000000.0,44000000.0,664000000.0,566000000.0,-54000000.0,620000000.0,195000000.0,425000000.0,425000000.0,1230000000.0,3250000000.0,4480000000.0,4428000000.0,2023-03-31
-5451327.433628,0.227139,1833000000.0,-24000000.0,-24000000.0,1015000000.0,359000000.0,3482000000.0,1809000000.0,1450000000.0,-37000000.0,94000000.0,57000000.0,1033548672.566372,1015000000.0,4145000000.0,1088000000.0,1385000000.0,335471790.0,318733199.0,3.1,3.2,1015000000.0,1015000000.0,1015000000.0,-21000000.0,1036000000.0,1036000000.0,-12000000.0,308000000.0,1356000000.0,8000000.0,32000000.0,-24000000.0,-37000000.0,94000000.0,57000000.0,1385000000.0,663000000.0,-76000000.0,739000000.0,262000000.0,477000000.0,477000000.0,2048000000.0,3482000000.0,5530000000.0,5448000000.0,2023-06-30
-37705077.010839,0.24016,2353000000.0,-157000000.0,-157000000.0,1337000000.0,358000000.0,3613000000.0,2196000000.0,1838000000.0,-23000000.0,85000000.0,62000000.0,1456294922.989161,1337000000.0,4379000000.0,1118000000.0,1909000000.0,335558643.0,318827413.0,4.1,4.2,1337000000.0,1337000000.0,1337000000.0,-15000000.0,1352000000.0,1352000000.0,20000000.0,421000000.0,1753000000.0,-133000000.0,24000000.0,-157000000.0,-23000000.0,85000000.0,62000000.0,1909000000.0,766000000.0,-62000000.0,828000000.0,289000000.0,539000000.0,539000000.0,2675000000.0,3613000000.0,6288000000.0,6146000000.0,2023-09-30
70590688.651794,0.272551,1160000000.0,259000000.0,259000000.0,743000000.0,312000000.0,3996000000.0,1419000000.0,1107000000.0,9000000.0,76000000.0,85000000.0,554590688.651794,743000000.0,4824000000.0,1063000000.0,756000000.0,,,,,863000000.0,743000000.0,743000000.0,0.0,743000000.0,743000000.0,-7000000.0,281000000.0,1031000000.0,262000000.0,3000000.0,263000000.0,9000000.0,76000000.0,85000000.0,760000000.0,828000000.0,-174000000.0,1002000000.0,326000000.0,676000000.0,645000000.0,1588000000.0,3996000000.0,5584000000.0,5468000000.0,2023-12-31
