treasury_shares_number,ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,line_of_credit,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,payables,other_payable,dueto_related_parties_current,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,duefrom_related_parties_non_current,non_current_note_receivables,non_current_accounts_receivable,investments_and_advances,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,properties,current_assets,other_current_assets,restricted_cash,prepaid_assets,inventory,receivables,other_receivables,duefrom_related_parties_current,taxes_receivable,accrued_interest_receivable,loans_receivable,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,date,other_investments,investmentin_financial_assets,held_to_maturity_securities,available_for_sale_securities,long_term_equity_investment,current_deferred_assets
,3725379187.0,3725379187.0,12191275000.0,62213961000.0,69539360000.0,37083357000.0,62213961000.0,11572275000.0,68920360000.0,68920360000.0,69054438000.0,134078000.0,68920360000.0,248096000.0,248096000.0,225329000.0,-11405850000.0,80302956000.0,487000.0,487000.0,40292909000.0,6951591000.0,475000.0,351186000.0,351186000.0,6599930000.0,6599930000.0,33341318000.0,3696815000.0,3292887000.0,3292887000.0,5591345000.0,4972345000.0,619000000.0,,619000000.0,9365512000.0,11394759000.0,,11394759000.0,4572177000.0,425685000.0,814900000.0,542290000.0,5581997000.0,109347347000.0,38922672000.0,175293000.0,856958000.0,856958000.0,22934000.0,0.0,22934000.0,17925653000.0,6706399000.0,1772164000.0,4934235000.0,13235435000.0,-2768740000.0,16004175000.0,13643028000.0,194803000.0,,1458651000.0,707693000.0,0.0,70424675000.0,655576000.0,6181057000.0,2569452000.0,127558000.0,5991922000.0,121719000.0,405956000.0,660104000.0,11035000.0,717687000.0,4075421000.0,-1951419000.0,6026840000.0,54899110000.0,35485908000.0,19413202000.0,771396000.0,18641806000.0,2022-12-31,,,,,,
21249345183.0,3744497173.0,3744497173.0,13039055000.0,65363066000.0,72331241000.0,37977360000.0,65363066000.0,12534645000.0,71826831000.0,71826831000.0,71969571000.0,142740000.0,71826831000.0,-76979000.0,-76979000.0,189313000.0,-8659006000.0,80751641000.0,488000.0,488000.0,46000018000.0,7221571000.0,389000.0,353424000.0,353424000.0,6867758000.0,6867758000.0,38778447000.0,,4611232000.0,4611232000.0,6171297000.0,5666887000.0,504410000.0,504410000.0,,8720871000.0,19275047000.0,4754823000.0,14520224000.0,6588339000.0,436924000.0,1238976000.0,1238976000.0,6255985000.0,117969589000.0,41213782000.0,1090652000.0,,,5000000.0,,5000000.0,19409414000.0,6463765000.0,1523967000.0,4939798000.0,14244951000.0,,14244951000.0,,,14244951000.0,,,,76755807000.0,,7859637000.0,4244548000.0,,10161420000.0,4244548000.0,403584000.0,,,968238000.0,4545050000.0,-1888844000.0,6433894000.0,58734750000.0,28140032000.0,30594718000.0,,,2023-03-31,,,,,,
,3712387699.0,3712387699.0,14674110000.0,66407620000.0,73201007000.0,33315905000.0,66407620000.0,14176610000.0,72703507000.0,72703507000.0,72785999000.0,82492000.0,72703507000.0,1140791000.0,1140791000.0,1268614000.0,-7350273000.0,80181114000.0,489000.0,489000.0,44629190000.0,7772400000.0,389000.0,351186000.0,351186000.0,7420825000.0,7420825000.0,36856790000.0,,4734486000.0,4734486000.0,7253285000.0,6755785000.0,497500000.0,497500000.0,,8132135000.0,16736884000.0,5128458000.0,11608426000.0,4638599000.0,411976000.0,747411000.0,747411000.0,5810440000.0,117415189000.0,47242494000.0,1027847000.0,,,35040000.0,,35040000.0,24007654000.0,6295887000.0,1388864000.0,4907023000.0,15876066000.0,,15876066000.0,,,15876066000.0,,,,70172695000.0,,6061888000.0,4729002000.0,,9408336000.0,4729002000.0,425958000.0,,,655684000.0,3597692000.0,-1853198000.0,5450890000.0,54702471000.0,22952267000.0,31750204000.0,,,2023-06-30,,,,,,
,3759115494.0,3759115494.0,16705769000.0,65717257000.0,72379064000.0,31199575000.0,65717257000.0,16185737000.0,71859032000.0,71859032000.0,71966864000.0,107832000.0,71859032000.0,910574000.0,910574000.0,944527000.0,-6192231000.0,78084733000.0,483000.0,483000.0,46417882000.0,8443459000.0,389000.0,351186000.0,351186000.0,8091884000.0,8091884000.0,37974423000.0,,4712694000.0,4712694000.0,8613885000.0,8093853000.0,520032000.0,520032000.0,,8009013000.0,16638831000.0,6038166000.0,10600665000.0,3937504000.0,385264000.0,782358000.0,782358000.0,5495539000.0,118384746000.0,49210748000.0,1035737000.0,,,31020000.0,,31020000.0,24031090000.0,6141775000.0,1227537000.0,4914238000.0,17971126000.0,,17971126000.0,,,17971126000.0,,,,69173998000.0,,6156622000.0,,,8770511000.0,5268332000.0,438218000.0,,,293052000.0,2770909000.0,-1669694000.0,4440603000.0,54246865000.0,38408111000.0,15838754000.0,,,2023-09-30,,,,,,
128099376.0,3595215393.0,3723314769.0,17986170000.0,65937741000.0,72390274000.0,30229640000.0,65937741000.0,17695720000.0,72099824000.0,72099824000.0,72201105000.0,101281000.0,72099824000.0,1055409000.0,1055409000.0,866198000.0,-5672916000.0,77583054000.0,475000.0,475000.0,48130826000.0,8606843000.0,389000.0,279341000.0,279341000.0,8327113000.0,8327113000.0,39523983000.0,4833515000.0,4690872000.0,4690872000.0,9659057000.0,9368607000.0,290450000.0,,290450000.0,8145779000.0,12194760000.0,291914000.0,11902846000.0,4110017000.0,430350000.0,1033963000.0,698568000.0,6328516000.0,120331931000.0,50578308000.0,11783000.0,1113692000.0,1113692000.0,,27000000.0,192991000.0,23570988000.0,6162083000.0,1305276000.0,4856807000.0,19499771000.0,-3178579000.0,22678350000.0,14164577000.0,293928000.0,6087492000.0,1442650000.0,689703000.0,0.0,69753623000.0,630588000.0,6222745000.0,2664613000.0,304208000.0,5699984000.0,165339000.0,419270000.0,707416000.0,14664000.0,1375789000.0,3017506000.0,-1566129000.0,4583635000.0,53892674000.0,34257958000.0,19634716000.0,1640105000.0,17994611000.0,2023-12-31,16012897000.0,7121747000.0,1729602000.0,5392145000.0,436344000.0,338811000.0
