tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date,total_unusual_items,total_unusual_items_excluding_goodwill,special_income_charges,gain_on_sale_of_business
0.0,0.185008,433269000.0,263579000.0,76730000.0,1372852000.0,433269000.0,356539000.0,-31664000.0,33126000.0,1462000.0,263579000.0,263579000.0,1786463000.0,352718000.0,141168000.0,140343000.0,1.87,1.88,263579000.0,263579000.0,263579000.0,263579000.0,263579000.0,59834000.0,323413000.0,2359000.0,2359000.0,-31664000.0,33126000.0,1462000.0,352718000.0,413611000.0,413611000.0,766329000.0,1372852000.0,2139181000.0,2139181000.0,2022-12-31,,,,
0.0,0.202,398400000.0,228574000.0,77896000.0,1332004000.0,398400000.0,320504000.0,-32123000.0,34214000.0,2091000.0,228574000.0,228574000.0,1764418000.0,314605000.0,140616000.0,139757000.0,1.63,1.64,228574000.0,228574000.0,228574000.0,228574000.0,228574000.0,57716000.0,286290000.0,3808000.0,3808000.0,-32123000.0,34214000.0,2091000.0,314605000.0,432414000.0,432414000.0,747019000.0,1332004000.0,2079023000.0,2079023000.0,2023-03-31,,,,
0.0,0.193,412618000.0,242239000.0,78791000.0,1341250000.0,412618000.0,333827000.0,-31151000.0,33804000.0,2653000.0,242239000.0,242239000.0,1775590000.0,324496000.0,140578000.0,139862000.0,1.72,1.73,242239000.0,242239000.0,242239000.0,242239000.0,242239000.0,57784000.0,300023000.0,6678000.0,6678000.0,-31151000.0,33804000.0,2653000.0,324496000.0,434340000.0,434340000.0,758836000.0,1341250000.0,2100086000.0,2100086000.0,2023-06-30,,,,
0.0,0.183,467166000.0,289753000.0,80315000.0,1360253000.0,467166000.0,386851000.0,-28581000.0,32389000.0,3808000.0,289753000.0,289753000.0,1780498000.0,372770000.0,140615000.0,139878000.0,2.06,2.07,289753000.0,289753000.0,289753000.0,289753000.0,289753000.0,64709000.0,354462000.0,10273000.0,10273000.0,-28581000.0,32389000.0,3808000.0,372770000.0,420245000.0,420245000.0,793015000.0,1360253000.0,2153268000.0,2153268000.0,2023-09-30,,,,
0.0,0.100139,440590000.0,296262000.0,80461000.0,1319994000.0,440590000.0,360129000.0,-25954000.0,30898000.0,4944000.0,296262000.0,296262000.0,1751285000.0,354472000.0,140586000.0,139893000.0,2.11,2.12,296262000.0,296262000.0,296262000.0,296262000.0,296262000.0,32969000.0,329231000.0,713000.0,713000.0,-25954000.0,30898000.0,4944000.0,354472000.0,431291000.0,431291000.0,785763000.0,1319994000.0,2105757000.0,2105757000.0,2023-12-31,,,,
110758087.0,0.209,390013000.0,632221000.0,84709000.0,1336686000.0,919956000.0,835247000.0,-31608000.0,36365000.0,4757000.0,213036087.0,632221000.0,1799810000.0,294131000.0,139869000.0,139051000.0,4.52,4.55,632221000.0,632221000.0,632221000.0,632221000.0,632221000.0,166661000.0,798882000.0,536359000.0,6416000.0,-31608000.0,36365000.0,4757000.0,294131000.0,463124000.0,463124000.0,757255000.0,1336686000.0,2093941000.0,2093941000.0,2024-03-31,529943000.0,529943000.0,529943000.0,529943000.0
