tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,operating_income,operating_expense,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.218667,116624000.0,71862000.0,9330000.0,780189000.0,116624000.0,107294000.0,-15483000.0,15483000.0,71862000.0,71862000.0,988021000.0,107294000.0,39168000.0,38843000.0,1.82,1.84,71475000.0,71475000.0,387000.0,71862000.0,71862000.0,71862000.0,127000.0,20076000.0,91811000.0,-15483000.0,,15483000.0,107899000.0,207832000.0,207832000.0,315731000.0,780189000.0,1095920000.0,1095920000.0,2022-12-31
0.0,0.218,155538000.0,101699000.0,9767000.0,837019000.0,155538000.0,145771000.0,-15835000.0,,101699000.0,101699000.0,1061003000.0,145771000.0,39189000.0,38877000.0,2.58,2.6,101151000.0,101151000.0,548000.0,101699000.0,101699000.0,101699000.0,36000.0,28273000.0,129936000.0,-15835000.0,15835000.0,,145771000.0,223984000.0,223984000.0,369755000.0,837019000.0,1206774000.0,1206774000.0,2023-03-31
0.0,0.251,336771000.0,232250000.0,9762000.0,1289580000.0,336771000.0,327009000.0,-16892000.0,,232250000.0,232250000.0,1530354000.0,327009000.0,39115000.0,38837000.0,5.91,5.95,231031000.0,231031000.0,1219000.0,232250000.0,232250000.0,232250000.0,120000.0,77987000.0,310117000.0,-16892000.0,16892000.0,,327009000.0,240774000.0,240774000.0,567783000.0,1289580000.0,1857363000.0,1857363000.0,2023-06-30
0.0,0.238,204694000.0,137843000.0,10251000.0,1045676000.0,204694000.0,194443000.0,-13599000.0,13599000.0,137843000.0,137843000.0,1279964000.0,194443000.0,39023000.0,38735000.0,3.51,3.54,137117000.0,137117000.0,726000.0,137843000.0,137843000.0,137843000.0,78000.0,43079000.0,180844000.0,-13599000.0,,13599000.0,194443000.0,234288000.0,234288000.0,428731000.0,1045676000.0,1474407000.0,1474407000.0,2023-09-30
0.0,0.234161,89704000.0,51437000.0,10360000.0,709275000.0,89704000.0,79344000.0,-12104000.0,12104000.0,51437000.0,51437000.0,923706000.0,79344000.0,,,,,51170000.0,51170000.0,267000.0,51437000.0,51437000.0,51437000.0,-58000.0,15745000.0,67240000.0,-12104000.0,,12104000.0,79344000.0,214431000.0,214431000.0,293775000.0,709275000.0,1003050000.0,1003050000.0,2023-12-31
