preferred_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,preferred_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,other_equity_interest,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,treasury_stock,retained_earnings,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,liabilities_heldfor_sale_non_current,employee_benefits,tradeand_other_payables_non_current,non_current_deferred_liabilities,non_current_deferred_revenue,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_debt,other_current_borrowings,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,interest_payable,payables,other_payable,total_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,defined_pension_benefit,non_current_prepaid_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,non_current_accounts_receivable,investments_and_advances,investmentin_financial_assets,held_to_maturity_securities,available_for_sale_securities,long_term_equity_investment,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,hedging_assets_current,assets_held_for_sale_current,restricted_cash,prepaid_assets,inventory,other_inventories,finished_goods,raw_materials,receivables,receivables_adjustments_allowances,other_receivables,taxes_receivable,accrued_interest_receivable,accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date,treasury_shares_number,other_investments
,1089107878.0,1089107878.0,15089000000.0,34744000000.0,2999000000.0,68711000000.0,9285000000.0,3005000000.0,2393000000.0,36360000000.0,6000000.0,64959000000.0,37582000000.0,1216000000.0,36366000000.0,34172000000.0,-1311000000.0,-1311000000.0,81209000000.0,84693000000.0,21000000.0,15000000.0,6000000.0,150206000000.0,93257000000.0,40526000000.0,1137000000.0,16021000000.0,2581000000.0,2006000000.0,2006000000.0,30986000000.0,2393000000.0,28593000000.0,56949000000.0,10624000000.0,,,3758000000.0,3758000000.0,3758000000.0,4662000000.0,37905000000.0,18518000000.0,400000000.0,19387000000.0,,743000000.0,18644000000.0,187788000000.0,121493000000.0,4102000000.0,2578000000.0,670000000.0,11705000000.0,11705000000.0,9997000000.0,44602000000.0,36048000000.0,,,8554000000.0,33361000000.0,7563000000.0,25798000000.0,14478000000.0,,14478000000.0,1415000000.0,2137000000.0,6913000000.0,3483000000.0,530000000.0,0.0,66234000000.0,93000000.0,482000000.0,1469000000.0,0.0,395000000.0,17403000000.0,2017000000.0,5030000000.0,10356000000.0,21521000000.0,-859000000.0,3088000000.0,,457000000.0,17976000000.0,14916000000.0,24871000000.0,7609000000.0,17262000000.0,2022-12-31,,
,1088960029.0,1088960029.0,10420000000.0,22421000000.0,12552000000.0,54070000000.0,12109000000.0,12555000000.0,,31649000000.0,3000000.0,51811000000.0,32823000000.0,1171000000.0,31652000000.0,30730000000.0,-3289000000.0,-3289000000.0,80762000000.0,84955000000.0,18000000.0,15000000.0,3000000.0,131649000000.0,83472000000.0,50018000000.0,1551000000.0,10244000000.0,,1500000000.0,1500000000.0,20159000000.0,,20159000000.0,48177000000.0,14266000000.0,16586000000.0,16586000000.0,2262000000.0,2262000000.0,2262000000.0,,15063000000.0,,,15063000000.0,,,15063000000.0,164472000000.0,104185000000.0,18681000000.0,,,10344000000.0,10344000000.0,5631000000.0,38262000000.0,38262000000.0,37992000000.0,270000000.0,,19097000000.0,5990000000.0,13107000000.0,12170000000.0,-16640000000.0,28810000000.0,,28810000000.0,,,,,60286000000.0,1464000000.0,,1353000000.0,,,16198000000.0,1975000000.0,4223000000.0,10000000000.0,16456000000.0,-787000000.0,2244000000.0,1190000000.0,,14212000000.0,11123000000.0,24815000000.0,12814000000.0,12001000000.0,2023-03-31,,
,1088378193.0,1088378193.0,9016000000.0,21782000000.0,11892000000.0,52973000000.0,12105000000.0,11895000000.0,,31191000000.0,3000000.0,51094000000.0,32368000000.0,1174000000.0,31194000000.0,30425000000.0,-3573000000.0,-3573000000.0,80524000000.0,84848000000.0,18000000.0,15000000.0,3000000.0,130638000000.0,82530000000.0,49740000000.0,1565000000.0,9941000000.0,,1384000000.0,1384000000.0,19900000000.0,,19900000000.0,48108000000.0,13569000000.0,17142000000.0,17142000000.0,1882000000.0,1882000000.0,1882000000.0,,15515000000.0,,,15515000000.0,4496000000.0,481000000.0,10538000000.0,163006000000.0,102791000000.0,17933000000.0,,,10354000000.0,10354000000.0,5440000000.0,37392000000.0,37392000000.0,,37392000000.0,,19299000000.0,5954000000.0,13345000000.0,12373000000.0,-16771000000.0,29144000000.0,,29144000000.0,,,,,60213000000.0,1638000000.0,,1331000000.0,,,16789000000.0,2048000000.0,4459000000.0,10282000000.0,16804000000.0,-764000000.0,2037000000.0,1163000000.0,,14767000000.0,11758000000.0,23651000000.0,10885000000.0,12766000000.0,2023-06-30,,
40000.0,1088386043.0,1088386043.0,7696000000.0,20823000000.0,9698000000.0,49488000000.0,8270000000.0,9698000000.0,,28665000000.0,,48154000000.0,29832000000.0,1167000000.0,28665000000.0,27228000000.0,-3351000000.0,-3351000000.0,80244000000.0,85017000000.0,15000000.0,15000000.0,0.0,126830000000.0,78665000000.0,47009000000.0,1112000000.0,9718000000.0,,1337000000.0,1337000000.0,19489000000.0,,19489000000.0,48165000000.0,13861000000.0,17185000000.0,17185000000.0,1334000000.0,1334000000.0,1334000000.0,,15785000000.0,,,15785000000.0,4727000000.0,365000000.0,10693000000.0,156662000000.0,100227000000.0,17867000000.0,,,10235000000.0,10235000000.0,5427000000.0,35528000000.0,35528000000.0,,35528000000.0,,18967000000.0,5790000000.0,13177000000.0,12203000000.0,-16767000000.0,28970000000.0,,28970000000.0,,,,,56435000000.0,1438000000.0,,1375000000.0,,,17020000000.0,2147000000.0,4140000000.0,10733000000.0,16421000000.0,,1875000000.0,,,14546000000.0,,20181000000.0,7054000000.0,13127000000.0,2023-09-30,,
40000.0,1088415995.0,1088415995.0,3997000000.0,22937000000.0,8298000000.0,48342000000.0,8922000000.0,8298000000.0,1973000000.0,27378000000.0,,47089000000.0,28580000000.0,1202000000.0,27378000000.0,26962000000.0,-6150000000.0,-6150000000.0,79976000000.0,86527000000.0,15000000.0,15000000.0,0.0,134465000000.0,83589000000.0,45977000000.0,1193000000.0,11214000000.0,2182000000.0,1339000000.0,1339000000.0,21684000000.0,1973000000.0,19711000000.0,50876000000.0,9561000000.0,19677000000.0,19677000000.0,1253000000.0,1253000000.0,1253000000.0,4001000000.0,16384000000.0,323000000.0,323000000.0,16061000000.0,4326000000.0,1057000000.0,10678000000.0,163045000000.0,103247000000.0,3253000000.0,1468000000.0,608000000.0,10575000000.0,10575000000.0,8899000000.0,46870000000.0,38000000000.0,37670000000.0,38000000000.0,7931000000.0,19080000000.0,5695000000.0,13385000000.0,12494000000.0,,12494000000.0,1840000000.0,1053000000.0,6280000000.0,2852000000.0,469000000.0,0.0,59798000000.0,495000000.0,437000000.0,1985000000.0,,248000000.0,16528000000.0,1599000000.0,3720000000.0,11209000000.0,17432000000.0,,1500000000.0,,466000000.0,15466000000.0,,22673000000.0,5706000000.0,16967000000.0,2023-12-31,0.0,939000000.0
40000.0,1094606676.0,1094606676.0,2078000000.0,20525000000.0,11004000000.0,50380000000.0,8505000000.0,11004000000.0,,29855000000.0,,49348000000.0,31103000000.0,1248000000.0,29855000000.0,25886000000.0,-5603000000.0,-5603000000.0,78508000000.0,88065000000.0,15000000.0,15000000.0,0.0,132839000000.0,81753000000.0,48792000000.0,1169000000.0,11002000000.0,,1297000000.0,1297000000.0,19493000000.0,,19493000000.0,51086000000.0,14153000000.0,20718000000.0,20718000000.0,1032000000.0,1032000000.0,1032000000.0,,15183000000.0,,,15183000000.0,4241000000.0,456000000.0,10486000000.0,163942000000.0,104352000000.0,18704000000.0,,,10316000000.0,10316000000.0,5431000000.0,38705000000.0,38705000000.0,,38705000000.0,,18851000000.0,5547000000.0,13304000000.0,12345000000.0,-16935000000.0,29280000000.0,,29280000000.0,,,,,59591000000.0,1650000000.0,,1507000000.0,,,17603000000.0,1986000000.0,3952000000.0,11665000000.0,16647000000.0,,1547000000.0,,,15100000000.0,,22184000000.0,3737000000.0,18447000000.0,2024-03-31,,
