ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,tradeand_other_payables_non_current,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,payables,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,current_deferred_assets,prepaid_assets,inventory,receivables,receivables_adjustments_allowances,other_receivables,taxes_receivable,accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date,cash_financial
952391628.0,952391628.0,115722000.0,4406143000.0,4854803000.0,1860128000.0,4406143000.0,113753000.0,4852834000.0,4854803000.0,4852834000.0,,4852834000.0,-198936000.0,-198936000.0,4201961000.0,849761000.0,48000.0,48000.0,0.0,740843000.0,236366000.0,65275000.0,77452000.0,77452000.0,93639000.0,91670000.0,1969000.0,504477000.0,19319000.0,19319000.0,22083000.0,22083000.0,,463075000.0,,463075000.0,16101000.0,16101000.0,446974000.0,5593677000.0,3229072000.0,87370000.0,446691000.0,51847000.0,394844000.0,2695011000.0,-871819000.0,3566830000.0,112530000.0,613559000.0,1245331000.0,1595410000.0,0.0,2364605000.0,20597000.0,116526000.0,20597000.0,53866000.0,634225000.0,-7764000.0,494718000.0,5261000.0,142010000.0,1539391000.0,,1539391000.0,2022-10-31,
953128296.0,953128296.0,110076000.0,4758420000.0,5215598000.0,2151158000.0,4758420000.0,108130000.0,5213652000.0,5215598000.0,5213652000.0,,5213652000.0,-156507000.0,-156507000.0,4495102000.0,875009000.0,48000.0,48000.0,0.0,718756000.0,231133000.0,65322000.0,76471000.0,76471000.0,89340000.0,87394000.0,1946000.0,487623000.0,23796000.0,23796000.0,20736000.0,20736000.0,,443091000.0,,443091000.0,3820000.0,3820000.0,439271000.0,5932408000.0,3293627000.0,75466000.0,455232000.0,51186000.0,404046000.0,2762929000.0,-909874000.0,3672803000.0,106656000.0,629742000.0,1288499000.0,1647906000.0,0.0,2638781000.0,26532000.0,133598000.0,,52071000.0,765628000.0,-8599000.0,613670000.0,436000.0,160121000.0,1660952000.0,,1660952000.0,2023-01-31,
954260050.0,954260050.0,129284000.0,5136106000.0,5614790000.0,2494466000.0,5136106000.0,106916000.0,5592422000.0,5614790000.0,5592422000.0,,5592422000.0,-152459000.0,-152459000.0,4843338000.0,901495000.0,48000.0,48000.0,0.0,757383000.0,250819000.0,65745000.0,76690000.0,76690000.0,108384000.0,86016000.0,22368000.0,506564000.0,25664000.0,25664000.0,20900000.0,20900000.0,,460000000.0,,460000000.0,18534000.0,18534000.0,441466000.0,6349805000.0,3348775000.0,76266000.0,456316000.0,49676000.0,406640000.0,2816193000.0,-942814000.0,3759007000.0,105260000.0,653764000.0,1301730000.0,1698253000.0,0.0,3001030000.0,27862000.0,119724000.0,,44999000.0,694262000.0,-8118000.0,533792000.0,428000.0,168160000.0,2114183000.0,,2114183000.0,2023-04-30,
957344162.0,957344162.0,120453000.0,5530449000.0,5998343000.0,2769835000.0,5530449000.0,109550000.0,5987440000.0,5998343000.0,5987440000.0,,5987440000.0,-141006000.0,-141006000.0,5189440000.0,938910000.0,96000.0,96000.0,0.0,750439000.0,257670000.0,69193000.0,89492000.0,89492000.0,98985000.0,88082000.0,10903000.0,492769000.0,164593000.0,164593000.0,21468000.0,21468000.0,50914000.0,255794000.0,71916000.0,183878000.0,3862000.0,4374000.0,180016000.0,6737879000.0,3475275000.0,65806000.0,456991000.0,62702000.0,394289000.0,2952478000.0,-978224000.0,3930702000.0,108139000.0,670742000.0,1339820000.0,1812001000.0,0.0,3262604000.0,26310000.0,123725000.0,,39973000.0,708612000.0,-8640000.0,553595000.0,6574000.0,157083000.0,2363984000.0,1406589000.0,957395000.0,2023-07-31,
960208274.0,960208274.0,132863000.0,5828659000.0,6420879000.0,2960473000.0,5828659000.0,123401000.0,6411417000.0,6420879000.0,6436639000.0,25222000.0,6411417000.0,-177359000.0,-177359000.0,5521256000.0,1067424000.0,96000.0,96000.0,0.0,897147000.0,272730000.0,69982000.0,91821000.0,91821000.0,110927000.0,101465000.0,9462000.0,624417000.0,27174000.0,27174000.0,21936000.0,21936000.0,,575307000.0,,575307000.0,80106000.0,80106000.0,495201000.0,7333786000.0,3748896000.0,100911000.0,582758000.0,81832000.0,500926000.0,3065227000.0,-1009620000.0,4074847000.0,121690000.0,690975000.0,1365786000.0,1896396000.0,0.0,3584890000.0,28145000.0,127512000.0,,42631000.0,756053000.0,-9591000.0,593729000.0,418000.0,171497000.0,2630549000.0,48982000.0,2581567000.0,2023-10-31,
961311496.0,961311496.0,115552000.0,6192988000.0,6788053000.0,3222463000.0,6192988000.0,115099000.0,6787600000.0,6788053000.0,6812714000.0,25114000.0,6787600000.0,-145279000.0,-145279000.0,5845438000.0,1087345000.0,96000.0,96000.0,0.0,785806000.0,259783000.0,71314000.0,94140000.0,94140000.0,94329000.0,93876000.0,453000.0,526023000.0,26204000.0,26204000.0,21223000.0,21223000.0,,478596000.0,,478596000.0,4740000.0,4740000.0,473856000.0,7598520000.0,3850034000.0,99873000.0,594612000.0,84049000.0,510563000.0,3155549000.0,-1053889000.0,4209438000.0,112838000.0,729322000.0,1413781000.0,1953497000.0,0.0,3748486000.0,36310000.0,137907000.0,,42812000.0,863387000.0,-13644000.0,683517000.0,17030000.0,176484000.0,2668070000.0,1411122000.0,1256948000.0,2024-01-31,1256948000.0
