tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,operating_income,operating_expense,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.21,-67492000.0,-7193000.0,2077000.0,171118000.0,-67492000.0,-69569000.0,-7193000.0,-7193000.0,275881000.0,-69569000.0,58235506.0,58235506.0,-0.12,-0.12,-7193000.0,-7193000.0,0.0,-7193000.0,60793000.0,-67986000.0,-67986000.0,251000.0,-67735000.0,1834000.0,1834000.0,-69569000.0,104763000.0,50740000.0,54023000.0,35194000.0,171118000.0,206312000.0,206312000.0,2022-12-31
0.0,0.000307,-55648000.0,-6118000.0,2069000.0,224007000.0,-55648000.0,-57717000.0,-6118000.0,-6118000.0,324571000.0,-57717000.0,60503119.0,60503119.0,-0.1,-0.1,-6118000.0,-6118000.0,0.0,-6118000.0,49298000.0,-55416000.0,-55416000.0,-17000.0,-55433000.0,2284000.0,2284000.0,-57717000.0,100564000.0,49666000.0,50898000.0,42847000.0,224007000.0,266854000.0,266854000.0,2023-03-31
0.0,0.21,-39549000.0,-4347000.0,2460000.0,258928000.0,-39549000.0,-42009000.0,-4347000.0,-4347000.0,353846000.0,-42009000.0,61782886.0,61782886.0,-0.07,-0.07,-4347000.0,-4347000.0,0.0,-4347000.0,34730000.0,-39077000.0,-39077000.0,5000.0,-39072000.0,2937000.0,2937000.0,-42009000.0,94918000.0,48845000.0,46073000.0,52909000.0,258928000.0,311837000.0,311837000.0,2023-06-30
0.0,0.09665,-49230000.0,-6208000.0,4705000.0,333099000.0,-49230000.0,-53935000.0,-6208000.0,-6208000.0,445823000.0,-53935000.0,76021439.0,76021439.0,-0.08,-0.08,-6208000.0,-6208000.0,0.0,-6208000.0,39207000.0,-45415000.0,-45415000.0,-4859000.0,-50274000.0,3661000.0,3661000.0,-53935000.0,112724000.0,45791000.0,66933000.0,58789000.0,333099000.0,391888000.0,391888000.0,2023-09-30
0.0,0.21,-15852000.0,-1928000.0,3197000.0,298343000.0,-15852000.0,-19049000.0,-1928000.0,-1928000.0,387499000.0,-19049000.0,83320943.0,83320943.0,-0.02,-0.02,-1928000.0,-1928000.0,,-1928000.0,11039000.0,-12967000.0,-12967000.0,117000.0,-12850000.0,6199000.0,6199000.0,-19049000.0,89156000.0,42144000.0,47012000.0,70107000.0,298343000.0,368450000.0,368450000.0,2023-12-31
