treasury_shares_number,ordinary_shares_number,share_issued,tangible_book_value,invested_capital,working_capital,net_tangible_assets,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_revenue,current_liabilities,current_deferred_liabilities,current_deferred_revenue,payables_and_accrued_expenses,current_accrued_expenses,payables,total_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,goodwill_and_other_intangible_assets,other_intangible_assets,net_ppe,accumulated_depreciation,gross_ppe,leases,machinery_furniture_equipment,properties,current_assets,other_current_assets,current_deferred_assets,inventory,finished_goods,raw_materials,receivables,other_receivables,accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date
,59359050.0,59359050.0,4783000.0,5323000.0,36275000.0,4783000.0,5323000.0,5323000.0,50302000.0,44979000.0,5323000.0,-2314000.0,-2314000.0,-1293762000.0,1301343000.0,56000.0,56000.0,758644000.0,22815000.0,13474000.0,9341000.0,9341000.0,735829000.0,580457000.0,580457000.0,155372000.0,73122000.0,82250000.0,21365000.0,60885000.0,808946000.0,36842000.0,6056000.0,540000.0,,30246000.0,-25416000.0,55662000.0,2902000.0,52760000.0,0.0,772104000.0,32409000.0,35110000.0,110914000.0,1007000.0,109907000.0,146148000.0,93821000.0,52327000.0,447523000.0,96799000.0,350724000.0,2022-12-31
,61283689.0,61283689.0,1941000.0,2368000.0,16574000.0,1941000.0,2368000.0,2368000.0,21441000.0,19073000.0,2368000.0,-2086000.0,-2086000.0,-1299880000.0,1304278000.0,56000.0,56000.0,888088000.0,38262000.0,14528000.0,23734000.0,23734000.0,849826000.0,665440000.0,665440000.0,184386000.0,70527000.0,113859000.0,25720000.0,88139000.0,909529000.0,43129000.0,7163000.0,427000.0,,35539000.0,-26900000.0,62439000.0,2896000.0,59543000.0,0.0,866400000.0,38605000.0,36878000.0,140441000.0,13226000.0,127215000.0,188027000.0,63502000.0,124525000.0,462449000.0,205495000.0,256954000.0,2023-03-31
,62441709.0,62441709.0,2141000.0,2476000.0,23657000.0,2141000.0,2476000.0,2476000.0,21631000.0,19155000.0,2476000.0,-1834000.0,-1834000.0,-1304227000.0,1308481000.0,56000.0,56000.0,948109000.0,50104000.0,17262000.0,32842000.0,32842000.0,898005000.0,742241000.0,742241000.0,155764000.0,60702000.0,95062000.0,20685000.0,74377000.0,969740000.0,48078000.0,6830000.0,335000.0,,40913000.0,-28583000.0,69496000.0,2920000.0,66576000.0,0.0,921662000.0,36204000.0,42286000.0,166877000.0,2308000.0,164569000.0,165392000.0,91696000.0,73696000.0,510903000.0,255413000.0,255490000.0,2023-06-30
0.0,82112881.0,82112881.0,-135000.0,82000.0,-33664000.0,-135000.0,82000.0,82000.0,-2716000.0,-2798000.0,82000.0,-1687000.0,-1687000.0,-1310435000.0,1312148000.0,56000.0,56000.0,1053426000.0,27967000.0,27967000.0,0.0,0.0,1025459000.0,787227000.0,787227000.0,238232000.0,99992000.0,138240000.0,28322000.0,109918000.0,1050710000.0,58915000.0,24191000.0,217000.0,217000.0,34507000.0,-18762000.0,53269000.0,7194000.0,46075000.0,0.0,991795000.0,85236000.0,34577000.0,136121000.0,11675000.0,124446000.0,190355000.0,121149000.0,69206000.0,545506000.0,286736000.0,258770000.0,2023-09-30
,85106588.0,85106588.0,160607000.0,160607000.0,161245000.0,160607000.0,160607000.0,160607000.0,171875000.0,11268000.0,160607000.0,-1770000.0,-1770000.0,-1312363000.0,1474681000.0,59000.0,59000.0,1152429000.0,53971000.0,36802000.0,17169000.0,17169000.0,1098458000.0,840028000.0,840028000.0,258430000.0,114771000.0,143659000.0,37571000.0,106088000.0,1324304000.0,64601000.0,29611000.0,0.0,,34990000.0,-21207000.0,56197000.0,8433000.0,47764000.0,0.0,1259703000.0,104324000.0,41736000.0,137666000.0,21783000.0,115883000.0,301014000.0,147956000.0,153058000.0,674963000.0,189011000.0,485952000.0,2023-12-31
