tax_effect_of_unusual_items,tax_rate_for_calcs,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,gain_on_sale_of_security,operating_expense,other_operating_expenses,selling_general_and_administration,general_and_administrative_expense,total_revenue,operating_revenue,date
0.0,0.075219,127200000.0,44700000.0,34600000.0,102900000.0,137500000.0,127200000.0,127200000.0,,,,,127200000.0,127200000.0,127200000.0,-31400000.0,158600000.0,158600000.0,12900000.0,171500000.0,9500000.0,475800000.0,200000.0,188600000.0,188600000.0,647300000.0,647300000.0,2022-12-31
0.0,0.214912,100700000.0,44000000.0,30400000.0,123400000.0,153800000.0,100700000.0,100700000.0,365357833.0,362944260.0,0.28,0.28,100700000.0,100700000.0,100700000.0,-24600000.0,125300000.0,125300000.0,34300000.0,159600000.0,3600000.0,473900000.0,100000.0,159200000.0,159200000.0,633500000.0,633500000.0,2023-03-31
0.0,0.104286,-98400000.0,44100000.0,39500000.0,132800000.0,172300000.0,-98400000.0,-98400000.0,361263253.0,361263253.0,-0.27,-0.27,-98400000.0,-98400000.0,-98400000.0,-35700000.0,-62700000.0,-62700000.0,-7300000.0,-70000000.0,15600000.0,507100000.0,,168500000.0,168500000.0,437100000.0,437100000.0,2023-06-30
0.0,0.27,81300000.0,48900000.0,59200000.0,133900000.0,193100000.0,81300000.0,81300000.0,363655647.0,360568375.0,0.22,0.23,81300000.0,81300000.0,81300000.0,-29700000.0,111000000.0,111000000.0,41200000.0,152200000.0,-9300000.0,475100000.0,100000.0,143000000.0,143000000.0,627300000.0,627300000.0,2023-09-30
0.0,0.204581,-692000000.0,43600000.0,52500000.0,152800000.0,205300000.0,-692000000.0,-692000000.0,,,,,-692000000.0,-692000000.0,-692000000.0,-21700000.0,-670300000.0,-670300000.0,-172400000.0,-842700000.0,-3000000.0,469000000.0,0.0,181400000.0,181400000.0,-373700000.0,-373700000.0,2023-12-31
