ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,net_tangible_assets,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,preferred_securities_outside_stock_equity,derivative_product_liabilities,long_term_debt_and_capital_lease_obligation,payables,other_payable,accounts_payable,total_assets,investments_and_advances,investmentin_financial_assets,available_for_sale_securities,receivables,cash_and_cash_equivalents,date,net_debt,long_term_equity_investment,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,prepaid_assets
79240058.0,79240058.0,444566000.0,509672000.0,954238000.0,509672000.0,509672000.0,954238000.0,3085871000.0,2576199000.0,509672000.0,2724000.0,506639000.0,309000.0,309000.0,0.0,4855867000.0,653635000.0,667000.0,444566000.0,238034000.0,139863000.0,98171000.0,7941738000.0,5329868000.0,5329868000.0,5329868000.0,202639000.0,1112581000.0,2022-12-31,,,,,,,,,
80492727.0,80492727.0,444733000.0,509216000.0,953949000.0,509216000.0,509216000.0,953949000.0,3001444000.0,2492228000.0,509216000.0,-13981000.0,522888000.0,309000.0,309000.0,0.0,4965878000.0,656347000.0,1417000.0,444733000.0,382566000.0,232815000.0,149751000.0,7967322000.0,5530841000.0,5530841000.0,5530841000.0,193142000.0,936321000.0,2023-03-31,,,,,,,,,
80511475.0,80511475.0,444901000.0,528158000.0,973059000.0,528158000.0,528158000.0,973059000.0,3129533000.0,2601375000.0,528158000.0,-3663000.0,531512000.0,309000.0,309000.0,0.0,4640654000.0,259370000.0,750000.0,444901000.0,310748000.0,124764000.0,185984000.0,7770187000.0,5795218000.0,5795218000.0,5795218000.0,175753000.0,897619000.0,2023-06-30,,,,,,,,,
80587371.0,80587371.0,443822000.0,535143000.0,978965000.0,535143000.0,535143000.0,978965000.0,3039227000.0,2504084000.0,535143000.0,-7564000.0,542398000.0,309000.0,309000.0,0.0,4343810000.0,0.0,0.0,443822000.0,429753000.0,169903000.0,259850000.0,7383037000.0,5308316000.0,5308316000.0,5308316000.0,209941000.0,1224484000.0,2023-09-30,,,,,,,,,
80596501.0,80596501.0,1263925000.0,-506430000.0,1607545000.0,-506430000.0,579157000.0,1607545000.0,3361134000.0,2781977000.0,579157000.0,-34681000.0,613476000.0,362000.0,362000.0,0.0,6008538000.0,0.0,0.0,1263925000.0,185740000.0,143175000.0,42565000.0,9369672000.0,6724112000.0,,,418977000.0,665188000.0,2023-12-31,363200000.0,6724112000.0,1085587000.0,649508000.0,436079000.0,309288000.0,-139900000.0,449188000.0,56398000.0
