tax_effect_of_unusual_items,tax_rate_for_calcs,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,otherunder_preferred_stock_dividend,preferred_stock_dividends,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,gain_on_sale_of_security,operating_expense,depreciation_and_amortization_in_income_statement,depreciation_income_statement,selling_general_and_administration,general_and_administrative_expense,total_revenue,operating_revenue,date
0.0,0.21,23641000.0,8361000.0,-6506000.0,6506000.0,0.0,23641000.0,23641000.0,,,,,-10303000.0,-32525000.0,22222000.0,1419000.0,0.0,23641000.0,33389000.0,-9748000.0,-9748000.0,8949000.0,-799000.0,-11310000.0,422985000.0,8361000.0,8361000.0,94216000.0,94216000.0,422186000.0,422186000.0,2022-12-31
0.0,0.253,25055000.0,8222000.0,-7418000.0,7418000.0,0.0,25055000.0,25055000.0,309140849.0,79499319.0,-0.01,0.27,-2257000.0,-27312000.0,25055000.0,,,25055000.0,-10619000.0,35674000.0,35674000.0,12103000.0,47777000.0,25499000.0,612699000.0,8222000.0,8222000.0,105392000.0,105392000.0,660476000.0,660476000.0,2023-03-31
0.0,0.248,27195000.0,8304000.0,-8518000.0,8518000.0,0.0,27195000.0,27195000.0,309193210.0,80540569.0,0.02,0.32,4670000.0,-20802000.0,25472000.0,1723000.0,0.0,27195000.0,-12816000.0,40011000.0,40011000.0,13164000.0,53175000.0,13963000.0,556211000.0,8304000.0,8304000.0,104997000.0,104997000.0,609386000.0,609386000.0,2023-06-30
0.0,0.095,14667000.0,7701000.0,-7792000.0,7792000.0,0.0,14667000.0,14667000.0,309269698.0,80617057.0,-0.09,0.14,-27043000.0,-38712000.0,11669000.0,2998000.0,0.0,14667000.0,109379000.0,-94712000.0,-94712000.0,8244000.0,-86468000.0,8637000.0,248418000.0,7701000.0,7701000.0,101677000.0,101677000.0,161950000.0,161950000.0,2023-09-30
0.0,0.386835,13173000.0,23446000.0,-14800000.0,14800000.0,0.0,13173000.0,13173000.0,,,,,12865000.0,144000.0,12721000.0,452000.0,0.0,13173000.0,-29239000.0,42412000.0,42412000.0,26757000.0,69169000.0,8779000.0,907947000.0,23446000.0,23446000.0,171561000.0,171561000.0,977116000.0,977116000.0,2023-12-31
