tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,impairment_of_capital_assets,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,depreciation_income_statement,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
1133333.333333,0.188889,696000000.0,6000000.0,6000000.0,365000000.0,144000000.0,1126000000.0,702000000.0,558000000.0,-108000000.0,108000000.0,360133333.333333,365000000.0,1727000000.0,562000000.0,3951000000.0,3891000000.0,0.09,0.09,366000000.0,1000000.0,365000000.0,365000000.0,365000000.0,365000000.0,85000000.0,450000000.0,2000000.0,-4000000.0,6000000.0,-6000000.0,-108000000.0,108000000.0,556000000.0,589000000.0,132000000.0,132000000.0,,,,77000000.0,380000000.0,237000000.0,143000000.0,143000000.0,1145000000.0,1138000000.0,2283000000.0,2247000000.0,2022-12-31
-7808000.0,0.244,593000000.0,-32000000.0,-32000000.0,233000000.0,146000000.0,1104000000.0,561000000.0,415000000.0,-107000000.0,107000000.0,257192000.0,233000000.0,1700000000.0,412000000.0,3939000000.0,3889000000.0,0.06,0.06,234000000.0,1000000.0,233000000.0,233000000.0,233000000.0,233000000.0,75000000.0,308000000.0,-29000000.0,3000000.0,-32000000.0,32000000.0,-107000000.0,107000000.0,444000000.0,586000000.0,136000000.0,136000000.0,,,,79000000.0,371000000.0,224000000.0,147000000.0,147000000.0,1030000000.0,1114000000.0,2144000000.0,2112000000.0,2023-03-31
-3006000.0,0.167,647000000.0,-18000000.0,-18000000.0,310000000.0,150000000.0,1143000000.0,629000000.0,479000000.0,-107000000.0,107000000.0,324994000.0,310000000.0,1753000000.0,479000000.0,3873000000.0,3861000000.0,0.08,0.08,310000000.0,0.0,310000000.0,310000000.0,310000000.0,310000000.0,62000000.0,372000000.0,-18000000.0,,-18000000.0,18000000.0,-107000000.0,107000000.0,497000000.0,599000000.0,139000000.0,139000000.0,36000000.0,36000000.0,103000000.0,83000000.0,377000000.0,220000000.0,157000000.0,157000000.0,1096000000.0,1154000000.0,2250000000.0,2217000000.0,2023-06-30
-1010000.0,0.202,710000000.0,-5000000.0,-5000000.0,363000000.0,144000000.0,1130000000.0,705000000.0,561000000.0,-106000000.0,106000000.0,366990000.0,363000000.0,1702000000.0,564000000.0,3865000000.0,3845000000.0,0.09,0.09,363000000.0,0.0,363000000.0,363000000.0,363000000.0,363000000.0,92000000.0,455000000.0,-8000000.0,-3000000.0,-5000000.0,5000000.0,-106000000.0,106000000.0,569000000.0,558000000.0,130000000.0,130000000.0,,,,72000000.0,356000000.0,237000000.0,119000000.0,119000000.0,1127000000.0,1144000000.0,2271000000.0,2238000000.0,2023-09-30
-2041884.816754,0.078534,671000000.0,-26000000.0,-26000000.0,352000000.0,159000000.0,1144000000.0,645000000.0,486000000.0,-104000000.0,104000000.0,375958115.183246,352000000.0,1771000000.0,491000000.0,3860000000.0,3840000000.0,0.09,0.09,352000000.0,0.0,352000000.0,352000000.0,352000000.0,352000000.0,30000000.0,382000000.0,-31000000.0,,-26000000.0,26000000.0,-104000000.0,104000000.0,517000000.0,617000000.0,149000000.0,149000000.0,,,,88000000.0,380000000.0,251000000.0,129000000.0,129000000.0,1134000000.0,1154000000.0,2288000000.0,2251000000.0,2023-12-31
