tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,preferred_stock_dividends,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,other_special_charges,write_off,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-15960000.0,0.21,-22000000.0,-76000000.0,-76000000.0,-446000000.0,214000000.0,2579000000.0,-98000000.0,-312000000.0,-70000000.0,73000000.0,3000000.0,-385960000.0,-446000000.0,3352000000.0,-321000000.0,318000000.0,318000000.0,-1.4,-1.4,-446000000.0,-446000000.0,,-446000000.0,-446000000.0,-446000000.0,61000000.0,-385000000.0,-70000000.0,6000000.0,-76000000.0,,,15000000.0,61000000.0,-70000000.0,73000000.0,3000000.0,-245000000.0,773000000.0,523000000.0,250000000.0,528000000.0,2579000000.0,3107000000.0,3107000000.0,2022-12-31
-8400000.0,0.21,-196000000.0,-40000000.0,-40000000.0,-572000000.0,213000000.0,2517000000.0,-236000000.0,-449000000.0,-70000000.0,80000000.0,10000000.0,-540400000.0,-572000000.0,3235000000.0,-472000000.0,319000000.0,319000000.0,-1.82,-1.82,-581000000.0,-581000000.0,9000000.0,-572000000.0,-572000000.0,-572000000.0,43000000.0,-529000000.0,-27000000.0,13000000.0,-40000000.0,,,0.0,40000000.0,-70000000.0,80000000.0,10000000.0,-432000000.0,718000000.0,476000000.0,242000000.0,286000000.0,2517000000.0,2803000000.0,2803000000.0,2023-03-31
-1089041.09589,0.020548,-403000000.0,-53000000.0,-53000000.0,-715000000.0,185000000.0,2580000000.0,-456000000.0,-641000000.0,-80000000.0,89000000.0,9000000.0,-663089041.09589,-715000000.0,3269000000.0,-650000000.0,321000000.0,321000000.0,-2.27,-2.27,-730000000.0,-730000000.0,15000000.0,-715000000.0,-715000000.0,-715000000.0,-15000000.0,-730000000.0,-53000000.0,0.0,-53000000.0,,,2000000.0,51000000.0,-80000000.0,89000000.0,9000000.0,-597000000.0,689000000.0,458000000.0,231000000.0,92000000.0,2580000000.0,2672000000.0,2672000000.0,2023-06-30
-11970000.0,0.21,-380000000.0,-57000000.0,-57000000.0,-685000000.0,147000000.0,2651000000.0,-437000000.0,-584000000.0,-90000000.0,98000000.0,8000000.0,-639970000.0,-685000000.0,3289000000.0,-596000000.0,323000000.0,323000000.0,-2.17,-2.17,-700000000.0,-700000000.0,15000000.0,-685000000.0,-685000000.0,-685000000.0,3000000.0,-682000000.0,-53000000.0,4000000.0,-57000000.0,85000000.0,29000000.0,94000000.0,19000000.0,-90000000.0,98000000.0,8000000.0,-539000000.0,638000000.0,431000000.0,207000000.0,99000000.0,2651000000.0,2750000000.0,2750000000.0,2023-09-30
-12600000.0,0.21,52000000.0,-60000000.0,-60000000.0,-287000000.0,143000000.0,2540000000.0,-8000000.0,-151000000.0,-96000000.0,108000000.0,12000000.0,-239600000.0,-287000000.0,3182000000.0,-210000000.0,325000000.0,325000000.0,-0.93,-0.93,-301000000.0,-301000000.0,14000000.0,-287000000.0,-287000000.0,-287000000.0,28000000.0,-259000000.0,-13000000.0,47000000.0,-60000000.0,,,0.0,60000000.0,-96000000.0,108000000.0,12000000.0,-150000000.0,642000000.0,444000000.0,198000000.0,492000000.0,2540000000.0,3032000000.0,3032000000.0,2023-12-31
