tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,selling_general_and_administration,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-4700000.0,0.235,913418000.0,-20000000.0,-20000000.0,395237000.0,229744000.0,3236812000.0,893418000.0,663674000.0,-140931000.0,146931000.0,6000000.0,410537000.0,395237000.0,4037778000.0,130045013.0,128313322.0,3.04,3.08,395237000.0,395237000.0,395237000.0,-224000.0,395461000.0,395461000.0,121282000.0,516743000.0,21000000.0,15000000.0,3000000.0,3000000.0,0.0,26000000.0,-23000000.0,-140931000.0,146931000.0,6000000.0,637033000.0,800966000.0,800966000.0,800966000.0,814966000.0,-14000000.0,1437999000.0,3236812000.0,4674811000.0,4674811000.0,2022-12-31
0.0,0.219,1133715000.0,,,590889000.0,225341000.0,3340764000.0,1133715000.0,908374000.0,-151993000.0,151993000.0,,590889000.0,590889000.0,4209157000.0,130151487.0,128293039.0,4.54,4.61,590889000.0,590889000.0,590889000.0,-71000.0,590960000.0,590960000.0,165421000.0,756381000.0,55866000.0,55866000.0,,,,,,-151993000.0,151993000.0,,852508000.0,868393000.0,868393000.0,,,,1720901000.0,3340764000.0,5061665000.0,5061665000.0,2023-03-31
0.0,0.214923,1269434000.0,,,708956000.0,209063000.0,3262860000.0,1269434000.0,1060371000.0,-111176000.0,157176000.0,,708956000.0,708956000.0,4030800000.0,130222542.0,128440007.0,5.44,5.52,708956000.0,708956000.0,708956000.0,-122000.0,709078000.0,709078000.0,194117000.0,903195000.0,-50772000.0,-101298000.0,,,,,,-111176000.0,157176000.0,,1065143000.0,767940000.0,767940000.0,,,,1833083000.0,3262860000.0,5095943000.0,5095943000.0,2023-06-30
0.0,0.206,1195290000.0,,,650827000.0,240387000.0,3097349000.0,1195290000.0,954903000.0,-134468000.0,134468000.0,,650827000.0,650827000.0,3971040000.0,130363441.0,128472550.0,4.99,5.07,650827000.0,650827000.0,650827000.0,-245000.0,651072000.0,651072000.0,169363000.0,820435000.0,78455000.0,78455000.0,,,,,,-134468000.0,134468000.0,,876448000.0,873691000.0,873691000.0,,,,1750139000.0,3097349000.0,4847488000.0,4847488000.0,2023-09-30
4922000.0,0.214,1201972000.0,23000000.0,23000000.0,681851000.0,227778000.0,3101962000.0,1224972000.0,997194000.0,-127029000.0,129029000.0,2000000.0,663773000.0,681851000.0,3891764000.0,130367351.0,128426247.0,5.23,5.31,681851000.0,681851000.0,681851000.0,-206000.0,682057000.0,682057000.0,186108000.0,868165000.0,66000000.0,6000000.0,9000000.0,9000000.0,,37000000.0,14000000.0,-127029000.0,129029000.0,2000000.0,929183000.0,789802000.0,789802000.0,789802000.0,806802000.0,-17000000.0,1718985000.0,3101962000.0,4820947000.0,4820947000.0,2023-12-31
