tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,earnings_from_equity_interest,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.232757,442523000.0,,,54651000.0,194068000.0,2088681000.0,442523000.0,248455000.0,-100962000.0,100962000.0,54651000.0,68103000.0,2662460000.0,256252000.0,91910000.0,90122000.0,0.74,0.76,68103000.0,68103000.0,68103000.0,-58512000.0,126615000.0,113163000.0,34330000.0,147493000.0,-5973000.0,-7797000.0,,,1824000.0,-100962000.0,100962000.0,254428000.0,573779000.0,194068000.0,194068000.0,379711000.0,379711000.0,379711000.0,828207000.0,2088681000.0,2916888000.0,2803590000.0,2022-12-31
0.0,0.205,493468000.0,,,115547000.0,178071000.0,2058189000.0,493468000.0,315397000.0,-100774000.0,100774000.0,115547000.0,115547000.0,2567874000.0,311645000.0,92483000.0,90497000.0,1.25,1.28,115547000.0,115547000.0,115547000.0,-55121000.0,170668000.0,170668000.0,43955000.0,214623000.0,10572000.0,3752000.0,,,6820000.0,-100774000.0,100774000.0,304825000.0,509685000.0,178071000.0,178071000.0,331614000.0,331614000.0,331614000.0,814510000.0,2058189000.0,2872699000.0,2760034000.0,2023-03-31
-1313730.0,0.165,590336000.0,-7962000.0,-7962000.0,178691000.0,183672000.0,2055844000.0,582374000.0,398702000.0,-103507000.0,103507000.0,185339270.0,178691000.0,2603532000.0,405291000.0,93418000.0,90984000.0,1.91,1.96,178691000.0,178691000.0,178691000.0,-67686000.0,246377000.0,246377000.0,48818000.0,295195000.0,1865000.0,1373000.0,-7962000.0,7962000.0,8454000.0,-103507000.0,103507000.0,396837000.0,547688000.0,183672000.0,183672000.0,364016000.0,364016000.0,364016000.0,944525000.0,2055844000.0,3000369000.0,2890685000.0,2023-06-30
0.0,0.182,664712000.0,0.0,0.0,246632000.0,188423000.0,2067315000.0,664712000.0,476289000.0,-98080000.0,98080000.0,246632000.0,246632000.0,2632621000.0,495939000.0,94041000.0,91322000.0,2.62,2.7,246632000.0,246632000.0,246632000.0,-62729000.0,309361000.0,309361000.0,68848000.0,378209000.0,-12422000.0,-19650000.0,0.0,,7228000.0,-98080000.0,98080000.0,488711000.0,565306000.0,188423000.0,188423000.0,376883000.0,376883000.0,376883000.0,1054017000.0,2067315000.0,3121332000.0,2951950000.0,2023-09-30
-5278101.91063,0.202358,606617000.0,-26083000.0,-26083000.0,150665000.0,195277000.0,2138369000.0,580534000.0,385257000.0,-96190000.0,96190000.0,171469898.08937,150665000.0,2735117000.0,389909000.0,,,,,150665000.0,150665000.0,150665000.0,-79907000.0,230572000.0,230572000.0,58495000.0,289067000.0,-25373000.0,-4652000.0,-26083000.0,0.0,5362000.0,-96190000.0,96190000.0,410630000.0,596748000.0,195277000.0,195277000.0,401471000.0,401471000.0,401471000.0,1007378000.0,2138369000.0,3145747000.0,2972272000.0,2023-12-31
