tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,impairment_of_capital_assets,net_non_operating_interest_income_expense,total_other_finance_cost,operating_income,operating_expense,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-34125000.0,0.21,284200000.0,-162500000.0,-162500000.0,328300000.0,39600000.0,115800000.0,121700000.0,82100000.0,3500000.0,456675000.0,328300000.0,516700000.0,-80400000.0,354000000.0,352100000.0,0.93,0.93,277600000.0,,328300000.0,328300000.0,328300000.0,328300000.0,-406700000.0,-78400000.0,-164000000.0,-1500000.0,-162500000.0,162500000.0,3500000.0,-3500000.0,82100000.0,400900000.0,238500000.0,162400000.0,105100000.0,57300000.0,57300000.0,483000000.0,115800000.0,598800000.0,598800000.0,2022-12-31
0.0,0.212329,126600000.0,,,69000000.0,42500000.0,116800000.0,126600000.0,84100000.0,3900000.0,69000000.0,69000000.0,527000000.0,84100000.0,348800000.0,347100000.0,0.2,0.2,69000000.0,,69000000.0,69000000.0,69000000.0,69000000.0,18600000.0,87600000.0,-400000.0,-400000.0,,,3900000.0,-3900000.0,84100000.0,410200000.0,235200000.0,175000000.0,119200000.0,55800000.0,55800000.0,494300000.0,116800000.0,611100000.0,611100000.0,2023-03-31
-589152.542373,0.267797,103600000.0,-2200000.0,-2200000.0,43200000.0,42700000.0,120100000.0,101400000.0,58700000.0,3700000.0,44810847.457627,43200000.0,563800000.0,56500000.0,343800000.0,341400000.0,0.13,0.13,43200000.0,,43200000.0,43200000.0,43200000.0,43200000.0,15800000.0,59000000.0,-3400000.0,-1200000.0,-2200000.0,2200000.0,3700000.0,-3700000.0,58700000.0,443700000.0,262800000.0,180900000.0,120900000.0,60000000.0,60000000.0,502400000.0,120100000.0,622500000.0,622500000.0,2023-06-30
0.0,0.157934,172500000.0,0.0,0.0,114100000.0,41800000.0,119600000.0,172500000.0,130700000.0,5000000.0,114100000.0,114100000.0,502300000.0,130700000.0,346000000.0,339200000.0,0.33,0.34,140800000.0,26700000.0,114100000.0,114100000.0,114100000.0,114100000.0,21400000.0,135500000.0,-200000.0,-200000.0,0.0,0.0,5000000.0,-5000000.0,130700000.0,382700000.0,216400000.0,166300000.0,106300000.0,60000000.0,60000000.0,513400000.0,119600000.0,633000000.0,633000000.0,2023-09-30
26011751.7444,0.165259,-4400000.0,157400000.0,157400000.0,227300000.0,43000000.0,122000000.0,153000000.0,110000000.0,6800000.0,95911751.7444,227300000.0,525000000.0,267400000.0,,,,,174100000.0,,227300000.0,227300000.0,227300000.0,227300000.0,45000000.0,272300000.0,155500000.0,-1900000.0,157400000.0,,6800000.0,-6800000.0,110000000.0,403000000.0,222100000.0,180900000.0,119600000.0,61300000.0,61300000.0,513000000.0,122000000.0,635000000.0,635000000.0,2023-12-31
