tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,salaries_and_wages,total_revenue,operating_revenue,date
0.0,0.097808,0.0,0.0,-277000.0,12949000.0,-8081000.0,114918000.0,106837000.0,-277000.0,-277000.0,1594645336.0,92575549.0,-0.03,-0.002992,-277000.0,-277000.0,-277000.0,62207000.0,-62484000.0,-62484000.0,-6774000.0,-69258000.0,11713000.0,11713000.0,190910000.0,22976000.0,167934000.0,49668000.0,118266000.0,140849000.0,140849000.0,2022-12-31
0.0,0.0072,,,-11941000.0,12653000.0,11296000.0,63284000.0,74580000.0,-11941000.0,-11941000.0,92920794.0,92920794.0,-0.13,-0.13,-11941000.0,-11941000.0,-11941000.0,126672000.0,-138613000.0,-138613000.0,-1003000.0,-139616000.0,11670000.0,11670000.0,172832000.0,17210000.0,155622000.0,34619000.0,121003000.0,52172000.0,52172000.0,2023-03-31
0.0,0.0053,,,7558000.0,12178000.0,6458000.0,82437000.0,88895000.0,7558000.0,7558000.0,93107133.0,93107133.0,0.08,0.08,7558000.0,7558000.0,7558000.0,-221236000.0,228794000.0,228794000.0,1210000.0,230004000.0,11441000.0,11441000.0,205659000.0,21588000.0,184071000.0,52691000.0,131380000.0,458910000.0,458910000.0,2023-06-30
0.0,0.0024,,,18231000.0,12791000.0,1125000.0,93724000.0,94849000.0,18231000.0,18231000.0,1596624780.0,93290736.0,0.15,0.2,18231000.0,18231000.0,18231000.0,-282762000.0,300993000.0,300993000.0,734000.0,301727000.0,11563000.0,11563000.0,200354000.0,20117000.0,180237000.0,44904000.0,135333000.0,525749000.0,525749000.0,2023-09-30
0.0,0.015909,,,-27078000.0,12438000.0,7090000.0,80811000.0,87901000.0,-27078000.0,-27078000.0,,,,,-27078000.0,-27078000.0,-27078000.0,433878000.0,-460956000.0,-460956000.0,-7452000.0,-468408000.0,11472000.0,11472000.0,206324000.0,25600000.0,180724000.0,38209000.0,142515000.0,-243138000.0,-243138000.0,2023-12-31
