treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,derivative_product_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_debt_and_capital_lease_obligation,current_debt,line_of_credit,payables_and_accrued_expenses,payables,dividends_payable,accounts_payable,total_assets,investments_and_advances,available_for_sale_securities,goodwill_and_other_intangible_assets,other_intangible_assets,net_ppe,accumulated_depreciation,gross_ppe,leases,construction_in_progress,other_properties,machinery_furniture_equipment,receivables,other_receivables,accounts_receivable,cash_and_cash_equivalents,date,prepaid_assets
,92575974.0,92575974.0,2130783000.0,2990518000.0,-4309699000.0,2979243000.0,-4309699000.0,154837000.0,143562000.0,2229243000.0,3171693000.0,3028131000.0,143562000.0,142500000.0,903000.0,159000.0,159000.0,0.0,10428932000.0,49748000.0,2240518000.0,154837000.0,2085681000.0,750000000.0,750000000.0,750000000.0,599184000.0,599184000.0,159465000.0,439719000.0,13600625000.0,113290000.0,113290000.0,4453261000.0,4453261000.0,256657000.0,-73868000.0,330525000.0,160947000.0,1323000.0,104181000.0,64074000.0,425365000.0,42218000.0,383147000.0,704898000.0,2022-12-31,
,93101971.0,93101971.0,6106435000.0,6993322000.0,-3851539000.0,6969829000.0,-3851539000.0,146824000.0,123331000.0,2209995000.0,2874542000.0,2751211000.0,123331000.0,122136000.0,1036000.0,159000.0,159000.0,0.0,8073174000.0,62742000.0,2233488000.0,146824000.0,2086664000.0,4759834000.0,4759834000.0,4759834000.0,576335000.0,576335000.0,159517000.0,416818000.0,10947716000.0,114275000.0,114275000.0,3974870000.0,3974870000.0,255351000.0,,255351000.0,,,255351000.0,,472067000.0,38320000.0,433747000.0,740063000.0,2023-03-31,
,93114878.0,93114878.0,1952626000.0,2732269000.0,-4102402000.0,2709007000.0,-4102402000.0,145067000.0,121805000.0,2209007000.0,2947122000.0,2825317000.0,121805000.0,120379000.0,1267000.0,159000.0,159000.0,0.0,9478797000.0,21734000.0,2232269000.0,145067000.0,2087202000.0,500000000.0,500000000.0,500000000.0,582925000.0,582925000.0,159518000.0,423407000.0,12425919000.0,111625000.0,111625000.0,4224207000.0,4224207000.0,251201000.0,,251201000.0,,,251201000.0,,382812000.0,34947000.0,347865000.0,634576000.0,2023-06-30,
0.0,93654269.0,93654269.0,1854996000.0,2725292000.0,-4220342000.0,2716489000.0,-4220342000.0,140680000.0,131877000.0,2216489000.0,3092111000.0,2960234000.0,131877000.0,130233000.0,1484000.0,160000.0,160000.0,0.0,9112026000.0,38882000.0,2225292000.0,140680000.0,2084612000.0,500000000.0,500000000.0,500000000.0,663462000.0,663462000.0,159572000.0,503890000.0,12204137000.0,104526000.0,104526000.0,4352219000.0,4352219000.0,246936000.0,,246936000.0,,,246936000.0,,417725000.0,31803000.0,385922000.0,729616000.0,2023-09-30,
0.0,93654269.0,93654269.0,2334613000.0,2968783000.0,-3913584000.0,2944633000.0,-3913584000.0,136702000.0,112552000.0,2194633000.0,2474671000.0,2362119000.0,112552000.0,110690000.0,1702000.0,160000.0,160000.0,0.0,9397183000.0,40781000.0,2218783000.0,136702000.0,2082081000.0,750000000.0,750000000.0,750000000.0,628673000.0,628673000.0,159572000.0,469101000.0,11871854000.0,110352000.0,110352000.0,4026136000.0,4026136000.0,245542000.0,-106889000.0,352431000.0,163499000.0,147000.0,99125000.0,89660000.0,368758000.0,155193000.0,213565000.0,497468000.0,2023-12-31,177021000.0
