tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,other_special_charges,impairment_of_capital_assets,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,selling_general_and_administration,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-30661670.235546,0.207173,2710000000.0,-148000000.0,-148000000.0,1481000000.0,656000000.0,3064000000.0,2562000000.0,1906000000.0,23000000.0,38000000.0,73000000.0,1598338329.764454,1481000000.0,3181000000.0,247000000.0,237000000.0,5.98,6.23,1478000000.0,1000000.0,1477000000.0,4000000.0,1481000000.0,1481000000.0,1481000000.0,387000000.0,1868000000.0,-148000000.0,-21000000.0,-37000000.0,1000000.0,17000000.0,,-2000000.0,21000000.0,-111000000.0,23000000.0,38000000.0,73000000.0,1993000000.0,117000000.0,12000000.0,105000000.0,105000000.0,105000000.0,2110000000.0,3064000000.0,5174000000.0,5174000000.0,2022-12-31
-6600000.0,0.22,2316000000.0,-30000000.0,-30000000.0,1222000000.0,664000000.0,2812000000.0,2286000000.0,1622000000.0,-65000000.0,65000000.0,,1245400000.0,1222000000.0,2931000000.0,244000000.0,235000000.0,5.0,5.19,1220000000.0,1000000.0,1219000000.0,3000000.0,1222000000.0,1222000000.0,1222000000.0,335000000.0,1557000000.0,-44000000.0,-14000000.0,14000000.0,25000000.0,,11000000.0,,,-44000000.0,-65000000.0,65000000.0,,1666000000.0,119000000.0,19000000.0,100000000.0,100000000.0,100000000.0,1785000000.0,2812000000.0,4597000000.0,4597000000.0,2023-03-31
-3300000.0,0.22,2158000000.0,-15000000.0,-15000000.0,1102000000.0,695000000.0,3009000000.0,2143000000.0,1448000000.0,-41000000.0,41000000.0,,1113700000.0,1102000000.0,3124000000.0,242000000.0,234000000.0,4.55,4.71,1101000000.0,1000000.0,1100000000.0,2000000.0,1102000000.0,1102000000.0,1102000000.0,305000000.0,1407000000.0,-13000000.0,-16000000.0,-14000000.0,-3000000.0,,11000000.0,,18000000.0,-1000000.0,-41000000.0,41000000.0,,1436000000.0,115000000.0,27000000.0,88000000.0,88000000.0,88000000.0,1551000000.0,3009000000.0,4560000000.0,4560000000.0,2023-06-30
-41580000.0,0.22,2628000000.0,-189000000.0,-189000000.0,1301000000.0,728000000.0,3159000000.0,2439000000.0,1711000000.0,-32000000.0,44000000.0,12000000.0,1448420000.0,1301000000.0,3268000000.0,240000000.0,233000000.0,5.41,5.56,1299000000.0,1000000.0,1298000000.0,3000000.0,1301000000.0,1301000000.0,1301000000.0,366000000.0,1667000000.0,-174000000.0,-25000000.0,1000000.0,1000000.0,,0.0,,40000000.0,-190000000.0,-32000000.0,44000000.0,12000000.0,1873000000.0,109000000.0,22000000.0,87000000.0,87000000.0,87000000.0,1982000000.0,3159000000.0,5141000000.0,5141000000.0,2023-09-30
27914603.960396,0.214728,2289000000.0,130000000.0,130000000.0,1269000000.0,775000000.0,3294000000.0,2419000000.0,1644000000.0,-88000000.0,28000000.0,-49000000.0,1166914603.960396,1269000000.0,3524000000.0,,,,,1265000000.0,0.0,1265000000.0,4000000.0,1269000000.0,1269000000.0,1269000000.0,347000000.0,1616000000.0,152000000.0,-7000000.0,-30000000.0,1000000.0,,0.0,,29000000.0,160000000.0,-88000000.0,28000000.0,-49000000.0,1552000000.0,230000000.0,28000000.0,202000000.0,202000000.0,202000000.0,1782000000.0,3294000000.0,5076000000.0,5076000000.0,2023-12-31
