ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,other_equity_interest,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,tradeand_other_payables_non_current,non_current_deferred_liabilities,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,payables_and_accrued_expenses,current_accrued_expenses,payables,other_payable,dividends_payable,total_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_prepaid_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,investments_and_advances,other_investments,investmentin_financial_assets,available_for_sale_securities,long_term_equity_investment,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,properties,current_assets,other_current_assets,restricted_cash,prepaid_assets,inventory,receivables,duefrom_related_parties_current,taxes_receivable,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,date,other_non_current_liabilities
3432154262.0,3432154262.0,5965000000.0,23758000000.0,53635000000.0,14842000000.0,23758000000.0,429000000.0,48099000000.0,53635000000.0,49127000000.0,1028000000.0,48099000000.0,-202000000.0,6140000000.0,6140000000.0,6349000000.0,12052000000.0,36456000000.0,2000000.0,2000000.0,17882000000.0,6165000000.0,0.0,323000000.0,112000000.0,211000000.0,5842000000.0,306000000.0,5536000000.0,11717000000.0,2309000000.0,2309000000.0,123000000.0,123000000.0,9285000000.0,2825000000.0,6460000000.0,852000000.0,12000000.0,598000000.0,4998000000.0,67009000000.0,40450000000.0,106000000.0,603000000.0,347000000.0,347000000.0,14332000000.0,6834000000.0,3168000000.0,3168000000.0,4330000000.0,24341000000.0,4848000000.0,19493000000.0,721000000.0,-424000000.0,1145000000.0,166000000.0,132000000.0,,449000000.0,398000000.0,0.0,26559000000.0,53000000.0,34000000.0,2652000000.0,14000000.0,2923000000.0,72000000.0,181000000.0,2670000000.0,-61000000.0,2731000000.0,20883000000.0,11328000000.0,9555000000.0,402000000.0,9153000000.0,2022-12-31,
3432154262.0,3432154262.0,5862000000.0,26691000000.0,56443000000.0,14865000000.0,26691000000.0,399000000.0,50980000000.0,56443000000.0,52063000000.0,1083000000.0,50980000000.0,-227000000.0,7646000000.0,7646000000.0,6088000000.0,13200000000.0,36447000000.0,2000000.0,2000000.0,17050000000.0,6070000000.0,1000000.0,322000000.0,129000000.0,193000000.0,5747000000.0,284000000.0,5463000000.0,10980000000.0,2334000000.0,2334000000.0,115000000.0,115000000.0,8531000000.0,,8531000000.0,2797000000.0,,414000000.0,5320000000.0,69113000000.0,43268000000.0,599000000.0,,352000000.0,352000000.0,17326000000.0,8341000000.0,4694000000.0,4694000000.0,4291000000.0,24289000000.0,4751000000.0,19538000000.0,702000000.0,,702000000.0,,,702000000.0,,,,25845000000.0,2579000000.0,41000000.0,,12000000.0,2722000000.0,,,2722000000.0,,,20491000000.0,8362000000.0,12129000000.0,,,2023-03-31,
3432154262.0,3432154262.0,6123000000.0,29400000000.0,59324000000.0,17162000000.0,29400000000.0,376000000.0,53577000000.0,59324000000.0,54712000000.0,1135000000.0,53577000000.0,-247000000.0,8787000000.0,8787000000.0,5991000000.0,14498000000.0,36528000000.0,2000000.0,2000000.0,17754000000.0,6313000000.0,0.0,312000000.0,165000000.0,147000000.0,6001000000.0,254000000.0,5747000000.0,11441000000.0,2426000000.0,2426000000.0,122000000.0,122000000.0,8893000000.0,,8893000000.0,3215000000.0,,461000000.0,5217000000.0,72466000000.0,43863000000.0,642000000.0,,343000000.0,343000000.0,17967000000.0,7892000000.0,5592000000.0,5592000000.0,4483000000.0,24177000000.0,4639000000.0,19538000000.0,734000000.0,,734000000.0,,,734000000.0,,,,28603000000.0,3140000000.0,11000000.0,,6000000.0,2459000000.0,,,2459000000.0,,,22987000000.0,10037000000.0,12950000000.0,,,2023-06-30,
3432154262.0,3432154262.0,6145000000.0,29800000000.0,59646000000.0,16666000000.0,29800000000.0,433000000.0,53934000000.0,59646000000.0,55168000000.0,1234000000.0,53934000000.0,-297000000.0,8507000000.0,8507000000.0,6539000000.0,15666000000.0,36595000000.0,2000000.0,2000000.0,17788000000.0,6375000000.0,0.0,343000000.0,137000000.0,206000000.0,6032000000.0,320000000.0,5712000000.0,11413000000.0,2555000000.0,2555000000.0,113000000.0,113000000.0,8745000000.0,,8745000000.0,3204000000.0,,491000000.0,5050000000.0,72956000000.0,44877000000.0,580000000.0,,375000000.0,375000000.0,18962000000.0,9090000000.0,5502000000.0,5502000000.0,4370000000.0,24134000000.0,4592000000.0,19542000000.0,826000000.0,,826000000.0,,,826000000.0,,,,28079000000.0,3338000000.0,10000000.0,,5000000.0,2502000000.0,,,2502000000.0,,,22224000000.0,9843000000.0,12381000000.0,,,2023-09-30,
3432154261.0,3432154261.0,6048000000.0,31896000000.0,61543000000.0,17922000000.0,31896000000.0,412000000.0,55907000000.0,61543000000.0,57202000000.0,1295000000.0,55907000000.0,-302000000.0,9658000000.0,9658000000.0,6996000000.0,16969000000.0,36576000000.0,2000000.0,2000000.0,18334000000.0,6320000000.0,,387000000.0,148000000.0,239000000.0,5933000000.0,297000000.0,5636000000.0,12014000000.0,3051000000.0,3051000000.0,115000000.0,115000000.0,8848000000.0,2670000000.0,6178000000.0,397000000.0,,775000000.0,5006000000.0,75536000000.0,45600000000.0,110000000.0,430000000.0,352000000.0,352000000.0,19840000000.0,9026000000.0,6540000000.0,6540000000.0,4274000000.0,24011000000.0,4469000000.0,19542000000.0,857000000.0,-450000000.0,1307000000.0,168000000.0,341000000.0,,431000000.0,367000000.0,0.0,29936000000.0,57000000.0,31000000.0,3202000000.0,8000000.0,3097000000.0,54000000.0,125000000.0,2918000000.0,-77000000.0,2995000000.0,23541000000.0,9974000000.0,13567000000.0,0.0,13567000000.0,2023-12-31,
