free_cash_flow,repurchase_of_capital_stock,repayment_of_debt,issuance_of_debt,capital_expenditure,interest_paid_supplemental_data,income_tax_paid_supplemental_data,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,proceeds_from_stock_option_exercised,net_common_stock_issuance,common_stock_payments,net_issuance_payments_of_debt,net_long_term_debt_issuance,long_term_debt_payments,long_term_debt_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_investment_purchase_and_sale,sale_of_investment,purchase_of_investment,net_business_purchase_and_sale,purchase_of_business,capital_expenditure_reported,operating_cash_flow,cash_flow_from_continuing_operating_activities,change_in_working_capital,change_in_other_working_capital,change_in_other_current_liabilities,change_in_payables_and_accrued_expense,change_in_payable,change_in_account_payable,change_in_prepaid_assets,change_in_receivables,changes_in_account_receivables,other_non_cash_items,stock_based_compensation,depreciation_amortization_depletion,depreciation_and_amortization,operating_gains_losses,gain_loss_on_investment_securities,net_income_from_continuing_operations,date
115000000.0,-1677000000.0,-234000000.0,0.0,-198000000.0,46000000.0,113000000.0,6076000000.0,6931000000.0,-23000000.0,-832000000.0,-1678000000.0,-1678000000.0,,233000000.0,-1677000000.0,-1677000000.0,-234000000.0,-234000000.0,-234000000.0,0.0,533000000.0,533000000.0,731000000.0,1183000000.0,-452000000.0,0.0,0.0,-198000000.0,313000000.0,313000000.0,-2081000000.0,-2007000000.0,-173000000.0,-309000000.0,-309000000.0,-309000000.0,-63000000.0,471000000.0,471000000.0,423000000.0,843000000.0,941000000.0,941000000.0,-23000000.0,-23000000.0,210000000.0,2022-10-31
2570000000.0,-2323000000.0,-71000000.0,0.0,-218000000.0,,,7016000000.0,6076000000.0,61000000.0,879000000.0,-2221000000.0,-2221000000.0,,173000000.0,-2323000000.0,-2323000000.0,-71000000.0,-71000000.0,-71000000.0,0.0,312000000.0,312000000.0,530000000.0,1250000000.0,-720000000.0,0.0,0.0,-218000000.0,2788000000.0,2788000000.0,288000000.0,5117000000.0,-138000000.0,1733000000.0,1733000000.0,1733000000.0,57000000.0,-6481000000.0,-6481000000.0,443000000.0,809000000.0,1032000000.0,1032000000.0,314000000.0,314000000.0,-98000000.0,2023-01-31
4248000000.0,-2054000000.0,-1111000000.0,,-243000000.0,46000000.0,122000000.0,9155000000.0,7016000000.0,17000000.0,2122000000.0,-2716000000.0,-2716000000.0,-110000000.0,449000000.0,-2054000000.0,-2054000000.0,-1111000000.0,-1111000000.0,-1111000000.0,,347000000.0,347000000.0,590000000.0,1063000000.0,-473000000.0,0.0,0.0,-243000000.0,4491000000.0,4491000000.0,1731000000.0,-2530000000.0,-168000000.0,-1403000000.0,-1403000000.0,-1403000000.0,-291000000.0,6123000000.0,6123000000.0,470000000.0,696000000.0,1254000000.0,1254000000.0,141000000.0,141000000.0,199000000.0,2023-04-30
628000000.0,-1949000000.0,-463000000.0,,-180000000.0,90000000.0,129000000.0,6772000000.0,9155000000.0,11000000.0,-2394000000.0,-2050000000.0,-2050000000.0,,362000000.0,-1949000000.0,-1949000000.0,-463000000.0,-463000000.0,-463000000.0,,-1152000000.0,-1152000000.0,-972000000.0,1008000000.0,-1980000000.0,0.0,0.0,-180000000.0,808000000.0,808000000.0,-2578000000.0,-1215000000.0,-167000000.0,-376000000.0,-376000000.0,-376000000.0,-52000000.0,-768000000.0,-768000000.0,476000000.0,724000000.0,890000000.0,890000000.0,29000000.0,29000000.0,1267000000.0,2023-07-31
1366000000.0,-1925000000.0,-114000000.0,,-166000000.0,28000000.0,458000000.0,6453000000.0,6772000000.0,-32000000.0,-287000000.0,-1765000000.0,-1765000000.0,,274000000.0,-1925000000.0,-1925000000.0,-114000000.0,-114000000.0,-114000000.0,,-54000000.0,-54000000.0,194000000.0,958000000.0,-764000000.0,-82000000.0,-82000000.0,-166000000.0,1532000000.0,1532000000.0,-1801000000.0,-1977000000.0,-139000000.0,172000000.0,172000000.0,172000000.0,-407000000.0,550000000.0,550000000.0,482000000.0,693000000.0,862000000.0,862000000.0,72000000.0,72000000.0,1224000000.0,2023-10-31
3256000000.0,-1692000000.0,-123000000.0,,-147000000.0,90000000.0,318000000.0,8472000000.0,6453000000.0,30000000.0,1989000000.0,-946000000.0,-946000000.0,,869000000.0,-1692000000.0,-1692000000.0,-123000000.0,-123000000.0,-123000000.0,,-468000000.0,-468000000.0,-321000000.0,719000000.0,-1040000000.0,0.0,0.0,-147000000.0,3403000000.0,3403000000.0,-202000000.0,5473000000.0,-147000000.0,1129000000.0,1129000000.0,1129000000.0,-93000000.0,-6564000000.0,-6564000000.0,497000000.0,674000000.0,953000000.0,953000000.0,35000000.0,35000000.0,1446000000.0,2024-01-31
