tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,earnings_from_equity_interest,net_non_operating_interest_income_expense,interest_income_non_operating,operating_income,operating_expense,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
33683495.658294,0.238494,767643000.0,141234000.0,141234000.0,640536000.0,23549000.0,2747525000.0,908877000.0,885328000.0,,,532985495.658294,640536000.0,3021906000.0,690228000.0,113793000.0,112914000.0,5.63,5.67,640536000.0,640536000.0,640536000.0,640536000.0,640536000.0,200608000.0,841144000.0,150916000.0,13913000.0,141234000.0,,-4231000.0,,,690228000.0,274381000.0,274381000.0,964609000.0,2747525000.0,3712134000.0,3712134000.0,2022-10-31
6782335.0,0.245,213113000.0,27683000.0,27683000.0,191530000.0,15482000.0,1343358000.0,240796000.0,225314000.0,,,170629335.0,191530000.0,1554855000.0,225314000.0,112336000.0,111397000.0,1.7,1.72,191530000.0,191530000.0,191530000.0,191530000.0,191530000.0,62266000.0,253796000.0,28482000.0,5232000.0,27683000.0,-27683000.0,-4433000.0,,,225314000.0,211497000.0,211497000.0,436811000.0,1343358000.0,1780169000.0,1780169000.0,2023-01-31
0.0,0.256,444325000.0,0.0,0.0,320216000.0,18611000.0,1853728000.0,444325000.0,425714000.0,,,320216000.0,320216000.0,2081265000.0,425714000.0,112184000.0,111214000.0,2.85,2.88,320216000.0,320216000.0,320216000.0,320216000.0,320216000.0,110376000.0,430592000.0,4878000.0,10180000.0,0.0,,-5302000.0,,,425714000.0,227537000.0,227537000.0,653251000.0,1853728000.0,2506979000.0,2506979000.0,2023-04-30
0.0,0.249953,535267000.0,0.0,0.0,414789000.0,20156000.0,1943527000.0,535267000.0,515111000.0,8109000.0,8109000.0,414789000.0,414789000.0,2172531000.0,515111000.0,111123000.0,110003000.0,3.73,3.77,414789000.0,414789000.0,414789000.0,414789000.0,414789000.0,138228000.0,553017000.0,29797000.0,-751000.0,0.0,,30548000.0,8109000.0,8109000.0,515111000.0,229004000.0,229004000.0,744115000.0,1943527000.0,2687642000.0,2687642000.0,2023-07-31
0.0,0.263535,580840000.0,0.0,0.0,445536000.0,22224000.0,2220123000.0,580840000.0,558616000.0,12946000.0,12946000.0,445536000.0,445536000.0,2461531000.0,558616000.0,108388000.0,107465000.0,4.11,4.15,445536000.0,445536000.0,445536000.0,445536000.0,445536000.0,159430000.0,604966000.0,33404000.0,4119000.0,0.0,0.0,29285000.0,12946000.0,12946000.0,558616000.0,241408000.0,241408000.0,800024000.0,2220123000.0,3020147000.0,3020147000.0,2023-10-31
0.0,0.230116,324558000.0,0.0,0.0,239558000.0,16143000.0,1409387000.0,324558000.0,308415000.0,10468000.0,10468000.0,239558000.0,239558000.0,1639433000.0,308415000.0,106265000.0,105122000.0,2.25,2.28,239558000.0,239558000.0,239558000.0,239558000.0,239558000.0,71603000.0,311161000.0,-7722000.0,1450000.0,0.0,,-9172000.0,10468000.0,10468000.0,308415000.0,230046000.0,230046000.0,538461000.0,1409387000.0,1947848000.0,1947848000.0,2024-01-31
