tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,selling_general_and_administration,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
226415.09434,0.226415,276000000.0,1000000.0,1000000.0,123000000.0,95000000.0,2473000000.0,277000000.0,182000000.0,-23000000.0,23000000.0,122226415.09434,123000000.0,2708000000.0,105000000.0,40100000.0,40100000.0,3.07,3.07,123000000.0,123000000.0,123000000.0,123000000.0,123000000.0,36000000.0,159000000.0,78000000.0,77000000.0,1000000.0,-23000000.0,23000000.0,104000000.0,235000000.0,,236000000.0,236000000.0,236000000.0,339000000.0,2473000000.0,2812000000.0,2812000000.0,2022-12-31
2508000.0,0.209,262000000.0,12000000.0,12000000.0,129000000.0,87000000.0,2324000000.0,274000000.0,187000000.0,-24000000.0,24000000.0,119508000.0,129000000.0,2545000000.0,141000000.0,39900000.0,39900000.0,3.23,3.23,129000000.0,129000000.0,129000000.0,129000000.0,129000000.0,34000000.0,163000000.0,58000000.0,46000000.0,12000000.0,-24000000.0,24000000.0,129000000.0,221000000.0,1000000.0,220000000.0,220000000.0,220000000.0,350000000.0,2324000000.0,2674000000.0,2674000000.0,2023-03-31
924000.0,0.231,276000000.0,4000000.0,4000000.0,130000000.0,87000000.0,2398000000.0,280000000.0,193000000.0,-24000000.0,24000000.0,126924000.0,130000000.0,2635000000.0,156000000.0,39800000.0,39800000.0,3.27,3.27,130000000.0,130000000.0,130000000.0,130000000.0,130000000.0,39000000.0,169000000.0,41000000.0,37000000.0,4000000.0,-24000000.0,24000000.0,152000000.0,237000000.0,-1000000.0,238000000.0,238000000.0,238000000.0,389000000.0,2398000000.0,2787000000.0,2787000000.0,2023-06-30
1953000.0,0.217,287000000.0,9000000.0,9000000.0,148000000.0,85000000.0,2400000000.0,296000000.0,211000000.0,-22000000.0,22000000.0,140953000.0,148000000.0,2653000000.0,172000000.0,40000000.0,40000000.0,3.7,3.7,148000000.0,148000000.0,148000000.0,148000000.0,148000000.0,41000000.0,189000000.0,48000000.0,39000000.0,9000000.0,-22000000.0,22000000.0,163000000.0,253000000.0,,253000000.0,253000000.0,253000000.0,416000000.0,2400000000.0,2816000000.0,2816000000.0,2023-09-30
2096385.542169,0.174699,433000000.0,12000000.0,12000000.0,274000000.0,88000000.0,2686000000.0,445000000.0,357000000.0,-25000000.0,25000000.0,264096385.542169,274000000.0,2877000000.0,312000000.0,,,,,274000000.0,274000000.0,274000000.0,274000000.0,274000000.0,58000000.0,332000000.0,57000000.0,45000000.0,12000000.0,-25000000.0,25000000.0,300000000.0,191000000.0,,311000000.0,311000000.0,311000000.0,491000000.0,2686000000.0,3177000000.0,3177000000.0,2023-12-31
