ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,tradeand_other_payables_non_current,non_current_deferred_liabilities,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,payables_and_accrued_expenses,current_accrued_expenses,payables,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,investments_and_advances,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,construction_in_progress,other_properties,machinery_furniture_equipment,land_and_improvements,properties,current_assets,other_current_assets,prepaid_assets,inventory,finished_goods,raw_materials,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date,treasury_shares_number,pensionand_other_post_retirement_benefit_plans_current
306890000.0,306890000.0,43964000.0,4497691000.0,4885820000.0,4257217000.0,4497691000.0,43964000.0,4885820000.0,4885820000.0,4885820000.0,4885820000.0,-33908000.0,-33908000.0,3138983000.0,1780714000.0,31000.0,31000.0,0.0,1889590000.0,596059000.0,58400000.0,89839000.0,403856000.0,403814000.0,42000.0,43964000.0,43964000.0,1293531000.0,131040000.0,637432000.0,637432000.0,525059000.0,292487000.0,232572000.0,232572000.0,6775410000.0,1224662000.0,73754000.0,574912000.0,574912000.0,39468000.0,388129000.0,122205000.0,265924000.0,148399000.0,-156847000.0,305246000.0,30102000.0,2124000.0,175797000.0,55723000.0,41500000.0,0.0,5550748000.0,124357000.0,189860000.0,1289706000.0,530187000.0,759519000.0,923096000.0,923096000.0,-5394000.0,928490000.0,3023729000.0,2352022000.0,671707000.0,2022-12-31,,
308098000.0,308098000.0,55291000.0,4950360000.0,5329174000.0,4685624000.0,4950360000.0,55291000.0,5329174000.0,5329174000.0,5329174000.0,5329174000.0,-21505000.0,-21505000.0,3493181000.0,1857467000.0,31000.0,31000.0,0.0,2213892000.0,628983000.0,58385000.0,94733000.0,420574000.0,420574000.0,,55291000.0,55291000.0,1584909000.0,231274000.0,671700000.0,671700000.0,681935000.0,351764000.0,330171000.0,330171000.0,7543066000.0,1272533000.0,47092000.0,646066000.0,646066000.0,39401000.0,378814000.0,112890000.0,265924000.0,161160000.0,-164370000.0,325530000.0,30204000.0,5634000.0,192886000.0,54469000.0,42337000.0,0.0,6270533000.0,125353000.0,268472000.0,1682703000.0,622442000.0,1060261000.0,862875000.0,862875000.0,-8407000.0,871282000.0,3331130000.0,2374789000.0,956341000.0,2023-03-31,,
309355000.0,309355000.0,51702000.0,5485476000.0,5857582000.0,5195765000.0,5485476000.0,51702000.0,5857582000.0,5857582000.0,5857582000.0,5857582000.0,-25208000.0,-25208000.0,3955062000.0,1927697000.0,31000.0,31000.0,0.0,2328459000.0,672667000.0,61546000.0,98722000.0,460697000.0,460697000.0,,51702000.0,51702000.0,1655792000.0,316629000.0,624207000.0,624207000.0,714956000.0,363036000.0,351920000.0,351920000.0,8186041000.0,1334484000.0,31696000.0,705856000.0,705856000.0,61788000.0,372106000.0,103575000.0,268531000.0,163038000.0,-172638000.0,335676000.0,32083000.0,1721000.0,198829000.0,60476000.0,42567000.0,0.0,6851557000.0,167544000.0,298827000.0,1864334000.0,814081000.0,1050253000.0,779726000.0,779726000.0,-13580000.0,793306000.0,3741126000.0,2479290000.0,1261836000.0,2023-06-30,,
310972000.0,310972000.0,48044000.0,6141566000.0,6505555000.0,5808273000.0,6141566000.0,48044000.0,6505555000.0,6505555000.0,6505555000.0,6505555000.0,-23166000.0,-23166000.0,4500389000.0,2028301000.0,31000.0,31000.0,0.0,2563480000.0,716755000.0,67975000.0,104660000.0,496076000.0,496076000.0,,48044000.0,48044000.0,1846725000.0,469007000.0,698675000.0,698675000.0,679043000.0,410071000.0,268972000.0,268972000.0,9069035000.0,1414037000.0,33265000.0,793015000.0,793015000.0,62288000.0,363989000.0,95458000.0,268531000.0,161480000.0,-180809000.0,342289000.0,32146000.0,4422000.0,201093000.0,60611000.0,44017000.0,0.0,7654998000.0,274114000.0,198369000.0,1893538000.0,949209000.0,944329000.0,833374000.0,833374000.0,-13203000.0,846577000.0,4455603000.0,2706785000.0,1748818000.0,2023-09-30,,
312245000.0,312245000.0,,6861760000.0,7219059000.0,6480629000.0,6861760000.0,,7219059000.0,7219059000.0,7219059000.0,7219059000.0,-3328000.0,-3328000.0,5114025000.0,2108331000.0,31000.0,31000.0,0.0,2727747000.0,818141000.0,131390000.0,95751000.0,591000000.0,591000000.0,,,,1909606000.0,152041000.0,915204000.0,915204000.0,708136000.0,273077000.0,435059000.0,435059000.0,9946806000.0,1556571000.0,151900000.0,945792000.0,945792000.0,,357299000.0,88768000.0,268531000.0,101580000.0,-188078000.0,289658000.0,34584000.0,4242000.0,,206187000.0,44645000.0,0.0,8390235000.0,,412518000.0,1945180000.0,1014403000.0,930777000.0,1024569000.0,1024569000.0,-9911000.0,1034480000.0,5007968000.0,3069362000.0,1938606000.0,2023-12-31,0.0,134225000.0
