tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,write_off,impairment_of_capital_assets,restructuring_and_mergern_acquisition,earnings_from_equity_interest,operating_income,operating_expense,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-878850.0,0.21,-138950000.0,-4185000.0,-4185000.0,-229422000.0,71247000.0,543432000.0,-143135000.0,-214382000.0,-226115850.0,-229422000.0,1238956000.0,-218567000.0,185120702.0,185120702.0,-1.24,-1.24,-229422000.0,-229422000.0,-229422000.0,-229422000.0,-229422000.0,9197000.0,-220225000.0,-5843000.0,20281000.0,-4185000.0,,0.0,4185000.0,-21939000.0,-214382000.0,695524000.0,274094000.0,421430000.0,296335000.0,125095000.0,125095000.0,481142000.0,543432000.0,1024574000.0,1024574000.0,2022-12-31
-39874800.0,0.21,140915000.0,-189880000.0,-189880000.0,-342139000.0,71393000.0,515874000.0,-48965000.0,-120358000.0,-192133800.0,-342139000.0,1126922000.0,-264084000.0,186403349.0,186403349.0,-1.84,-1.84,-342139000.0,-342139000.0,-342139000.0,-342139000.0,-342139000.0,10467000.0,-331672000.0,-211314000.0,8985000.0,-189880000.0,46154000.0,21784000.0,121942000.0,-30419000.0,-120358000.0,611048000.0,238595000.0,372453000.0,259885000.0,112568000.0,112568000.0,490690000.0,515874000.0,1006564000.0,1006564000.0,2023-03-31
-5089140.0,0.21,-18364000.0,-24234000.0,-24234000.0,-166187000.0,74995000.0,532006000.0,-42598000.0,-117593000.0,-147042140.0,-166187000.0,1155354000.0,-141827000.0,183490982.0,183490982.0,-0.91,-0.91,-166187000.0,-166187000.0,-166187000.0,-166187000.0,-166187000.0,744000.0,-165443000.0,-47850000.0,8745000.0,-24234000.0,0.0,9332000.0,14902000.0,-32361000.0,-117593000.0,623348000.0,226896000.0,396452000.0,261600000.0,134852000.0,134852000.0,505755000.0,532006000.0,1037761000.0,1037761000.0,2023-06-30
-1385790.0,0.21,-23125000.0,-6599000.0,-6599000.0,-141707000.0,72580000.0,517351000.0,-29724000.0,-102304000.0,-136493790.0,-141707000.0,1135974000.0,-108903000.0,181749309.0,181749309.0,-0.78,-0.78,-141707000.0,-141707000.0,-141707000.0,-141707000.0,-141707000.0,1747000.0,-139960000.0,-37656000.0,1000.0,-6599000.0,0.0,3162000.0,3437000.0,-31058000.0,-102304000.0,618623000.0,241654000.0,376969000.0,262898000.0,114071000.0,114071000.0,516319000.0,517351000.0,1033670000.0,1033670000.0,2023-09-30
-65452380.0,0.21,327074000.0,-311678000.0,-311678000.0,-365408000.0,65445000.0,544784000.0,15396000.0,-50049000.0,-119182380.0,-365408000.0,1125999000.0,-361727000.0,181786135.0,181786135.0,-2.01,-2.01,-365408000.0,-365408000.0,-365408000.0,-365408000.0,-365408000.0,5754000.0,-359654000.0,-309605000.0,30132000.0,-311678000.0,0.0,286226000.0,25452000.0,-28059000.0,-50049000.0,581215000.0,235645000.0,345570000.0,238602000.0,106968000.0,106968000.0,531166000.0,544784000.0,1075950000.0,1075950000.0,2023-12-31
