tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-2780689.655172,0.231724,1109000000.0,-12000000.0,-12000000.0,592000000.0,128000000.0,4978000000.0,1097000000.0,969000000.0,-244000000.0,244000000.0,601219310.344828,592000000.0,5763000000.0,1361000000.0,1345000000.0,0.43,0.44,592000000.0,592000000.0,592000000.0,0.0,592000000.0,0.0,592000000.0,35000000.0,168000000.0,725000000.0,-211000000.0,-199000000.0,-12000000.0,12000000.0,-244000000.0,244000000.0,1180000000.0,785000000.0,257000000.0,528000000.0,1965000000.0,4978000000.0,6943000000.0,6943000000.0,2022-12-31
-276000.0,0.276,1031000000.0,-1000000.0,-1000000.0,482000000.0,132000000.0,3611000000.0,1030000000.0,898000000.0,-272000000.0,272000000.0,482724000.0,482000000.0,4280000000.0,1359000000.0,1342000000.0,0.35,0.36,482000000.0,482000000.0,482000000.0,-4000000.0,486000000.0,,486000000.0,33000000.0,173000000.0,626000000.0,-164000000.0,-163000000.0,-1000000.0,1000000.0,-272000000.0,272000000.0,1062000000.0,669000000.0,231000000.0,438000000.0,1731000000.0,3611000000.0,5342000000.0,5342000000.0,2023-03-31
-458000.0,0.229,1301000000.0,-2000000.0,-2000000.0,706000000.0,138000000.0,4463000000.0,1299000000.0,1161000000.0,-323000000.0,323000000.0,707542000.0,706000000.0,5217000000.0,1355000000.0,1338000000.0,0.52,0.53,706000000.0,706000000.0,706000000.0,-4000000.0,710000000.0,,710000000.0,64000000.0,192000000.0,838000000.0,-189000000.0,-187000000.0,-2000000.0,2000000.0,-323000000.0,323000000.0,1350000000.0,754000000.0,269000000.0,485000000.0,2104000000.0,4463000000.0,6567000000.0,6567000000.0,2023-06-30
-1290000.0,0.258,1159000000.0,-5000000.0,-5000000.0,567000000.0,146000000.0,4059000000.0,1154000000.0,1008000000.0,-346000000.0,346000000.0,570710000.0,567000000.0,4787000000.0,1351000000.0,1332000000.0,0.42,0.43,567000000.0,567000000.0,567000000.0,-3000000.0,570000000.0,,570000000.0,79000000.0,171000000.0,662000000.0,-191000000.0,-186000000.0,-5000000.0,5000000.0,-346000000.0,346000000.0,1199000000.0,728000000.0,266000000.0,462000000.0,1927000000.0,4059000000.0,5986000000.0,5986000000.0,2023-09-30
-5930675.909879,0.10052,1188000000.0,-59000000.0,-59000000.0,616000000.0,148000000.0,4705000000.0,1129000000.0,981000000.0,-404000000.0,404000000.0,669069324.090121,616000000.0,5458000000.0,1334000000.0,1317000000.0,0.46,0.47,616000000.0,616000000.0,616000000.0,-1000000.0,617000000.0,,617000000.0,98000000.0,58000000.0,577000000.0,-353000000.0,-294000000.0,-59000000.0,59000000.0,-404000000.0,404000000.0,1334000000.0,753000000.0,275000000.0,478000000.0,2087000000.0,4705000000.0,6792000000.0,6792000000.0,2023-12-31
