tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,write_off,restructuring_and_mergern_acquisition,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,research_and_development,selling_general_and_administration,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-2107933.884298,0.193388,142800000.0,-10900000.0,-10900000.0,97400000.0,24500000.0,342500000.0,131900000.0,107400000.0,-3200000.0,,,106192066.115702,97400000.0,575000000.0,131000000.0,147900000.0,147100000.0,0.66,0.66,97400000.0,97400000.0,97400000.0,-900000.0,98300000.0,98300000.0,,23400000.0,121000000.0,-9200000.0,1700000.0,-5100000.0,,4800000.0,,-3200000.0,,,,133400000.0,232500000.0,900000.0,63500000.0,168100000.0,168100000.0,167100000.0,,365900000.0,342500000.0,708400000.0,706700000.0,2022-12-31
-3752000.0,0.28,149300000.0,-13400000.0,-13400000.0,76500000.0,25100000.0,325600000.0,135900000.0,110800000.0,-5800000.0,4200000.0,1400000.0,86148000.0,76500000.0,557900000.0,122700000.0,147600000.0,146800000.0,0.52,0.52,76500000.0,76500000.0,76500000.0,-900000.0,77400000.0,77400000.0,700000.0,29900000.0,106600000.0,-15000000.0,-1600000.0,-10100000.0,6900000.0,3200000.0,-3300000.0,-5800000.0,3000000.0,4200000.0,1400000.0,127400000.0,232300000.0,500000.0,69000000.0,162800000.0,162800000.0,162700000.0,100000.0,359700000.0,325600000.0,685300000.0,682600000.0,2023-03-31
-4317600.0,0.257,124100000.0,-16800000.0,-16800000.0,57100000.0,25900000.0,341400000.0,107300000.0,81400000.0,4900000.0,3900000.0,1900000.0,69582400.0,57100000.0,590900000.0,86200000.0,147700000.0,146800000.0,0.39,0.39,57100000.0,57100000.0,57100000.0,-700000.0,57800000.0,57800000.0,200000.0,19900000.0,77500000.0,-18400000.0,-1600000.0,-14600000.0,11400000.0,3200000.0,-2200000.0,4900000.0,-6900000.0,3900000.0,1900000.0,91000000.0,249500000.0,600000.0,71000000.0,177900000.0,177900000.0,177900000.0,0.0,340500000.0,341400000.0,681900000.0,681900000.0,2023-06-30
-2218800.0,0.258,158300000.0,-8600000.0,-8600000.0,88100000.0,26600000.0,360000000.0,149700000.0,123100000.0,-2000000.0,3900000.0,2000000.0,94481200.0,88100000.0,611100000.0,124500000.0,147300000.0,146600000.0,0.6,0.6,88100000.0,88100000.0,88100000.0,-600000.0,88700000.0,88700000.0,300000.0,30800000.0,119200000.0,-10500000.0,-1900000.0,-5300000.0,0.0,5300000.0,-3300000.0,-2000000.0,100000.0,3900000.0,2000000.0,131700000.0,251100000.0,2200000.0,71300000.0,177600000.0,177600000.0,177600000.0,0.0,382800000.0,360000000.0,742800000.0,742800000.0,2023-09-30
16956039.85056,0.154006,172500000.0,110100000.0,110100000.0,205500000.0,37300000.0,424200000.0,282600000.0,245300000.0,-2300000.0,4400000.0,5900000.0,112356039.85056,205500000.0,721200000.0,103500000.0,146000000.0,145500000.0,1.41,1.41,205500000.0,205500000.0,205500000.0,900000.0,204600000.0,204600000.0,800000.0,37100000.0,240900000.0,109900000.0,-200000.0,114600000.0,-100000.0,-120200000.0,-4500000.0,-2300000.0,,4400000.0,5900000.0,133300000.0,297000000.0,1700000.0,83500000.0,211800000.0,211800000.0,211800000.0,0.0,430300000.0,424200000.0,854500000.0,841400000.0,2023-12-31
