tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,impairment_of_capital_assets,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-2798136.0,0.264,118463000.0,-10599000.0,-10599000.0,16783000.0,67634000.0,1198126000.0,107864000.0,40230000.0,-17412000.0,17412000.0,24583864.0,16783000.0,1992686000.0,65504000.0,65362000.0,0.26,0.26,16783000.0,16783000.0,16783000.0,16783000.0,16783000.0,6035000.0,22818000.0,-7771000.0,2828000.0,-10599000.0,,10599000.0,-17412000.0,,17412000.0,48001000.0,794560000.0,67634000.0,67634000.0,726926000.0,12500000.0,714426000.0,714426000.0,842561000.0,1198126000.0,2040687000.0,2035927000.0,2022-10-31
-1008528.184332,0.262228,342382000.0,-3846000.0,-3846000.0,185200000.0,68490000.0,1625375000.0,338536000.0,270046000.0,-19020000.0,19020000.0,188037471.815668,185200000.0,2478465000.0,65385000.0,65019713.0,2.83,2.848367,185200000.0,185200000.0,185200000.0,185200000.0,185200000.0,65826000.0,251026000.0,4228000.0,8074000.0,-3846000.0,0.0,3846000.0,-19020000.0,,19020000.0,265818000.0,853090000.0,68490000.0,68490000.0,784600000.0,,,,1118908000.0,1625375000.0,2744283000.0,2739086000.0,2023-01-31
-6219072.0,0.244,158680000.0,-25488000.0,-25488000.0,32748000.0,70529000.0,1231646000.0,133192000.0,62663000.0,-19345000.0,19345000.0,52016928.0,32748000.0,2057803000.0,65291000.0,64884349.0,0.5,0.504713,32748000.0,32748000.0,32748000.0,32748000.0,32748000.0,10570000.0,43318000.0,-16490000.0,8998000.0,-25488000.0,24644000.0,844000.0,-19345000.0,,19345000.0,79153000.0,826157000.0,70529000.0,70529000.0,755628000.0,14500000.0,741128000.0,741128000.0,905310000.0,1231646000.0,2136956000.0,2132793000.0,2023-04-30
-1243176.0,0.264,139380000.0,-4709000.0,-4709000.0,30892000.0,73133000.0,1266210000.0,134671000.0,61538000.0,-19642000.0,19545000.0,34357824.0,30892000.0,2114628000.0,65039000.0,64895000.0,0.47,0.48,30892000.0,30892000.0,30892000.0,30892000.0,30892000.0,11101000.0,41993000.0,1456000.0,6165000.0,-4709000.0,,4709000.0,-19642000.0,97000.0,19545000.0,60179000.0,848418000.0,73133000.0,73133000.0,775285000.0,12400000.0,762885000.0,762885000.0,908597000.0,1266210000.0,2174807000.0,2170445000.0,2023-07-31
-3957656.0,0.274,177103000.0,-14444000.0,-14444000.0,48551000.0,76087000.0,1297805000.0,162659000.0,86572000.0,-19680000.0,19680000.0,59037344.0,48551000.0,2200714000.0,64802000.0,64525262.0,0.75,0.752434,48551000.0,48551000.0,48551000.0,48551000.0,48551000.0,18341000.0,66892000.0,-2060000.0,12384000.0,-14444000.0,13630000.0,814000.0,-19680000.0,,19680000.0,88632000.0,902909000.0,76087000.0,76087000.0,826822000.0,12600000.0,814222000.0,814222000.0,991541000.0,1297805000.0,2289346000.0,2284673000.0,2023-10-31
0.0,0.274616,420713000.0,0.0,0.0,227458000.0,87315000.0,1788399000.0,420713000.0,333398000.0,-19829000.0,19829000.0,227458000.0,227458000.0,2806293000.0,,,,,227458000.0,227458000.0,227458000.0,227458000.0,227458000.0,86111000.0,313569000.0,13333000.0,13333000.0,0.0,0.0,0.0,-19829000.0,,19829000.0,320065000.0,1017894000.0,87315000.0,87315000.0,930579000.0,88800000.0,841779000.0,841779000.0,1337959000.0,1788399000.0,3126358000.0,3121061000.0,2024-01-31
