tax_effect_of_unusual_items,tax_rate_for_calcs,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_non_operating_income_expenses,gain_on_sale_of_security,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,depreciation_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,insurance_and_claims,salaries_and_wages,total_revenue,operating_revenue,date
0.0,0.195595,326920000000.0,283403000000.0,3246627000000.0,2918286000000.0,6164913000000.0,326920000000.0,326920000000.0,508778517.0,508778517.0,642.558577,642.558577,287701000000.0,287701000000.0,39219000000.0,326920000000.0,-26920000000.0,353840000000.0,353840000000.0,86038000000.0,439878000000.0,-631888000000.0,-91139000000.0,553210000000.0,553210000000.0,54518000000.0,54518000000.0,498692000000.0,4052241000000.0,140390000000.0,3911851000000.0,285063000000.0,2417378000000.0,1209410000000.0,6594628000000.0,6594628000000.0,2022-12-31
0.0,0.238275,1387958000000.0,280754000000.0,2573842000000.0,3919097000000.0,6492939000000.0,1387958000000.0,1387958000000.0,525140164.0,525140164.0,2552.0,2552.0,1340034000000.0,1340034000000.0,47924000000.0,1387958000000.0,-26385000000.0,1414343000000.0,1414343000000.0,442420000000.0,1856763000000.0,55608000000.0,616586000000.0,174147000000.0,174147000000.0,50484000000.0,50484000000.0,123663000000.0,1875142000000.0,42378000000.0,1832764000000.0,206308000000.0,751542000000.0,874914000000.0,4775382000000.0,4775382000000.0,2023-03-31
0.0,0.265929,1238265000000.0,294115000000.0,2694183000000.0,4120541000000.0,6814724000000.0,1238265000000.0,1238265000000.0,520676621.0,520676621.0,2295.0,2295.0,1194235000000.0,1194235000000.0,44030000000.0,1238265000000.0,-30515000000.0,1268780000000.0,1268780000000.0,459636000000.0,1728416000000.0,-29996000000.0,504769000000.0,183882000000.0,183882000000.0,58591000000.0,58591000000.0,125291000000.0,1728878000000.0,72091000000.0,1656787000000.0,240576000000.0,551908000000.0,864303000000.0,4684803000000.0,4684803000000.0,2023-06-30
0.0,0.233628,1192065000000.0,299297000000.0,2763307000000.0,4265192000000.0,7028499000000.0,1192065000000.0,1192065000000.0,516761098.0,516761098.0,2210.0,2210.0,1141126000000.0,1141126000000.0,50939000000.0,1192065000000.0,-26760000000.0,1218825000000.0,1218825000000.0,371557000000.0,1590382000000.0,-141916000000.0,85710000000.0,187318000000.0,187318000000.0,57567000000.0,57567000000.0,129751000000.0,1720356000000.0,69826000000.0,1650530000000.0,275829000000.0,470343000000.0,904358000000.0,4532459000000.0,4532459000000.0,2023-09-30
0.0,0.270265,549747000000.0,310840000000.0,2786590000000.0,4456459000000.0,7243049000000.0,549747000000.0,549747000000.0,,,,,502968000000.0,502968000000.0,46779000000.0,549747000000.0,-26305000000.0,576052000000.0,576052000000.0,213347000000.0,789399000000.0,-69439000000.0,584379000000.0,654717000000.0,654717000000.0,59258000000.0,59258000000.0,595459000000.0,2053874000000.0,101200000000.0,1952674000000.0,290443000000.0,716337000000.0,945894000000.0,5522100000000.0,5522100000000.0,2023-12-31
