treasury_shares_number,preferred_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,preferred_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,other_equity_interest,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,derivative_product_liabilities,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,non_current_deferred_liabilities,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,long_term_provisions,current_debt_and_capital_lease_obligation,current_debt,line_of_credit,payables_and_accrued_expenses,current_accrued_expenses,payables,other_payable,dividends_payable,total_tax_payable,income_tax_payable,accounts_payable,total_assets,defined_pension_benefit,investments_and_advances,held_to_maturity_securities,available_for_sale_securities,long_term_equity_investment,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,other_properties,buildings_and_improvements,land_and_improvements,prepaid_assets,receivables,other_receivables,accounts_receivable,other_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,date
6352.0,,508778517.0,508784869.0,87953571000000.0,119125893000000.0,42269405000000.0,166579795000000.0,42630870000000.0,623339000000.0,48077241000000.0,361465000000.0,166893188000000.0,51130422000000.0,2691716000000.0,48438706000000.0,3614109000000.0,-3582720000000.0,-3582720000000.0,33342633000000.0,12095043000000.0,2969641000000.0,2608176000000.0,361465000000.0,624753859000000.0,7704705000000.0,14664000000.0,14664000000.0,807847000000.0,637891000000.0,169956000000.0,119077821000000.0,623339000000.0,118454482000000.0,1266314000000.0,48072000000.0,48072000000.0,48072000000.0,19074929000000.0,4416908000000.0,14658021000000.0,718082000000.0,34698000000.0,1452690000000.0,1452690000000.0,12452551000000.0,675884281000000.0,619653000000.0,181181356000000.0,,114615163000000.0,2904474000000.0,5807836000000.0,1123934000000.0,4683902000000.0,5943888000000.0,-2889262000000.0,8833150000000.0,5566506000000.0,1165468000000.0,2101176000000.0,1073096000000.0,14874850000000.0,3280711000000.0,11594139000000.0,63661719000000.0,30548983000000.0,-19100000000.0,2304480000000.0,2022-12-31
6352.0,,505102047.0,505108399.0,81228233000000.0,116872981000000.0,46058441000000.0,169210463000000.0,46419906000000.0,,52337482000000.0,361465000000.0,169571928000000.0,55795494000000.0,3096547000000.0,52698947000000.0,4013687000000.0,-1094103000000.0,-1094103000000.0,34714679000000.0,12095043000000.0,2969641000000.0,2608176000000.0,361465000000.0,620380094000000.0,5552529000000.0,27030000000.0,27030000000.0,536319000000.0,,536319000000.0,116872981000000.0,,116872981000000.0,921179000000.0,,,,695678000000.0,,695678000000.0,,,695678000000.0,695678000000.0,,676175588000000.0,378858000000.0,187892191000000.0,34101740000000.0,64728337000000.0,2948773000000.0,6279041000000.0,,,4039782000000.0,,4039782000000.0,4039782000000.0,,,,25282000000.0,25282000000.0,,86113341000000.0,35644748000000.0,,35644748000000.0,2023-03-31
6352.0,11100000.0,518340766.0,518347118.0,77043358000000.0,114662832000000.0,46715359000000.0,167619717000000.0,46989414000000.0,,52956885000000.0,274055000000.0,167893772000000.0,56029684000000.0,2798744000000.0,53230940000000.0,3878252000000.0,-1195952000000.0,-1195952000000.0,35484031000000.0,12094968000000.0,2969641000000.0,2695586000000.0,274055000000.0,620937262000000.0,5352013000000.0,50685000000.0,50685000000.0,554037000000.0,,554037000000.0,114662832000000.0,,114662832000000.0,946821000000.0,,,,255917000000.0,,255917000000.0,,,255917000000.0,255917000000.0,,676966946000000.0,318208000000.0,187170377000000.0,35081770000000.0,64125632000000.0,2939518000000.0,6241526000000.0,,,3894708000000.0,,3894708000000.0,3894708000000.0,,,,31320000000.0,31320000000.0,,85023457000000.0,37619474000000.0,,37619474000000.0,2023-06-30
6352.0,11100000.0,515497837.0,515504189.0,84397317000000.0,120286206000000.0,47106330000000.0,173628391000000.0,47380385000000.0,,53342185000000.0,274055000000.0,173902446000000.0,56416626000000.0,2800386000000.0,53616240000000.0,3343261000000.0,-1043520000000.0,-1043520000000.0,36251890000000.0,12094968000000.0,2969641000000.0,2695586000000.0,274055000000.0,633596642000000.0,6540636000000.0,52195000000.0,52195000000.0,665832000000.0,,665832000000.0,120286206000000.0,,120286206000000.0,1009204000000.0,,,,327513000000.0,,327513000000.0,,,327513000000.0,327513000000.0,,690013268000000.0,311933000000.0,191379172000000.0,,101951427000000.0,3039628000000.0,6235855000000.0,,,3952753000000.0,,,,,,,31623000000.0,31623000000.0,,86388117000000.0,35888889000000.0,,,2023-09-30
6352.0,11100000.0,512753119.0,512759471.0,90215599000000.0,126460883000000.0,47228536000000.0,179293451000000.0,47502591000000.0,613914000000.0,53446482000000.0,274055000000.0,179533434000000.0,56321865000000.0,2601328000000.0,53720537000000.0,3343067000000.0,-1074453000000.0,-1074453000000.0,36387314000000.0,12094968000000.0,2969641000000.0,2695586000000.0,274055000000.0,635473468000000.0,12114078000000.0,67620000000.0,67620000000.0,1204421000000.0,661826000000.0,542595000000.0,126426811000000.0,613914000000.0,125812897000000.0,1369666000000.0,34072000000.0,34072000000.0,34072000000.0,26574244000000.0,5877135000000.0,20697109000000.0,801976000000.0,8809000000.0,969067000000.0,969067000000.0,18917257000000.0,691795333000000.0,114378000000.0,199907061000000.0,,106903051000000.0,2692031000000.0,6217946000000.0,1540742000000.0,4677204000000.0,6051046000000.0,-3166367000000.0,9217413000000.0,5866870000000.0,1307424000000.0,2043119000000.0,713018000000.0,20987390000000.0,3938795000000.0,17048595000000.0,90311979000000.0,35631370000000.0,-21139000000.0,2173550000000.0,2023-12-31
