ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,current_debt_and_capital_lease_obligation,current_debt,other_current_borrowings,commercial_paper,current_provisions,payables_and_accrued_expenses,current_accrued_expenses,payables,dividends_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,defined_pension_benefit,investments_and_advances,other_investments,long_term_equity_investment,investmentsin_joint_venturesat_cost,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,prepaid_assets,inventory,finished_goods,raw_materials,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date
268000000.0,268000000.0,4815600000.0,5325700000.0,-4080900000.0,9830100000.0,-1045700000.0,-4080900000.0,176100000.0,4680500000.0,8322800000.0,4699200000.0,18700000.0,4680500000.0,-480600000.0,-480600000.0,3022500000.0,2138600000.0,2138600000.0,8425700000.0,4993300000.0,169000000.0,139600000.0,139600000.0,866300000.0,866300000.0,3818400000.0,176100000.0,3642300000.0,3432400000.0,1507300000.0,1507300000.0,282700000.0,1224600000.0,181000000.0,1925100000.0,649500000.0,1275600000.0,104600000.0,1171000000.0,13124900000.0,10738200000.0,153400000.0,123500000.0,283000000.0,115100000.0,167900000.0,167900000.0,8761400000.0,3548500000.0,5212900000.0,1416900000.0,-1135000000.0,2551900000.0,238700000.0,218900000.0,1265400000.0,738800000.0,90100000.0,0.0,2386700000.0,77200000.0,61700000.0,1340100000.0,649000000.0,691100000.0,573700000.0,573700000.0,-7300000.0,581000000.0,334000000.0,334000000.0,2022-11-30
268231738.0,268231738.0,4849000000.0,5205800000.0,-3741300000.0,10075900000.0,-909700000.0,-3741300000.0,,4870100000.0,8489900000.0,4887700000.0,17600000.0,4870100000.0,-437100000.0,-437100000.0,3155100000.0,2152100000.0,2152100000.0,8317700000.0,4996700000.0,510200000.0,,,866700000.0,866700000.0,3619800000.0,,3619800000.0,3321000000.0,1586000000.0,1586000000.0,,,,1735000000.0,610700000.0,1124300000.0,,1124300000.0,13205400000.0,10794100000.0,957500000.0,,,,,,8611400000.0,3381700000.0,5229700000.0,1225200000.0,,,,,,,,,2411300000.0,138900000.0,,1344600000.0,650200000.0,694400000.0,571000000.0,571000000.0,,,356800000.0,356800000.0,2023-02-28
268326518.0,268326518.0,4736100000.0,4863500000.0,-3670300000.0,9800500000.0,-383100000.0,-3670300000.0,,4937000000.0,9054600000.0,4956900000.0,19900000.0,4937000000.0,-431500000.0,-431500000.0,3191400000.0,2177100000.0,2177100000.0,7951300000.0,5464200000.0,484100000.0,,,862500000.0,862500000.0,4117600000.0,,4117600000.0,2487100000.0,745900000.0,745900000.0,,,,1741200000.0,641200000.0,1100000000.0,,1100000000.0,12908200000.0,10804200000.0,947300000.0,,,,,,8607300000.0,3371900000.0,5235400000.0,1249600000.0,,,,,,,,,2104000000.0,143200000.0,,1276200000.0,627200000.0,649000000.0,557200000.0,557200000.0,,,127400000.0,127400000.0,2023-05-31
268331802.0,268331802.0,4622400000.0,4777100000.0,-3567500000.0,9826400000.0,-1043500000.0,-3567500000.0,,5049300000.0,8434600000.0,5070100000.0,20800000.0,5049300000.0,-393900000.0,-393900000.0,3251700000.0,2191500000.0,2191500000.0,7920000000.0,4749000000.0,499200000.0,,,864500000.0,864500000.0,3385300000.0,,3385300000.0,3171000000.0,1391800000.0,1391800000.0,,,,1779200000.0,679300000.0,1099900000.0,,1099900000.0,12990100000.0,10862600000.0,960100000.0,,,,,,8616800000.0,3364400000.0,5252400000.0,1285700000.0,,,,,,,,,2127500000.0,122800000.0,,1225500000.0,614600000.0,610900000.0,624500000.0,624500000.0,,,154700000.0,154700000.0,2023-08-31
268100000.0,268100000.0,4244800000.0,4591300000.0,-3716000000.0,9472100000.0,-1097300000.0,-3716000000.0,179900000.0,5060700000.0,8400600000.0,5083500000.0,22800000.0,5060700000.0,-388600000.0,-388600000.0,3249700000.0,2199600000.0,2199600000.0,7778800000.0,4679900000.0,175000000.0,123900000.0,123900000.0,861200000.0,861200000.0,3519800000.0,179900000.0,3339900000.0,3098900000.0,1071500000.0,1071500000.0,802100000.0,269400000.0,,2027400000.0,795500000.0,1231900000.0,112600000.0,1119300000.0,12862300000.0,10860700000.0,148100000.0,127100000.0,264100000.0,115000000.0,149100000.0,,8776700000.0,3516600000.0,5260100000.0,1544700000.0,-1253100000.0,2797800000.0,223300000.0,220000000.0,1440300000.0,820900000.0,93300000.0,0.0,2001600000.0,73400000.0,47600000.0,1126500000.0,570000000.0,556500000.0,587500000.0,587500000.0,-5900000.0,593400000.0,166600000.0,166600000.0,2023-11-30
268412705.0,268412705.0,4279000000.0,4457000000.0,-3367900000.0,9689500000.0,-953600000.0,-3367900000.0,,5232500000.0,8561600000.0,5257400000.0,24900000.0,5232500000.0,-393700000.0,-393700000.0,3412800000.0,2213400000.0,2213400000.0,7632700000.0,4658900000.0,471500000.0,,,858300000.0,858300000.0,3329100000.0,,3329100000.0,2973800000.0,1127900000.0,1127900000.0,,,,1845900000.0,712600000.0,1133300000.0,,1133300000.0,12890100000.0,10869900000.0,915000000.0,,,,,,8600400000.0,3346800000.0,5253600000.0,1354500000.0,,,,,,,,,2020200000.0,145100000.0,,1129600000.0,574300000.0,555300000.0,567500000.0,567500000.0,,,178000000.0,178000000.0,2024-02-29
