tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,preferred_stock_dividends,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,impairment_of_capital_assets,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-1781200.0,0.244,1160400000.0,-7300000.0,-7300000.0,375500000.0,572400000.0,13033200000.0,1153100000.0,580700000.0,-84300000.0,84300000.0,381018800.0,375500000.0,17565200000.0,582400000.0,538600000.0,534600000.0,0.2,0.2,109100000.0,0.0,109100000.0,266400000.0,375500000.0,375500000.0,375500000.0,120900000.0,496400000.0,-9000000.0,-1700000.0,-7300000.0,-3400000.0,3900000.0,-84300000.0,84300000.0,589700000.0,4532000000.0,4532000000.0,5121700000.0,13033200000.0,18154900000.0,17853300000.0,2022-11-30
7057069.70128,0.114936,1011600000.0,61400000.0,61400000.0,311100000.0,578200000.0,13180800000.0,1073000000.0,494800000.0,-91600000.0,143300000.0,256757069.70128,311100000.0,17892900000.0,433600000.0,,,,,601600000.0,,601600000.0,,311100000.0,311100000.0,311100000.0,40400000.0,351500000.0,70900000.0,9500000.0,152600000.0,,,-91600000.0,143300000.0,372200000.0,4712100000.0,4712100000.0,5084300000.0,13180800000.0,18265100000.0,17967600000.0,2023-02-28
-3774798.261949,0.136768,1400000000.0,-27600000.0,-27600000.0,417200000.0,734200000.0,17387500000.0,1372400000.0,638200000.0,-154900000.0,154900000.0,441025201.738051,417200000.0,23400400000.0,622200000.0,580100000.0,573700000.0,0.72,0.73,417200000.0,700000.0,416500000.0,700000.0,417200000.0,417200000.0,417200000.0,66100000.0,483300000.0,-11600000.0,16000000.0,-27600000.0,-27600000.0,,-154900000.0,154900000.0,649800000.0,6012900000.0,6012900000.0,6662700000.0,17387500000.0,24050200000.0,23676600000.0,2023-05-31
,,,,,,,,,,,,,,,,575630760.0,575630760.0,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-30
,,,,,,,,,,,,,,,,580100000.0,573700000.0,0.72,0.73,,,,,,,,,,,,,,,,,,,,,,,,2023-07-31
1696800.0,0.202,1005900000.0,8400000.0,8400000.0,266900000.0,568000000.0,13249200000.0,1014300000.0,446300000.0,-111900000.0,111900000.0,260196800.0,266900000.0,17844700000.0,454400000.0,581900000.0,576000000.0,0.46,0.46,266900000.0,0.0,266900000.0,,266900000.0,266900000.0,266900000.0,67500000.0,334400000.0,300000.0,-8100000.0,8400000.0,8400000.0,,-111900000.0,111900000.0,446000000.0,4595500000.0,4595500000.0,5041500000.0,13249200000.0,18290700000.0,18024100000.0,2023-08-31
-4971200.0,0.208,1165100000.0,-23900000.0,-23900000.0,361400000.0,568400000.0,13360000000.0,1141200000.0,572800000.0,-116300000.0,116300000.0,380328800.0,361400000.0,17967300000.0,566100000.0,581100000.0,576200000.0,0.62,0.63,361400000.0,,361400000.0,,361400000.0,361400000.0,361400000.0,95100000.0,456500000.0,-17200000.0,6700000.0,-23900000.0,-23900000.0,,-116300000.0,116300000.0,590000000.0,4607300000.0,4607300000.0,5197300000.0,13360000000.0,18557300000.0,18281300000.0,2023-11-30
-163405.336722,0.204257,998500000.0,-800000.0,-800000.0,250500000.0,573600000.0,13195300000.0,997700000.0,424100000.0,-109000000.0,109300000.0,251136594.663278,250500000.0,17912500000.0,426200000.0,,,,,250500000.0,,250500000.0,0.0,250500000.0,250500000.0,250500000.0,64300000.0,314800000.0,-3200000.0,-2400000.0,-800000.0,-800000.0,,-109000000.0,109300000.0,427000000.0,4717200000.0,4717200000.0,5144200000.0,13195300000.0,18339500000.0,18074700000.0,2024-02-29
