tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,preferred_stock_dividends,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,special_income_charges,restructuring_and_mergern_acquisition,gain_on_sale_of_security,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,insurance_and_claims,salaries_and_wages,total_revenue,operating_revenue,date
0.0,0.211353,,,653000000.0,117000000.0,1695000000.0,557000000.0,2252000000.0,653000000.0,653000000.0,495478398.0,493293981.0,1.25,1.26,621000000.0,621000000.0,32000000.0,653000000.0,653000000.0,653000000.0,175000000.0,828000000.0,,,4000000.0,702000000.0,47000000.0,655000000.0,22000000.0,633000000.0,2231000000.0,2231000000.0,2022-12-31
-11944400.0,0.2297,-52000000.0,-52000000.0,511000000.0,118000000.0,1643000000.0,759000000.0,2402000000.0,551055600.0,511000000.0,487712146.0,485444313.0,1.0,1.0,488000000.0,488000000.0,23000000.0,511000000.0,511000000.0,511000000.0,153000000.0,664000000.0,-52000000.0,52000000.0,5000000.0,732000000.0,38000000.0,694000000.0,36000000.0,658000000.0,2128000000.0,2128000000.0,2023-03-31
-8619000.0,0.221,-39000000.0,-39000000.0,478000000.0,112000000.0,1588000000.0,943000000.0,2531000000.0,508381000.0,478000000.0,480975281.0,479470543.0,0.92,0.93,444000000.0,444000000.0,34000000.0,478000000.0,478000000.0,478000000.0,134000000.0,612000000.0,-39000000.0,39000000.0,9000000.0,714000000.0,56000000.0,658000000.0,43000000.0,615000000.0,2094000000.0,2094000000.0,2023-06-30
-1720800.0,0.2151,-8000000.0,-8000000.0,430000000.0,122000000.0,1522000000.0,1073000000.0,2595000000.0,436279200.0,430000000.0,471183719.0,469481085.0,0.85,0.85,400000000.0,400000000.0,30000000.0,430000000.0,430000000.0,430000000.0,119000000.0,549000000.0,-8000000.0,8000000.0,5000000.0,749000000.0,48000000.0,701000000.0,42000000.0,659000000.0,2014000000.0,2014000000.0,2023-09-30
-390243.902439,0.078049,-5000000.0,-5000000.0,189000000.0,126000000.0,1488000000.0,1188000000.0,2676000000.0,193609756.097561,189000000.0,,,,,159000000.0,159000000.0,30000000.0,189000000.0,189000000.0,189000000.0,16000000.0,205000000.0,-5000000.0,5000000.0,9000000.0,981000000.0,45000000.0,936000000.0,269000000.0,667000000.0,1988000000.0,1988000000.0,2023-12-31
