tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,restructuring_and_mergern_acquisition,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,selling_general_and_administration,selling_and_marketing_expense,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-3897925.986173,0.183001,406400000.0,-21300000.0,-21300000.0,202800000.0,104800000.0,948500000.0,385100000.0,280300000.0,-34400000.0,34400000.0,220202074.013827,217400000.0,1329500000.0,272900000.0,409300000.0,405000000.0,0.53,0.54,217400000.0,217400000.0,217400000.0,-1300000.0,218700000.0,14600000.0,204100000.0,3200000.0,45000000.0,245900000.0,-13900000.0,7400000.0,-14900000.0,0.0,14900000.0,-6400000.0,-34400000.0,34400000.0,294200000.0,360200000.0,200000.0,84000000.0,84000000.0,84000000.0,84000000.0,276000000.0,,654400000.0,969300000.0,1623700000.0,1623700000.0,2022-12-31
-4354075.829384,0.227962,383000000.0,-19100000.0,-19100000.0,161100000.0,114000000.0,943500000.0,363900000.0,249900000.0,-38900000.0,38900000.0,175845924.170616,161100000.0,1369900000.0,240300000.0,409200000.0,405000000.0,0.39,0.4,161100000.0,161100000.0,161100000.0,-2100000.0,163200000.0,0.0,163200000.0,300000.0,48100000.0,211000000.0,-9500000.0,9600000.0,-18100000.0,,18100000.0,-1000000.0,-38900000.0,38900000.0,259400000.0,404800000.0,1300000.0,92400000.0,92400000.0,92400000.0,92400000.0,311100000.0,311100000.0,664200000.0,965100000.0,1629300000.0,1629300000.0,2023-03-31
-4503400.0,0.253,409300000.0,-17800000.0,-17800000.0,179500000.0,111800000.0,966900000.0,391500000.0,279700000.0,-40800000.0,40800000.0,192796600.0,179500000.0,1394300000.0,272400000.0,408300000.0,404500000.0,0.44,0.44,179500000.0,179500000.0,179500000.0,-1300000.0,180800000.0,0.0,180800000.0,2400000.0,60500000.0,238900000.0,-12500000.0,5300000.0,-18900000.0,900000.0,18000000.0,1100000.0,-40800000.0,40800000.0,292200000.0,405300000.0,,89700000.0,89700000.0,89700000.0,89700000.0,315600000.0,,697500000.0,989000000.0,1686500000.0,1686500000.0,2023-06-30
-5698000.0,0.22,455000000.0,-25900000.0,-25900000.0,208300000.0,115700000.0,976100000.0,429100000.0,313400000.0,-39600000.0,39600000.0,228502000.0,208300000.0,1407200000.0,318400000.0,408600000.0,404500000.0,0.51,0.51,208300000.0,208300000.0,208300000.0,-1300000.0,209600000.0,0.0,209600000.0,-3900000.0,60300000.0,273800000.0,-18300000.0,7600000.0,-24800000.0,12600000.0,12200000.0,-1100000.0,-39600000.0,39600000.0,331700000.0,407600000.0,200000.0,92200000.0,92200000.0,92200000.0,92200000.0,315200000.0,,739300000.0,999600000.0,1738900000.0,1738900000.0,2023-09-30
-6453122.966818,0.231295,490300000.0,-27900000.0,-27900000.0,229800000.0,117600000.0,1015800000.0,462400000.0,344800000.0,-37400000.0,37400000.0,251246877.033182,229800000.0,1460300000.0,333200000.0,408200000.0,404200000.0,0.56,0.57,229800000.0,229800000.0,229800000.0,-1700000.0,231500000.0,0.0,231500000.0,-4800000.0,71100000.0,307400000.0,-16300000.0,11600000.0,-23800000.0,0.0,23800000.0,-4100000.0,-37400000.0,37400000.0,361100000.0,420100000.0,-3900000.0,93200000.0,93200000.0,93200000.0,93200000.0,330800000.0,,781200000.0,1040200000.0,1821400000.0,1821400000.0,2023-12-31
