tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.085,285000000.0,-97000000.0,276000000.0,1001000000.0,285000000.0,9000000.0,11000000.0,40000000.0,-97000000.0,-97000000.0,2150000000.0,21000000.0,491800000.0,491800000.0,-0.2,-0.2,-97000000.0,-97000000.0,-97000000.0,-97000000.0,-97000000.0,66000000.0,-31000000.0,11000000.0,-35000000.0,40000000.0,21000000.0,1149000000.0,191000000.0,196000000.0,762000000.0,1170000000.0,1001000000.0,2171000000.0,2155000000.0,2022-12-31
0.0,0.183,260000000.0,174000000.0,,1047000000.0,260000000.0,260000000.0,-55000000.0,47000000.0,174000000.0,174000000.0,2084000000.0,268000000.0,495500000.0,492400000.0,0.35,0.35,174000000.0,174000000.0,174000000.0,174000000.0,174000000.0,39000000.0,213000000.0,-55000000.0,8000000.0,47000000.0,268000000.0,1037000000.0,50000000.0,202000000.0,785000000.0,1305000000.0,1047000000.0,2352000000.0,2333000000.0,2023-03-31
0.0,0.207,261000000.0,169000000.0,,1059000000.0,261000000.0,261000000.0,-57000000.0,48000000.0,169000000.0,169000000.0,2152000000.0,270000000.0,495700000.0,493200000.0,0.34,0.34,169000000.0,169000000.0,169000000.0,169000000.0,169000000.0,44000000.0,213000000.0,-57000000.0,9000000.0,48000000.0,270000000.0,1093000000.0,44000000.0,217000000.0,832000000.0,1363000000.0,1059000000.0,2422000000.0,2402000000.0,2023-06-30
0.0,0.143,285000000.0,204000000.0,,1040000000.0,285000000.0,285000000.0,-55000000.0,47000000.0,204000000.0,204000000.0,2036000000.0,293000000.0,496300000.0,493200000.0,0.41,0.41,204000000.0,204000000.0,204000000.0,204000000.0,204000000.0,34000000.0,238000000.0,-55000000.0,8000000.0,47000000.0,293000000.0,996000000.0,-3000000.0,201000000.0,798000000.0,1289000000.0,1040000000.0,2329000000.0,2303000000.0,2023-09-30
