tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,gain_on_sale_of_ppe,other_special_charges,write_off,impairment_of_capital_assets,net_non_operating_interest_income_expense,total_other_finance_cost,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
1064800.0,0.121,312400000.0,8800000.0,8800000.0,187500000.0,96800000.0,2043800000.0,321200000.0,224400000.0,-19800000.0,179764800.0,187200000.0,2262100000.0,233200000.0,123100000.0,122100000.0,1.52,1.53,187200000.0,187200000.0,187200000.0,187200000.0,-300000.0,187500000.0,25900000.0,213400000.0,8800000.0,8800000.0,8800000.0,,0.0,0.0,-19800000.0,19800000.0,224400000.0,218300000.0,96800000.0,96800000.0,121500000.0,31100000.0,90400000.0,90400000.0,442700000.0,2043800000.0,2486500000.0,2486500000.0,2022-11-30
-171600.0,0.132,450800000.0,-1300000.0,-1300000.0,286800000.0,98300000.0,2201500000.0,449500000.0,351200000.0,-19600000.0,287928400.0,286600000.0,2435000000.0,349900000.0,122500000.0,121400000.0,2.34,2.36,286600000.0,286600000.0,286600000.0,286600000.0,-200000.0,286800000.0,43500000.0,330300000.0,-1300000.0,-1300000.0,2300000.0,,2100000.0,1500000.0,-19600000.0,19600000.0,351200000.0,233500000.0,98300000.0,98300000.0,135200000.0,28200000.0,107000000.0,107000000.0,584700000.0,2201500000.0,2786200000.0,2786200000.0,2023-02-28
-187968.217934,0.104427,493600000.0,-1800000.0,-1800000.0,315600000.0,97100000.0,2166500000.0,491800000.0,394700000.0,-22100000.0,317212031.782066,315100000.0,2392700000.0,374500000.0,,,,,315100000.0,315100000.0,315100000.0,315100000.0,-500000.0,315600000.0,36800000.0,352400000.0,-1800000.0,-1800000.0,-900000.0,,0.0,900000.0,-22100000.0,,376300000.0,226200000.0,97100000.0,97100000.0,129100000.0,28700000.0,100400000.0,100400000.0,602500000.0,2166500000.0,2769000000.0,2769000000.0,2023-05-31
-393700.0,0.127,368900000.0,-3100000.0,-3100000.0,194800000.0,109800000.0,2172900000.0,365800000.0,256000000.0,-29700000.0,197506300.0,194500000.0,2474600000.0,252900000.0,122000000.0,120900000.0,1.59,1.61,194500000.0,194500000.0,194500000.0,194500000.0,-300000.0,194800000.0,28400000.0,223200000.0,-3100000.0,-3100000.0,-4900000.0,-2100000.0,,300000.0,-29700000.0,29700000.0,256000000.0,301700000.0,109800000.0,109800000.0,191900000.0,38600000.0,153300000.0,153300000.0,557700000.0,2172900000.0,2730600000.0,2730600000.0,2023-08-31
-907500.0,0.121,406000000.0,-7500000.0,-7500000.0,212300000.0,112500000.0,2177100000.0,398500000.0,286000000.0,-37100000.0,218892500.0,212100000.0,2441300000.0,278500000.0,120800000.0,119900000.0,1.76,1.77,212100000.0,212100000.0,212100000.0,212100000.0,-200000.0,212300000.0,29100000.0,241400000.0,-7500000.0,-7500000.0,-4900000.0,2600000.0,,0.0,-37100000.0,37100000.0,286000000.0,264200000.0,112500000.0,112500000.0,151700000.0,36900000.0,114800000.0,114800000.0,550200000.0,2177100000.0,2727300000.0,2727300000.0,2023-11-30
-42800.0,0.107,506100000.0,-400000.0,-400000.0,313400000.0,117900000.0,2329200000.0,505700000.0,387800000.0,-36500000.0,313757200.0,312900000.0,2587000000.0,387400000.0,120400000.0,119400000.0,2.6,2.62,312900000.0,312900000.0,312900000.0,312900000.0,-500000.0,313400000.0,37500000.0,350900000.0,-400000.0,-400000.0,0.0,,400000.0,0.0,-36500000.0,36500000.0,387800000.0,257800000.0,117900000.0,117900000.0,139900000.0,31700000.0,108200000.0,108200000.0,645600000.0,2329200000.0,2974800000.0,2974800000.0,2024-02-29
