tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,special_income_charges,other_special_charges,net_non_operating_interest_income_expense,interest_expense_non_operating,other_operating_expenses,depreciation_and_amortization_in_income_statement,total_revenue,operating_revenue,date
-630000.0,0.21,-3000000.0,-3000000.0,-15000000.0,217000000.0,37000000.0,-108000000.0,108000000.0,-12630000.0,-15000000.0,22510000000.0,125644000.0,125644000.0,-0.12,-0.12,-15000000.0,-15000000.0,-15000000.0,3000000.0,-18000000.0,-18000000.0,-5000000.0,-58000000.0,-71000000.0,-3000000.0,3000000.0,-108000000.0,108000000.0,3635000000.0,182000000.0,22439000000.0,22439000000.0,2022-12-31
0.0,0.225,,,1239000000.0,218000000.0,1727000000.0,-113000000.0,113000000.0,1239000000.0,1239000000.0,25128000000.0,125564000.0,125005000.0,9.87,9.91,1239000000.0,1239000000.0,1239000000.0,1000000.0,1238000000.0,1238000000.0,-17000000.0,359000000.0,1614000000.0,,,-113000000.0,113000000.0,2971000000.0,186000000.0,26742000000.0,26742000000.0,2023-03-31
0.0,0.236,,,959000000.0,226000000.0,1382000000.0,-120000000.0,120000000.0,959000000.0,959000000.0,25485000000.0,125109000.0,124574000.0,7.66,7.7,959000000.0,959000000.0,959000000.0,3000000.0,956000000.0,956000000.0,-10000000.0,296000000.0,1262000000.0,,,-120000000.0,120000000.0,3165000000.0,191000000.0,26747000000.0,26747000000.0,2023-06-30
0.0,0.235,0.0,0.0,832000000.0,235000000.0,1212000000.0,-114000000.0,114000000.0,832000000.0,832000000.0,25325000000.0,123983000.0,123426000.0,6.71,6.74,832000000.0,832000000.0,832000000.0,2000000.0,830000000.0,830000000.0,-12000000.0,256000000.0,1098000000.0,0.0,,-114000000.0,114000000.0,3265000000.0,201000000.0,26423000000.0,26423000000.0,2023-09-30
0.0,0.126904,0.0,0.0,-541000000.0,238000000.0,-445000000.0,-146000000.0,146000000.0,-541000000.0,-541000000.0,27053000000.0,122461000.0,122461000.0,-4.42,-4.42,-541000000.0,-541000000.0,-541000000.0,-1000000.0,-540000000.0,-540000000.0,-24000000.0,-75000000.0,-591000000.0,0.0,,-146000000.0,146000000.0,3924000000.0,201000000.0,26462000000.0,26462000000.0,2023-12-31
0.0,0.253,,,741000000.0,242000000.0,1173000000.0,-159000000.0,159000000.0,741000000.0,741000000.0,28597000000.0,121268000.0,120978000.0,6.11,6.13,741000000.0,741000000.0,741000000.0,2000000.0,739000000.0,739000000.0,-24000000.0,251000000.0,1014000000.0,,,-159000000.0,159000000.0,3105000000.0,209000000.0,29611000000.0,29611000000.0,2024-03-31
