tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,other_special_charges,impairment_of_capital_assets,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-155720000.0,0.34,4464000000.0,-458000000.0,-458000000.0,3724000000.0,900000000.0,6264000000.0,4006000000.0,3106000000.0,-855000000.0,198000000.0,-99000000.0,4026280000.0,3724000000.0,7792000000.0,3494000000.0,,,,,3724000000.0,3724000000.0,3724000000.0,-19000000.0,3743000000.0,0.0,3743000000.0,-835000000.0,2908000000.0,-386000000.0,-655000000.0,432000000.0,177000000.0,72000000.0,197000000.0,-855000000.0,558000000.0,198000000.0,-99000000.0,4149000000.0,637000000.0,271000000.0,9000000.0,9000000.0,218000000.0,139000000.0,49000000.0,90000000.0,45000000.0,45000000.0,4786000000.0,7155000000.0,11941000000.0,11879000000.0,2022-12-31
-3240000.0,0.18,3245000000.0,-18000000.0,-18000000.0,1837000000.0,656000000.0,4304000000.0,3227000000.0,2571000000.0,-658000000.0,275000000.0,,1851760000.0,1837000000.0,5407000000.0,2881000000.0,4456941000.0,4453110000.0,0.41,0.41,1837000000.0,1837000000.0,1837000000.0,-41000000.0,1878000000.0,0.0,1878000000.0,418000000.0,2296000000.0,-73000000.0,-146000000.0,142000000.0,4000000.0,-55000000.0,128000000.0,-658000000.0,383000000.0,275000000.0,,3027000000.0,458000000.0,201000000.0,11000000.0,11000000.0,139000000.0,107000000.0,18000000.0,89000000.0,44000000.0,45000000.0,3485000000.0,4949000000.0,8434000000.0,8434000000.0,2023-03-31
-167960000.0,0.34,4248000000.0,-494000000.0,-494000000.0,892000000.0,779000000.0,5175000000.0,3754000000.0,2975000000.0,-52000000.0,255000000.0,321000000.0,1218040000.0,892000000.0,6412000000.0,2872000000.0,4737806000.0,4396778000.0,0.2,0.2,892000000.0,892000000.0,892000000.0,-36000000.0,928000000.0,0.0,928000000.0,1792000000.0,2720000000.0,-489000000.0,-389000000.0,323000000.0,66000000.0,5000000.0,-105000000.0,-52000000.0,118000000.0,255000000.0,321000000.0,3261000000.0,472000000.0,168000000.0,14000000.0,14000000.0,165000000.0,125000000.0,21000000.0,104000000.0,52000000.0,52000000.0,3733000000.0,5940000000.0,9673000000.0,9647000000.0,2023-06-30
-22812332.439678,0.04256,4539000000.0,-536000000.0,-536000000.0,2836000000.0,780000000.0,5541000000.0,4003000000.0,3223000000.0,-307000000.0,239000000.0,30000000.0,3349187667.560322,2836000000.0,6890000000.0,3275000000.0,4318388000.0,4314556000.0,0.66,0.66,2836000000.0,2836000000.0,2836000000.0,-21000000.0,2857000000.0,0.0,2857000000.0,127000000.0,2984000000.0,-442000000.0,-458000000.0,383000000.0,75000000.0,94000000.0,-78000000.0,-307000000.0,98000000.0,239000000.0,30000000.0,3733000000.0,581000000.0,243000000.0,12000000.0,12000000.0,188000000.0,138000000.0,26000000.0,112000000.0,59000000.0,53000000.0,4314000000.0,6309000000.0,10623000000.0,10581000000.0,2023-09-30
-159980641.066328,0.225008,5356000000.0,-711000000.0,-711000000.0,2418000000.0,855000000.0,6046000000.0,4645000000.0,3790000000.0,-822000000.0,639000000.0,,2969019358.933672,2418000000.0,7218000000.0,5177000000.0,,,,,2418000000.0,2418000000.0,2418000000.0,-24000000.0,2442000000.0,0.0,2442000000.0,709000000.0,3151000000.0,-1863000000.0,-659000000.0,464000000.0,121000000.0,-1152000000.0,-52000000.0,-822000000.0,-121000000.0,639000000.0,,5836000000.0,327000000.0,-50000000.0,10000000.0,10000000.0,231000000.0,136000000.0,-39000000.0,175000000.0,82000000.0,93000000.0,6163000000.0,6891000000.0,13054000000.0,13011000000.0,2023-12-31
-94006557.377049,0.209836,3551000000.0,-448000000.0,-448000000.0,1679000000.0,714000000.0,4663000000.0,3103000000.0,2389000000.0,-147000000.0,254000000.0,164000000.0,2032993442.622951,1679000000.0,5853000000.0,2448000000.0,4289631000.0,4285865000.0,0.39,0.39,1679000000.0,1679000000.0,1679000000.0,-8000000.0,1687000000.0,,1687000000.0,448000000.0,2135000000.0,-324000000.0,-158000000.0,152000000.0,6000000.0,124000000.0,-290000000.0,-147000000.0,57000000.0,254000000.0,164000000.0,2606000000.0,486000000.0,190000000.0,10000000.0,10000000.0,156000000.0,130000000.0,,130000000.0,63000000.0,67000000.0,3092000000.0,5367000000.0,8459000000.0,8459000000.0,2024-03-31
