free_cash_flow,repayment_of_debt,issuance_of_debt,capital_expenditure,interest_paid_supplemental_data,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,cash_dividends_paid,common_stock_dividend_paid,net_issuance_payments_of_debt,net_short_term_debt_issuance,short_term_debt_payments,short_term_debt_issuance,net_long_term_debt_issuance,long_term_debt_payments,long_term_debt_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,dividends_received_cfi,net_business_purchase_and_sale,purchase_of_business,net_intangibles_purchase_and_sale,purchase_of_intangibles,net_ppe_purchase_and_sale,sale_of_ppe,purchase_of_ppe,operating_cash_flow,cash_flow_from_continuing_operating_activities,change_in_working_capital,change_in_other_working_capital,change_in_receivables,changes_in_account_receivables,other_non_cash_items,unrealized_gain_loss_on_investment_securities,asset_impairment_charge,deferred_tax,deferred_income_tax,depreciation_amortization_depletion,depreciation_and_amortization,amortization_cash_flow,amortization_of_intangibles,depreciation,operating_gains_losses,earnings_losses_from_equity_investments,net_foreign_currency_exchange_gain_loss,gain_loss_on_sale_of_ppe,net_income_from_continuing_operations,date
1526521000000.0,-443161000000.0,1532775000000.0,-33219000000.0,1201694000000.0,3152128000000.0,4714380000000.0,-206952000000.0,1938403000000.0,1183746000000.0,1183746000000.0,94146000000.0,0.0,0.0,1089614000000.0,562518000000.0,-443230000000.0,1005748000000.0,527096000000.0,69000000.0,527027000000.0,-805083000000.0,-805083000000.0,2000000000.0,0.0,0.0,-25596000000.0,-25596000000.0,-6844000000.0,779000000.0,-7623000000.0,1559740000000.0,1559740000000.0,1276706000000.0,1194590000000.0,938465000000.0,938465000000.0,147664000000.0,-2877000000.0,2920000000.0,-6685000000.0,-6685000000.0,21386000000.0,21386000000.0,,,,-371856000000.0,-5104000000.0,-365279000000.0,-490000000.0,382976000000.0,2022-12-31
-486791000000.0,-196076000000.0,242190000000.0,-16770000000.0,552169000000.0,4677670000000.0,6105389000000.0,-120153000000.0,-1307566000000.0,-820815000000.0,-820815000000.0,,-866929000000.0,-866929000000.0,46114000000.0,57828000000.0,-184362000000.0,242190000000.0,-11714000000.0,-11714000000.0,0.0,-16730000000.0,-16730000000.0,0.0,0.0,0.0,-10193000000.0,-10193000000.0,-6537000000.0,40000000.0,-6577000000.0,-470021000000.0,-470021000000.0,-823023000000.0,-1072469000000.0,577551000000.0,577551000000.0,2514000000.0,-995000000.0,1779000000.0,5549000000.0,5549000000.0,22759000000.0,22759000000.0,,,,-62076000000.0,-1978000000.0,-59925000000.0,187000000.0,265951000000.0,2023-03-31
-30503000000.0,-472471000000.0,454968000000.0,-23634000000.0,399363000000.0,4654485000000.0,4677670000000.0,18104000000.0,-41289000000.0,-17504000000.0,-17504000000.0,,0.0,0.0,-17503000000.0,16350000000.0,-438618000000.0,454968000000.0,-33853000000.0,-33853000000.0,0.0,-16916000000.0,-16916000000.0,3986000000.0,0.0,0.0,-15547000000.0,-15547000000.0,-5355000000.0,2732000000.0,-8087000000.0,-6869000000.0,-6869000000.0,-478473000000.0,578220000000.0,-1188261000000.0,-1188261000000.0,41522000000.0,2148000000.0,646000000.0,-3151000000.0,-3151000000.0,23543000000.0,23543000000.0,,,,-7312000000.0,-3307000000.0,-1138000000.0,-2377000000.0,332147000000.0,2023-06-30
2105921000000.0,-552493000000.0,239595000000.0,-23433000000.0,162036000000.0,6590030000000.0,4654485000000.0,141704000000.0,1793841000000.0,-312898000000.0,-312898000000.0,0.0,0.0,0.0,-312898000000.0,-303588000000.0,-543183000000.0,239595000000.0,-9310000000.0,-9310000000.0,0.0,-22615000000.0,-22615000000.0,500000000.0,0.0,0.0,-16563000000.0,-16563000000.0,-6552000000.0,318000000.0,-6870000000.0,2129354000000.0,2129354000000.0,1649143000000.0,1228354000000.0,605151000000.0,605151000000.0,-117302000000.0,10937000000.0,2417000000.0,13885000000.0,13885000000.0,22486000000.0,22486000000.0,7672000000.0,7672000000.0,14814000000.0,209485000000.0,-3061000000.0,213005000000.0,-68000000.0,259993000000.0,2023-09-30
50461000000.0,-687884000000.0,287727000000.0,-22862000000.0,321133000000.0,2991032000000.0,6590030000000.0,-24018000000.0,-621719000000.0,-404803000000.0,-404803000000.0,-4646000000.0,0.0,0.0,-400157000000.0,-360298000000.0,-648025000000.0,287727000000.0,-39859000000.0,-39859000000.0,,-290239000000.0,-290239000000.0,189000000.0,0.0,0.0,-17652000000.0,-17652000000.0,-4674000000.0,536000000.0,-5210000000.0,73323000000.0,73323000000.0,-542363000000.0,385316000000.0,-334810000000.0,-334810000000.0,27333000000.0,-9772000000.0,-2595000000.0,28262000000.0,28262000000.0,23520000000.0,23520000000.0,7994000000.0,7994000000.0,15526000000.0,45694000000.0,-5063000000.0,51587000000.0,-713000000.0,515936000000.0,2023-12-31
