tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,rent_expense_supplemental,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,special_income_charges,other_special_charges,write_off,impairment_of_capital_assets,gain_on_sale_of_security,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,insurance_and_claims,rent_and_landing_fees,salaries_and_wages,total_revenue,operating_revenue,date
1494281119.830547,0.177279,8429000000.0,8429000000.0,382976000000.0,21386000000.0,1328916000000.0,1517551000000.0,2846467000000.0,376041281119.83057,382976000000.0,710000000.0,,,,,382976000000.0,382976000000.0,382976000000.0,0.0,382976000000.0,,382976000000.0,82523000000.0,465499000000.0,6600000000.0,-6617000000.0,148000000.0,,-640565000000.0,21386000000.0,21386000000.0,226928000000.0,11025000000.0,215903000000.0,66082000000.0,2358000000.0,710000000.0,146753000000.0,829643000000.0,829643000000.0,2022-12-31
37518000.0,0.2028,185000000.0,185000000.0,265951000000.0,22759000000.0,367917000000.0,405228000000.0,773145000000.0,265803518000.0,265951000000.0,1907000000.0,505085406.0,505085406.0,526.0,526.0,265951000000.0,265951000000.0,265951000000.0,0.0,265951000000.0,0.0,265951000000.0,67600000000.0,333551000000.0,-1458000000.0,1487000000.0,-29000000.0,0.0,249908000000.0,22759000000.0,22759000000.0,223193000000.0,9748000000.0,213445000000.0,74266000000.0,2446000000.0,1907000000.0,134826000000.0,702538000000.0,702538000000.0,2023-03-31
709392303.624651,0.201646,3518000000.0,3518000000.0,332147000000.0,23543000000.0,368611000000.0,427984000000.0,796595000000.0,329338392303.62463,332147000000.0,,504782675.0,504782675.0,658.0,658.0,332147000000.0,332147000000.0,332147000000.0,0.0,332147000000.0,0.0,332147000000.0,83893000000.0,416040000000.0,3518000000.0,-3530000000.0,,12000000.0,235331000000.0,23543000000.0,23543000000.0,235171000000.0,,235171000000.0,100395000000.0,,,134776000000.0,744881000000.0,744881000000.0,2023-06-30
-12773830.579805,0.26069,-49000000.0,-49000000.0,259993000000.0,22486000000.0,376117000000.0,421986000000.0,798103000000.0,260029226169.4202,259993000000.0,,505085406.0,505085406.0,514.750569,514.750569,259993000000.0,259993000000.0,259993000000.0,0.0,259993000000.0,0.0,259993000000.0,91677000000.0,351670000000.0,-49000000.0,-80000000.0,,129000000.0,62238000000.0,22486000000.0,22486000000.0,239645000000.0,,239645000000.0,102804000000.0,,,136841000000.0,676478000000.0,676478000000.0,2023-09-30
84268154.922001,0.132706,635000000.0,635000000.0,515935000000.0,23520000000.0,808147000000.0,868675000000.0,1676822000000.0,515384268154.922,515935000000.0,2595000000.0,,,,,515935000000.0,515935000000.0,515935000000.0,-1000000.0,515936000000.0,,515936000000.0,78944000000.0,594880000000.0,-1074000000.0,-576000000.0,1677000000.0,,-457410000000.0,23520000000.0,23520000000.0,223889000000.0,11971000000.0,211918000000.0,28830000000.0,2550000000.0,2595000000.0,177943000000.0,854443000000.0,854443000000.0,2023-12-31
