ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,other_equity_interest,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,non_current_deferred_liabilities,non_current_deferred_revenue,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_debt,other_current_borrowings,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,payables,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,non_current_accounts_receivable,investments_and_advances,long_term_equity_investment,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,inventory,other_inventories,finished_goods,raw_materials,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,date
1400000000.0,1400000000.0,95546000000.0,115666000000.0,62858000000.0,182491000000.0,9278000000.0,62858000000.0,967000000.0,67792000000.0,143713000000.0,72284000000.0,4492000000.0,67792000000.0,,-7901000000.0,-7901000000.0,49251000000.0,26428000000.0,14000000.0,14000000.0,191753000000.0,100580000000.0,9230000000.0,10910000000.0,10398000000.0,3552000000.0,3552000000.0,76888000000.0,967000000.0,75921000000.0,91173000000.0,-1000000.0,2489000000.0,2489000000.0,38778000000.0,38778000000.0,38778000000.0,3298000000.0,49907000000.0,22421000000.0,27486000000.0,27486000000.0,264037000000.0,163586000000.0,9396000000.0,20539000000.0,20539000000.0,40591000000.0,10176000000.0,10176000000.0,4934000000.0,3034000000.0,1900000000.0,77950000000.0,-41265000000.0,119215000000.0,7340000000.0,65694000000.0,33413000000.0,11461000000.0,1307000000.0,0.0,100451000000.0,6826000000.0,15366000000.0,-1000000.0,7353000000.0,8014000000.0,46956000000.0,46956000000.0,-1129000000.0,48085000000.0,31303000000.0,12150000000.0,19153000000.0,10231000000.0,8921000000.0,2022-12-31
1400000000.0,1400000000.0,96194000000.0,114421000000.0,64909000000.0,184298000000.0,8647000000.0,64909000000.0,,69877000000.0,147288000000.0,74232000000.0,4355000000.0,69877000000.0,,-7778000000.0,-7778000000.0,51318000000.0,26323000000.0,14000000.0,14000000.0,192772000000.0,102587000000.0,15317000000.0,9859000000.0,9859000000.0,,,77411000000.0,,77411000000.0,90185000000.0,,,,37010000000.0,37010000000.0,37010000000.0,,53175000000.0,24244000000.0,28931000000.0,28931000000.0,267004000000.0,168173000000.0,9662000000.0,20676000000.0,20676000000.0,43582000000.0,10542000000.0,10542000000.0,4968000000.0,,,78743000000.0,-8143000000.0,86886000000.0,,39991000000.0,,,,46895000000.0,98832000000.0,6881000000.0,17758000000.0,1000000.0,8935000000.0,8822000000.0,45985000000.0,45985000000.0,-1062000000.0,47047000000.0,28208000000.0,9981000000.0,18227000000.0,8706000000.0,9521000000.0,2023-03-31
1400000000.0,1400000000.0,94969000000.0,118043000000.0,66705000000.0,189698000000.0,14086000000.0,66705000000.0,,71655000000.0,153030000000.0,75972000000.0,4317000000.0,71655000000.0,-1000000.0,-7953000000.0,-7953000000.0,53517000000.0,26078000000.0,14000000.0,14000000.0,199861000000.0,107143000000.0,15940000000.0,9828000000.0,9828000000.0,,,81375000000.0,,81375000000.0,92718000000.0,1000000.0,,,36668000000.0,36668000000.0,36668000000.0,,56049000000.0,26249000000.0,29800000000.0,29800000000.0,275833000000.0,169029000000.0,9673000000.0,20640000000.0,20640000000.0,44201000000.0,10064000000.0,10064000000.0,4950000000.0,,,79501000000.0,-7981000000.0,87482000000.0,,39541000000.0,,,,47941000000.0,106804000000.0,7754000000.0,17912000000.0,,9556000000.0,8356000000.0,48508000000.0,48508000000.0,-1076000000.0,49584000000.0,32630000000.0,9556000000.0,23074000000.0,12532000000.0,10542000000.0,2023-06-30
1400000000.0,1400000000.0,93649000000.0,118873000000.0,69568000000.0,193348000000.0,13901000000.0,69568000000.0,,74475000000.0,154696000000.0,78727000000.0,4252000000.0,74475000000.0,-1000000.0,-7918000000.0,-7918000000.0,56322000000.0,26058000000.0,14000000.0,14000000.0,202978000000.0,106158000000.0,16319000000.0,9618000000.0,9618000000.0,,,80221000000.0,,80221000000.0,96820000000.0,-1000000.0,,,38652000000.0,38652000000.0,38652000000.0,,58169000000.0,27782000000.0,30387000000.0,30387000000.0,281705000000.0,170984000000.0,9792000000.0,20289000000.0,20289000000.0,44987000000.0,10549000000.0,10549000000.0,4907000000.0,,,80460000000.0,-7716000000.0,88176000000.0,,38777000000.0,,,,49399000000.0,110721000000.0,7959000000.0,17740000000.0,,9347000000.0,8393000000.0,50147000000.0,50147000000.0,-1131000000.0,51278000000.0,34875000000.0,9651000000.0,25224000000.0,15411000000.0,9813000000.0,2023-09-30
1200000000.0,1200000000.0,102888000000.0,122648000000.0,59445000000.0,186027000000.0,7173000000.0,59445000000.0,907000000.0,64286000000.0,147059000000.0,68307000000.0,4021000000.0,64286000000.0,,-10247000000.0,-10247000000.0,55391000000.0,19130000000.0,12000000.0,12000000.0,204757000000.0,110312000000.0,9919000000.0,11694000000.0,11176000000.0,5019000000.0,5019000000.0,83680000000.0,907000000.0,82773000000.0,94445000000.0,-1000000.0,2802000000.0,2802000000.0,38968000000.0,38968000000.0,38968000000.0,,52676000000.0,24562000000.0,28114000000.0,28114000000.0,273064000000.0,171446000000.0,7707000000.0,22339000000.0,22339000000.0,45043000000.0,10613000000.0,10613000000.0,4841000000.0,2941000000.0,1900000000.0,80903000000.0,-42862000000.0,123765000000.0,8135000000.0,64007000000.0,37074000000.0,13256000000.0,1293000000.0,0.0,101618000000.0,7237000000.0,16461000000.0,,9039000000.0,7422000000.0,51454000000.0,51454000000.0,-1204000000.0,52658000000.0,26466000000.0,7613000000.0,18853000000.0,9875000000.0,8977000000.0,2023-12-31
1100000000.0,1100000000.0,104602000000.0,122237000000.0,61775000000.0,188835000000.0,14693000000.0,61775000000.0,,66598000000.0,152859000000.0,70601000000.0,4003000000.0,66598000000.0,,-10459000000.0,-10459000000.0,57688000000.0,19358000000.0,11000000.0,11000000.0,205990000000.0,114213000000.0,17276000000.0,10676000000.0,10676000000.0,,,86261000000.0,,86261000000.0,91777000000.0,-1000000.0,,,35976000000.0,35976000000.0,35976000000.0,,55802000000.0,26409000000.0,29393000000.0,29393000000.0,276591000000.0,170121000000.0,7814000000.0,21704000000.0,21704000000.0,43511000000.0,10740000000.0,10740000000.0,4823000000.0,,,81529000000.0,-7013000000.0,88542000000.0,,37119000000.0,,,,51423000000.0,106470000000.0,8001000000.0,17533000000.0,,10149000000.0,7384000000.0,55456000000.0,55456000000.0,-1183000000.0,56639000000.0,25480000000.0,7845000000.0,17635000000.0,7529000000.0,10105000000.0,2024-03-31
