tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,impairment_of_capital_assets,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-645462.256149,0.322731,299600000.0,-2000000.0,-2000000.0,159700000.0,44700000.0,547600000.0,297600000.0,252900000.0,-15700000.0,17100000.0,1400000.0,161054537.743851,159700000.0,752200000.0,250500000.0,106500000.0,106200000.0,1.49,1.5,159400000.0,159400000.0,300000.0,159700000.0,159700000.0,159700000.0,76100000.0,235800000.0,-1000000.0,1000000.0,-2000000.0,0.0,2000000.0,-15700000.0,17100000.0,1400000.0,252500000.0,204600000.0,17800000.0,44700000.0,44700000.0,142100000.0,,118400000.0,24800000.0,93600000.0,457100000.0,547600000.0,1004700000.0,1004700000.0,2022-12-31
-1926400.0,0.301,313100000.0,-6400000.0,-6400000.0,173400000.0,41400000.0,627200000.0,306700000.0,265300000.0,-15100000.0,17100000.0,2000000.0,177873600.0,173400000.0,733900000.0,247900000.0,106200000.0,105900000.0,1.63,1.63,172600000.0,172600000.0,800000.0,173400000.0,173400000.0,173400000.0,74800000.0,248200000.0,9000000.0,15400000.0,-6400000.0,,6400000.0,-15100000.0,17100000.0,2000000.0,254300000.0,106700000.0,27600000.0,41400000.0,41400000.0,37700000.0,6200000.0,31500000.0,31500000.0,,361000000.0,627200000.0,988200000.0,988200000.0,2023-03-31
-214200.0,0.306,299000000.0,-700000.0,-700000.0,167800000.0,39800000.0,440700000.0,298300000.0,258500000.0,-13900000.0,16700000.0,2800000.0,168285800.0,167800000.0,662300000.0,244800000.0,106100000.0,105700000.0,1.57,1.58,167000000.0,167000000.0,800000.0,167800000.0,167800000.0,167800000.0,74000000.0,241800000.0,10200000.0,10900000.0,-700000.0,0.0,700000.0,-13900000.0,16700000.0,2800000.0,245500000.0,221600000.0,54900000.0,39800000.0,39800000.0,126900000.0,,126900000.0,20400000.0,106500000.0,467100000.0,440700000.0,907800000.0,907800000.0,2023-06-30
-183200.0,0.229,325100000.0,-800000.0,-800000.0,208200000.0,38800000.0,524400000.0,324300000.0,285500000.0,-11900000.0,15400000.0,3500000.0,208816800.0,208200000.0,636800000.0,271200000.0,106100000.0,105700000.0,1.95,1.96,207100000.0,207100000.0,1100000.0,208200000.0,208200000.0,208200000.0,61900000.0,270100000.0,10000000.0,10800000.0,-800000.0,0.0,800000.0,-11900000.0,15400000.0,3500000.0,272000000.0,112400000.0,40300000.0,38800000.0,38800000.0,33300000.0,8900000.0,24400000.0,24400000.0,,384400000.0,524400000.0,908800000.0,908800000.0,2023-09-30
10504347.826087,0.262609,298700000.0,40000000.0,40000000.0,212000000.0,38000000.0,582500000.0,338700000.0,300700000.0,-9500000.0,13200000.0,3700000.0,182504347.826087,212000000.0,675200000.0,294000000.0,106200000.0,105700000.0,1.98,1.99,210800000.0,210800000.0,1200000.0,212000000.0,212000000.0,212000000.0,75500000.0,287500000.0,3500000.0,-36500000.0,500000.0,0.0,-500000.0,-9500000.0,13200000.0,3700000.0,293500000.0,92700000.0,22400000.0,38000000.0,38000000.0,32300000.0,9000000.0,23300000.0,23300000.0,,386200000.0,582500000.0,968700000.0,968700000.0,2023-12-31
