tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.003402,-54342000.0,-71184000.0,16586000.0,40570000.0,-54342000.0,-70928000.0,4467000.0,499000.0,4966000.0,-71184000.0,-71184000.0,277255000.0,-75202000.0,138415280.0,138415280.0,-0.51,-0.51,-71184000.0,-71184000.0,-71184000.0,-71184000.0,-71184000.0,-243000.0,-71427000.0,-692000.0,-692000.0,4467000.0,499000.0,4966000.0,-75202000.0,236685000.0,,75413000.0,161272000.0,118170000.0,43102000.0,43102000.0,161483000.0,40570000.0,202053000.0,202053000.0,2022-12-31
0.0,0.21,-46019000.0,-63447000.0,16874000.0,40202000.0,-46019000.0,-62893000.0,4452000.0,496000.0,4948000.0,-63447000.0,-63447000.0,281157000.0,-69263000.0,139646465.0,139646465.0,-0.45,-0.45,-63447000.0,-63447000.0,-63447000.0,-63447000.0,-63447000.0,58000.0,-63389000.0,-210000.0,-210000.0,4452000.0,496000.0,4948000.0,-67631000.0,240955000.0,-1632000.0,80036000.0,162551000.0,117363000.0,45188000.0,45188000.0,173324000.0,40202000.0,213526000.0,213526000.0,2023-03-31
0.0,0.21,-34732000.0,-52881000.0,17336000.0,42304000.0,-34732000.0,-52068000.0,4452000.0,491000.0,4943000.0,-52881000.0,-52881000.0,285234000.0,-58729000.0,141238489.0,141238489.0,-0.37,-0.37,-52881000.0,-52881000.0,-52881000.0,-52881000.0,-52881000.0,322000.0,-52559000.0,-313000.0,-313000.0,4452000.0,491000.0,4943000.0,-56698000.0,242930000.0,-2031000.0,73216000.0,171745000.0,125362000.0,46383000.0,46383000.0,186232000.0,42304000.0,228536000.0,228536000.0,2023-06-30
0.0,0.21,-25431000.0,-43847000.0,17733000.0,44125000.0,-25431000.0,-43164000.0,4231000.0,490000.0,4721000.0,-43847000.0,-43847000.0,298258000.0,-50351000.0,142828406.0,142828406.0,-0.31,-0.31,-43847000.0,-43847000.0,-43847000.0,-43847000.0,-43847000.0,193000.0,-43654000.0,2466000.0,2466000.0,4231000.0,490000.0,4721000.0,-50351000.0,254133000.0,,72708000.0,181425000.0,129672000.0,51753000.0,51753000.0,203782000.0,44125000.0,247907000.0,247907000.0,2023-09-30
0.0,0.21,-8649000.0,-29519000.0,19690000.0,47831000.0,-8649000.0,-28339000.0,4687000.0,480000.0,5167000.0,-29519000.0,-29519000.0,297375000.0,-37334000.0,144074303.0,144074303.0,-0.2,-0.2,-29519000.0,-29519000.0,-29519000.0,-29519000.0,-29519000.0,700000.0,-28819000.0,3828000.0,3828000.0,4687000.0,480000.0,5167000.0,-37334000.0,249544000.0,,74611000.0,174933000.0,122511000.0,52422000.0,52422000.0,212210000.0,47831000.0,260041000.0,260041000.0,2023-12-31
