free_cash_flow,issuance_of_capital_stock,capital_expenditure,interest_paid_supplemental_data,income_tax_paid_supplemental_data,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,proceeds_from_stock_option_exercised,net_common_stock_issuance,common_stock_issuance,net_issuance_payments_of_debt,net_long_term_debt_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,net_investment_purchase_and_sale,sale_of_investment,purchase_of_investment,net_business_purchase_and_sale,purchase_of_business,net_ppe_purchase_and_sale,purchase_of_ppe,capital_expenditure_reported,operating_cash_flow,cash_flow_from_continuing_operating_activities,change_in_working_capital,change_in_other_working_capital,change_in_other_current_liabilities,change_in_payables_and_accrued_expense,change_in_accrued_expense,change_in_payable,change_in_account_payable,change_in_prepaid_assets,change_in_receivables,changes_in_account_receivables,other_non_cash_items,stock_based_compensation,provisionand_write_offof_assets,amortization_of_securities,deferred_tax,deferred_income_tax,depreciation_amortization_depletion,depreciation_and_amortization,operating_gains_losses,gain_loss_on_investment_securities,net_foreign_currency_exchange_gain_loss,gain_loss_on_sale_of_ppe,net_income_from_continuing_operations,date
11715000.0,0.0,-10977000.0,17000.0,-46000.0,299816000.0,267726000.0,1834000.0,30256000.0,9394000.0,9394000.0,-3870000.0,13639000.0,0.0,0.0,-375000.0,-375000.0,-1830000.0,-1830000.0,-51000.0,9198000.0,,-76434000.0,0.0,0.0,-2112000.0,-2112000.0,-8865000.0,22692000.0,22692000.0,26851000.0,57795000.0,-1780000.0,9877000.0,11559000.0,-1682000.0,-1682000.0,3502000.0,-42543000.0,-42543000.0,2611000.0,47005000.0,,-1359000.0,67000.0,67000.0,16586000.0,16586000.0,-952000.0,,-1232000.0,280000.0,-71184000.0,2022-12-31
19151000.0,,-10124000.0,0.0,79000.0,332068000.0,299816000.0,-256000.0,32508000.0,3312000.0,3312000.0,,3722000.0,,,-410000.0,-410000.0,-79000.0,-79000.0,-3719000.0,13764000.0,103909000.0,-90145000.0,,,-2173000.0,-2173000.0,-7951000.0,29275000.0,29275000.0,27373000.0,6029000.0,-2620000.0,-23533000.0,-28181000.0,4648000.0,4648000.0,4549000.0,42948000.0,42948000.0,2628000.0,44938000.0,1726000.0,-1632000.0,2000.0,2000.0,16874000.0,16874000.0,813000.0,-36000.0,408000.0,441000.0,-63447000.0,2023-03-31
-23598000.0,,-11921000.0,0.0,606000.0,312518000.0,332068000.0,-53000.0,-19497000.0,19703000.0,19703000.0,,20223000.0,,,-520000.0,-520000.0,-27523000.0,-27523000.0,-292000.0,-15310000.0,124269000.0,-139579000.0,,,-2521000.0,-2521000.0,-9400000.0,-11677000.0,-11677000.0,-21485000.0,9923000.0,-2761000.0,-6428000.0,-2929000.0,-3499000.0,-3499000.0,-2848000.0,-19371000.0,-19371000.0,-1058000.0,42487000.0,2004000.0,,3000.0,3000.0,17336000.0,17336000.0,285000.0,42000.0,149000.0,94000.0,-52881000.0,2023-06-30
22459000.0,,-11215000.0,4000.0,-3000.0,318318000.0,312518000.0,-572000.0,6372000.0,3635000.0,3635000.0,,4155000.0,,,-520000.0,-520000.0,-30937000.0,-30937000.0,1479000.0,-15190000.0,64894000.0,-80084000.0,,,-3379000.0,-3379000.0,-7836000.0,33674000.0,33674000.0,11470000.0,8029000.0,-2791000.0,30244000.0,29135000.0,1109000.0,1109000.0,-3579000.0,-20433000.0,-20433000.0,6362000.0,44809000.0,3152000.0,,2000.0,2000.0,17733000.0,17733000.0,608000.0,149000.0,182000.0,277000.0,-43847000.0,2023-09-30
28993000.0,,-11750000.0,0.0,177000.0,357790000.0,318318000.0,1736000.0,37736000.0,14515000.0,14515000.0,,14918000.0,,,-403000.0,-403000.0,-17522000.0,-17522000.0,-3023000.0,-8760000.0,84620000.0,-93380000.0,6011000.0,6011000.0,-2252000.0,-2252000.0,-9498000.0,40743000.0,40743000.0,6047000.0,73303000.0,-5668000.0,3538000.0,6734000.0,-3196000.0,-3196000.0,-4490000.0,-60636000.0,-60636000.0,5160000.0,42601000.0,1170000.0,-3175000.0,-776000.0,-776000.0,19690000.0,19690000.0,-742000.0,,-1263000.0,676000.0,-29519000.0,2023-12-31
