tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-28809523.809524,0.238095,253000000.0,-121000000.0,-121000000.0,47000000.0,52000000.0,2365000000.0,132000000.0,80000000.0,-9000000.0,17000000.0,8000000.0,139190476.190476,47000000.0,3178000000.0,72000000.0,,,,,47000000.0,47000000.0,47000000.0,-4000000.0,51000000.0,51000000.0,3000000.0,15000000.0,63000000.0,-121000000.0,0.0,-121000000.0,121000000.0,-9000000.0,17000000.0,8000000.0,193000000.0,806000000.0,45000000.0,45000000.0,761000000.0,999000000.0,2372000000.0,3371000000.0,3371000000.0,2022-12-31
-7140000.0,0.238,259000000.0,-30000000.0,-30000000.0,121000000.0,52000000.0,2086000000.0,229000000.0,177000000.0,-11000000.0,14000000.0,3000000.0,143860000.0,121000000.0,2855000000.0,175000000.0,133039886.0,131365789.0,0.91,0.92,121000000.0,121000000.0,121000000.0,-7000000.0,128000000.0,128000000.0,4000000.0,39000000.0,163000000.0,-31000000.0,-1000000.0,-30000000.0,30000000.0,-11000000.0,14000000.0,3000000.0,205000000.0,761000000.0,44000000.0,44000000.0,717000000.0,966000000.0,2094000000.0,3060000000.0,3060000000.0,2023-03-31
-3960000.0,0.22,282000000.0,-18000000.0,-18000000.0,140000000.0,59000000.0,2115000000.0,264000000.0,205000000.0,-16000000.0,19000000.0,3000000.0,154040000.0,140000000.0,2881000000.0,201000000.0,131873174.0,130905899.0,1.06,1.07,140000000.0,140000000.0,140000000.0,-8000000.0,148000000.0,148000000.0,3000000.0,41000000.0,186000000.0,-17000000.0,1000000.0,-18000000.0,18000000.0,-16000000.0,19000000.0,3000000.0,219000000.0,756000000.0,49000000.0,49000000.0,707000000.0,975000000.0,2125000000.0,3100000000.0,3100000000.0,2023-06-30
-2409000.0,0.219,284000000.0,-11000000.0,-11000000.0,137000000.0,69000000.0,2157000000.0,273000000.0,204000000.0,-19000000.0,25000000.0,6000000.0,145591000.0,137000000.0,2951000000.0,200000000.0,131442135.0,130388353.0,1.05,1.06,137000000.0,137000000.0,137000000.0,-6000000.0,143000000.0,143000000.0,3000000.0,39000000.0,179000000.0,-13000000.0,-2000000.0,-11000000.0,11000000.0,-19000000.0,25000000.0,6000000.0,211000000.0,784000000.0,59000000.0,59000000.0,725000000.0,995000000.0,2167000000.0,3162000000.0,3162000000.0,2023-09-30
-1500000.0,0.071429,132000000.0,-21000000.0,-21000000.0,18000000.0,68000000.0,2082000000.0,111000000.0,43000000.0,-24000000.0,29000000.0,5000000.0,37500000.0,18000000.0,2957000000.0,39000000.0,,,,,18000000.0,18000000.0,18000000.0,1000000.0,17000000.0,17000000.0,4000000.0,1000000.0,14000000.0,-22000000.0,-1000000.0,-21000000.0,21000000.0,-24000000.0,29000000.0,5000000.0,60000000.0,865000000.0,58000000.0,58000000.0,807000000.0,925000000.0,2092000000.0,3017000000.0,3017000000.0,2023-12-31
