preferred_shares_number,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,total_partnership_capital,general_partnership_capital,limited_partnership_capital,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,preferred_securities_outside_stock_equity,derivative_product_liabilities,non_current_deferred_liabilities,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,long_term_provisions,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,payables_and_accrued_expenses,total_assets,total_non_current_assets,other_non_current_assets,non_current_note_receivables,non_current_accounts_receivable,financial_assets,investments_and_advances,investmentin_financial_assets,available_for_sale_securities,financial_assets_designatedas_fair_value_through_profitor_loss_total,long_term_equity_investment,investmentsin_joint_venturesat_cost,investmentsin_associatesat_cost,investment_properties,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,current_assets,other_current_assets,hedging_assets_current,assets_held_for_sale_current,restricted_cash,prepaid_assets,inventory,receivables,loans_receivable,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date,gains_losses_not_affecting_retained_earnings,retained_earnings
28860000.0,54939000000.0,60171000000.0,7008000000.0,67879000000.0,-17095000000.0,-1912000000.0,1212000000.0,8920000000.0,47949000000.0,41737000000.0,32817000000.0,0.0,8920000000.0,4000000.0,8916000000.0,70779000000.0,46598000000.0,824000000.0,2233000000.0,371000000.0,3085000000.0,21000000.0,3064000000.0,40078000000.0,1049000000.0,39029000000.0,7000000.0,24181000000.0,800000000.0,436000000.0,436000000.0,20093000000.0,163000000.0,19930000000.0,19930000000.0,2852000000.0,112516000000.0,105430000000.0,1991000000.0,372000000.0,464000000.0,170000000.0,22535000000.0,2592000000.0,69000000.0,2523000000.0,19943000000.0,,,68585000000.0,1912000000.0,966000000.0,946000000.0,9401000000.0,-1025000000.0,10426000000.0,7086000000.0,342000000.0,124000000.0,576000000.0,342000000.0,405000000.0,176000000.0,1101000000.0,314000000.0,787000000.0,-63000000.0,850000000.0,4020000000.0,4020000000.0,2022-12-31,,
11500000.0,65895000000.0,70073000000.0,6687000000.0,77973000000.0,-26607000000.0,-2475000000.0,1262000000.0,9162000000.0,50820000000.0,45181000000.0,36019000000.0,0.0,9162000000.0,4000000.0,9158000000.0,82977000000.0,50211000000.0,703000000.0,2379000000.0,483000000.0,3881000000.0,19000000.0,3862000000.0,42752000000.0,1094000000.0,41658000000.0,13000000.0,32766000000.0,1061000000.0,574000000.0,574000000.0,27321000000.0,168000000.0,27153000000.0,27153000000.0,3810000000.0,128158000000.0,121999000000.0,2358000000.0,386000000.0,505000000.0,375000000.0,22981000000.0,2656000000.0,70000000.0,2586000000.0,20325000000.0,,,82726000000.0,2475000000.0,1041000000.0,1434000000.0,10193000000.0,-1103000000.0,11296000000.0,6159000000.0,487000000.0,140000000.0,311000000.0,373000000.0,243000000.0,241000000.0,1448000000.0,421000000.0,1027000000.0,-68000000.0,1095000000.0,2916000000.0,2916000000.0,2023-03-31,,
28860000.0,64701000000.0,68770000000.0,6629000000.0,76617000000.0,-25440000000.0,-2519000000.0,1301000000.0,9148000000.0,50164000000.0,47337000000.0,38189000000.0,0.0,9148000000.0,4000000.0,9144000000.0,82633000000.0,49656000000.0,747000000.0,2379000000.0,517000000.0,3846000000.0,26000000.0,3820000000.0,42147000000.0,1131000000.0,41016000000.0,20000000.0,32977000000.0,1965000000.0,561000000.0,561000000.0,26623000000.0,170000000.0,26453000000.0,26453000000.0,3828000000.0,129970000000.0,122433000000.0,2341000000.0,562000000.0,46000000.0,495000000.0,22628000000.0,2753000000.0,65000000.0,2688000000.0,19875000000.0,,,83538000000.0,2519000000.0,1062000000.0,1457000000.0,10304000000.0,-1218000000.0,11522000000.0,7537000000.0,566000000.0,302000000.0,1130000000.0,339000000.0,272000000.0,334000000.0,1826000000.0,379000000.0,1447000000.0,-69000000.0,1516000000.0,2768000000.0,2768000000.0,2023-06-30,,
,64659000000.0,68394000000.0,6502000000.0,76126000000.0,-24620000000.0,-2409000000.0,1179000000.0,8911000000.0,48260000000.0,48443000000.0,39532000000.0,0.0,8911000000.0,4000000.0,8907000000.0,81537000000.0,48037000000.0,718000000.0,2653000000.0,335000000.0,3835000000.0,18000000.0,3817000000.0,40477000000.0,1128000000.0,39349000000.0,19000000.0,33500000000.0,1773000000.0,513000000.0,513000000.0,27917000000.0,51000000.0,27866000000.0,27866000000.0,3297000000.0,129980000000.0,121100000000.0,2372000000.0,545000000.0,50000000.0,351000000.0,22855000000.0,3289000000.0,65000000.0,3224000000.0,19566000000.0,19256000000.0,310000000.0,82290000000.0,2409000000.0,1019000000.0,1390000000.0,10228000000.0,-1288000000.0,11516000000.0,8880000000.0,513000000.0,373000000.0,1638000000.0,336000000.0,269000000.0,274000000.0,2921000000.0,1668000000.0,1253000000.0,-67000000.0,1320000000.0,2556000000.0,2556000000.0,2023-09-30,,
28860000.0,67362000000.0,70992000000.0,6284000000.0,78491000000.0,-26214000000.0,-2504000000.0,1289000000.0,8788000000.0,48866000000.0,48588000000.0,39800000000.0,0.0,8788000000.0,4000000.0,9711000000.0,82989000000.0,47734000000.0,693000000.0,2040000000.0,185000000.0,3483000000.0,26000000.0,3457000000.0,41321000000.0,1243000000.0,40078000000.0,12000000.0,35255000000.0,1895000000.0,473000000.0,473000000.0,29671000000.0,46000000.0,29625000000.0,29625000000.0,3216000000.0,131577000000.0,122536000000.0,2606000000.0,427000000.0,43000000.0,192000000.0,22764000000.0,3329000000.0,89000000.0,3240000000.0,19435000000.0,,,82915000000.0,2504000000.0,1054000000.0,1450000000.0,11085000000.0,-1428000000.0,12513000000.0,9041000000.0,1102000000.0,299000000.0,1852000000.0,326000000.0,270000000.0,131000000.0,2720000000.0,1365000000.0,1355000000.0,-63000000.0,1418000000.0,2341000000.0,2341000000.0,2023-12-31,8000000.0,-935000000.0
