treasury_shares_number,ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,current_liabilities,other_current_liabilities,current_debt_and_capital_lease_obligation,current_debt,other_current_borrowings,payables_and_accrued_expenses,payables,other_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_prepaid_assets,investments_and_advances,investmentin_financial_assets,held_to_maturity_securities,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,construction_in_progress,machinery_furniture_equipment,properties,current_assets,other_current_assets,restricted_cash,prepaid_assets,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,date
,892751571.0,892751571.0,1834000000.0,6831000000.0,8790000000.0,6664000000.0,6831000000.0,6956000000.0,6956000000.0,6956000000.0,6956000000.0,0.0,,-4905000000.0,11861000000.0,0.0,0.0,,16381000000.0,128000000.0,128000000.0,16253000000.0,9533000000.0,1834000000.0,1834000000.0,1834000000.0,4886000000.0,4886000000.0,4701000000.0,185000000.0,23337000000.0,420000000.0,132000000.0,17000000.0,,,,125000000.0,25000000.0,100000000.0,146000000.0,-39000000.0,185000000.0,64000000.0,44000000.0,77000000.0,0.0,22917000000.0,8589000000.0,2995000000.0,186000000.0,3294000000.0,3294000000.0,,3218000000.0,7853000000.0,1514000000.0,6339000000.0,,,2022-12-31
,900241522.0,900241522.0,2609000000.0,6923000000.0,9655000000.0,6571000000.0,6923000000.0,7046000000.0,7046000000.0,7046000000.0,7046000000.0,,,-5416000000.0,12462000000.0,0.0,0.0,0.0,20739000000.0,122000000.0,122000000.0,20617000000.0,12819000000.0,2609000000.0,2609000000.0,2609000000.0,5189000000.0,5189000000.0,4986000000.0,203000000.0,27785000000.0,597000000.0,131000000.0,11000000.0,195000000.0,195000000.0,195000000.0,123000000.0,23000000.0,100000000.0,137000000.0,,,,,,,27188000000.0,11564000000.0,4213000000.0,337000000.0,3264000000.0,3264000000.0,-18000000.0,3282000000.0,7810000000.0,2351000000.0,5459000000.0,,,2023-03-31
,909694702.0,909694702.0,2982000000.0,7066000000.0,10169000000.0,6750000000.0,7066000000.0,7187000000.0,7187000000.0,7187000000.0,7187000000.0,-3000000.0,-3000000.0,-5391000000.0,12581000000.0,0.0,0.0,0.0,21473000000.0,117000000.0,117000000.0,21356000000.0,13027000000.0,2982000000.0,2982000000.0,2982000000.0,5347000000.0,5347000000.0,5111000000.0,236000000.0,28660000000.0,554000000.0,131000000.0,6000000.0,165000000.0,165000000.0,165000000.0,121000000.0,21000000.0,100000000.0,131000000.0,,,,,,,28106000000.0,11626000000.0,4220000000.0,311000000.0,3430000000.0,3430000000.0,-20000000.0,3450000000.0,8519000000.0,2690000000.0,5829000000.0,251000000.0,5578000000.0,2023-06-30
0.0,862558666.0,862558666.0,3245000000.0,6357000000.0,9819000000.0,6091000000.0,6357000000.0,6574000000.0,6574000000.0,6574000000.0,6574000000.0,-4000000.0,-4000000.0,-5476000000.0,12054000000.0,0.0,0.0,0.0,19744000000.0,96000000.0,96000000.0,19648000000.0,11705000000.0,3245000000.0,3245000000.0,3245000000.0,4698000000.0,4698000000.0,4325000000.0,373000000.0,26318000000.0,579000000.0,118000000.0,3000000.0,118000000.0,118000000.0,118000000.0,217000000.0,53000000.0,164000000.0,123000000.0,,,,,,,25739000000.0,10313000000.0,3448000000.0,350000000.0,3767000000.0,3767000000.0,-17000000.0,3784000000.0,7861000000.0,2972000000.0,4889000000.0,254000000.0,4635000000.0,2023-09-30
,872162664.0,872162664.0,3547000000.0,6473000000.0,10243000000.0,6245000000.0,6473000000.0,6696000000.0,6696000000.0,6696000000.0,6696000000.0,-3000000.0,-3000000.0,-5446000000.0,12145000000.0,0.0,0.0,0.0,25636000000.0,91000000.0,91000000.0,25545000000.0,16517000000.0,3547000000.0,3547000000.0,3547000000.0,5481000000.0,5481000000.0,5097000000.0,384000000.0,32332000000.0,542000000.0,122000000.0,4000000.0,73000000.0,73000000.0,73000000.0,223000000.0,48000000.0,175000000.0,120000000.0,-111000000.0,231000000.0,39000000.0,30000000.0,162000000.0,0.0,31790000000.0,14915000000.0,4786000000.0,63000000.0,3584000000.0,3584000000.0,,3584000000.0,8442000000.0,3607000000.0,4835000000.0,,,2023-12-31
