tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,impairment_of_capital_assets,operating_income,operating_expense,other_operating_expenses,provision_for_doubtful_accounts,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,insurance_and_claims,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date,gain_on_sale_of_security
23809.52381,0.011905,-141000000.0,2000000.0,2000000.0,-166000000.0,17000000.0,85000000.0,-139000000.0,-156000000.0,-167976190.47619,-166000000.0,536000000.0,889239632.0,889239632.0,-0.19,-0.19,-166000000.0,-166000000.0,0.0,-166000000.0,-166000000.0,-166000000.0,-2000000.0,-168000000.0,-12000000.0,-14000000.0,2000000.0,0.0,-2000000.0,-156000000.0,451000000.0,10000000.0,10000000.0,183000000.0,248000000.0,24000000.0,224000000.0,30000000.0,10000000.0,184000000.0,295000000.0,85000000.0,380000000.0,353000000.0,2022-12-31,
-1680000.0,0.21,-473000000.0,-8000000.0,-8000000.0,-511000000.0,20000000.0,36000000.0,-481000000.0,-501000000.0,-504680000.0,-511000000.0,942000000.0,896924695.0,896924695.0,-0.57,-0.57,-511000000.0,-511000000.0,,-511000000.0,-511000000.0,-511000000.0,2000000.0,-509000000.0,-8000000.0,,-8000000.0,8000000.0,,-501000000.0,906000000.0,8000000.0,11000000.0,199000000.0,688000000.0,20000000.0,668000000.0,46000000.0,,622000000.0,405000000.0,36000000.0,441000000.0,415000000.0,2023-03-31,
0.0,0.21,35000000.0,0.0,0.0,25000000.0,15000000.0,39000000.0,35000000.0,20000000.0,25000000.0,25000000.0,466000000.0,921269749.0,904984863.0,0.03,0.03,25000000.0,25000000.0,,25000000.0,25000000.0,25000000.0,-3000000.0,22000000.0,2000000.0,2000000.0,0.0,,,20000000.0,427000000.0,8000000.0,6000000.0,207000000.0,206000000.0,18000000.0,188000000.0,52000000.0,,136000000.0,447000000.0,39000000.0,486000000.0,427000000.0,2023-06-30,
-22470000.0,0.21,160000000.0,-107000000.0,-107000000.0,-85000000.0,19000000.0,39000000.0,53000000.0,34000000.0,-470000.0,-85000000.0,433000000.0,895108790.0,895108790.0,-0.09,-0.09,-85000000.0,-85000000.0,0.0,-85000000.0,-85000000.0,-85000000.0,10000000.0,-75000000.0,-109000000.0,-2000000.0,-107000000.0,107000000.0,,34000000.0,394000000.0,5000000.0,16000000.0,202000000.0,171000000.0,22000000.0,149000000.0,43000000.0,,106000000.0,428000000.0,39000000.0,467000000.0,436000000.0,2023-09-30,
-840000.0,0.21,51000000.0,-4000000.0,-4000000.0,30000000.0,17000000.0,471000000.0,47000000.0,30000000.0,33160000.0,30000000.0,441000000.0,883227967.0,867298537.0,0.03,0.03,30000000.0,30000000.0,,30000000.0,30000000.0,30000000.0,-1000000.0,29000000.0,-1000000.0,,,,,30000000.0,-30000000.0,6000000.0,16000000.0,-322000000.0,270000000.0,35000000.0,235000000.0,53000000.0,,182000000.0,0.0,471000000.0,471000000.0,436000000.0,2023-12-31,-4000000.0
