tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_business,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-44100000.0,0.21,799000000.0,-210000000.0,-210000000.0,93000000.0,274000000.0,1917000000.0,589000000.0,315000000.0,-80000000.0,122000000.0,42000000.0,258900000.0,4226000000.0,2651000000.0,478400000.0,477300000.0,8.69,8.71,4226000000.0,4226000000.0,4226000000.0,-12000000.0,4238000000.0,4133000000.0,105000000.0,88000000.0,193000000.0,-180000000.0,17000000.0,-216000000.0,3000000.0,313000000.0,13000000.0,6000000.0,-80000000.0,122000000.0,42000000.0,453000000.0,603000000.0,143000000.0,143000000.0,143000000.0,143000000.0,123000000.0,337000000.0,1056000000.0,2048000000.0,3104000000.0,3104000000.0,2022-12-31
-6524000.0,0.233,756000000.0,-28000000.0,-28000000.0,265000000.0,277000000.0,1853000000.0,728000000.0,451000000.0,-49000000.0,95000000.0,46000000.0,286476000.0,257000000.0,2597000000.0,460200000.0,458800000.0,0.56,0.56,257000000.0,257000000.0,257000000.0,-8000000.0,265000000.0,-8000000.0,273000000.0,83000000.0,356000000.0,-16000000.0,-3000000.0,-8000000.0,6000000.0,14000000.0,15000000.0,-20000000.0,-49000000.0,95000000.0,46000000.0,421000000.0,614000000.0,147000000.0,147000000.0,147000000.0,147000000.0,127000000.0,340000000.0,1035000000.0,1983000000.0,3018000000.0,3018000000.0,2023-03-31
-11956000.0,0.244,785000000.0,-49000000.0,-49000000.0,255000000.0,282000000.0,1894000000.0,736000000.0,454000000.0,-46000000.0,98000000.0,52000000.0,292044000.0,-131000000.0,2659000000.0,460300000.0,459200000.0,-0.29,-0.29,-131000000.0,-131000000.0,-131000000.0,-14000000.0,-117000000.0,-386000000.0,269000000.0,87000000.0,356000000.0,-33000000.0,2000000.0,-21000000.0,2000000.0,23000000.0,14000000.0,-28000000.0,-46000000.0,98000000.0,52000000.0,435000000.0,629000000.0,146000000.0,146000000.0,146000000.0,146000000.0,125000000.0,358000000.0,1064000000.0,2030000000.0,3094000000.0,3094000000.0,2023-06-30
0.0,0.287,804000000.0,0.0,0.0,282000000.0,294000000.0,1815000000.0,804000000.0,510000000.0,-68000000.0,102000000.0,34000000.0,282000000.0,319000000.0,2597000000.0,453400000.0,451700000.0,0.7,0.71,319000000.0,319000000.0,319000000.0,-9000000.0,328000000.0,37000000.0,291000000.0,117000000.0,408000000.0,15000000.0,4000000.0,-17000000.0,0.0,17000000.0,11000000.0,17000000.0,-68000000.0,102000000.0,34000000.0,461000000.0,643000000.0,155000000.0,155000000.0,155000000.0,155000000.0,128000000.0,360000000.0,1104000000.0,1954000000.0,3058000000.0,3058000000.0,2023-09-30
-198870000.0,0.21,726000000.0,-947000000.0,-947000000.0,-308000000.0,294000000.0,1726000000.0,-221000000.0,-515000000.0,-78000000.0,101000000.0,23000000.0,440130000.0,-22000000.0,2507000000.0,,,,,-22000000.0,-22000000.0,-22000000.0,-8000000.0,-14000000.0,286000000.0,-300000000.0,-316000000.0,-616000000.0,-929000000.0,7000000.0,-905000000.0,11000000.0,112000000.0,11000000.0,-42000000.0,-78000000.0,101000000.0,23000000.0,391000000.0,639000000.0,152000000.0,152000000.0,152000000.0,152000000.0,128000000.0,359000000.0,1030000000.0,1868000000.0,2898000000.0,2898000000.0,2023-12-31
