tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,restructuring_and_mergern_acquisition,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
3352079.54023,0.33364,58733000.0,10047000.0,10047000.0,25722000.0,17893000.0,54703000.0,68780000.0,50887000.0,-11589000.0,11737000.0,148000.0,19027079.54023,25722000.0,246189000.0,40759000.0,323916511.0,310025480.0,0.08,0.08,25711000.0,,25711000.0,11000.0,25722000.0,25722000.0,25722000.0,-366000.0,13062000.0,39150000.0,9980000.0,-67000.0,1421000.0,0.0,-1421000.0,8626000.0,-11589000.0,,11737000.0,148000.0,40759000.0,183838000.0,10245000.0,10245000.0,10245000.0,10245000.0,67890000.0,105703000.0,53946000.0,51757000.0,45666000.0,6091000.0,224597000.0,62351000.0,286948000.0,286948000.0,2022-12-31
-192895.0,0.173,85475000.0,-1115000.0,-1115000.0,45490000.0,18057000.0,59675000.0,84360000.0,66303000.0,-11092000.0,11321000.0,229000.0,46412105.0,45490000.0,248626000.0,65785000.0,331251884.0,310758802.0,0.14,0.15,47188000.0,1717000.0,45471000.0,19000.0,45490000.0,45490000.0,45490000.0,0.0,9492000.0,54982000.0,289000.0,1404000.0,0.0,0.0,0.0,-1115000.0,-11092000.0,,11321000.0,229000.0,65785000.0,181442000.0,10548000.0,10548000.0,10548000.0,10548000.0,67800000.0,103094000.0,52141000.0,50953000.0,46807000.0,4146000.0,247227000.0,67184000.0,314411000.0,314411000.0,2023-03-31
1699740.0,0.21,63933000.0,8094000.0,8094000.0,48685000.0,17247000.0,58681000.0,72027000.0,54780000.0,-9484000.0,9994000.0,510000.0,42290740.0,48685000.0,243444000.0,53305000.0,332352725.0,311914602.0,0.15,0.16,50389000.0,1723000.0,48666000.0,19000.0,48685000.0,48685000.0,48685000.0,0.0,-3899000.0,44786000.0,965000.0,-7129000.0,0.0,0.0,0.0,8094000.0,-9484000.0,,9994000.0,510000.0,53305000.0,177018000.0,9502000.0,9502000.0,9502000.0,9502000.0,70117000.0,97399000.0,54364000.0,43035000.0,39258000.0,3777000.0,230323000.0,66426000.0,296749000.0,296749000.0,2023-06-30
935439.0,0.237,91846000.0,3947000.0,3947000.0,53027000.0,17483000.0,56710000.0,95793000.0,78310000.0,-10047000.0,8725000.0,501000.0,50015439.0,53027000.0,232933000.0,73679000.0,332825186.0,313069132.0,0.16,0.17,54725000.0,1716000.0,53009000.0,18000.0,53027000.0,53027000.0,53027000.0,-44000.0,16514000.0,69585000.0,5953000.0,2006000.0,0.0,0.0,0.0,3947000.0,-10047000.0,1823000.0,8725000.0,501000.0,73679000.0,168257000.0,9517000.0,9517000.0,9517000.0,9517000.0,65465000.0,93275000.0,53757000.0,39518000.0,42678000.0,-3160000.0,241936000.0,64676000.0,306612000.0,306612000.0,2023-09-30
-979440.0,0.21,51891000.0,-4664000.0,-4664000.0,179585000.0,19074000.0,57671000.0,47227000.0,28153000.0,-9170000.0,13979000.0,-660000.0,183269560.0,179585000.0,272868000.0,37773000.0,,,,,181284000.0,1717000.0,179567000.0,18000.0,179585000.0,179585000.0,179585000.0,63000.0,-165348000.0,14174000.0,-14429000.0,-9765000.0,0.0,0.0,0.0,-4664000.0,-9170000.0,,13979000.0,-660000.0,37773000.0,205071000.0,8948000.0,8948000.0,8948000.0,8948000.0,71237000.0,124886000.0,64074000.0,60812000.0,51995000.0,8817000.0,242844000.0,67797000.0,310641000.0,310641000.0,2023-12-31
