treasury_shares_number,ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,payables_and_accrued_expenses,current_accrued_expenses,payables,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,machinery_furniture_equipment,properties,current_assets,other_current_assets,inventory,work_in_process,raw_materials,receivables,other_receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date
13281222.0,47666725.0,60947947.0,535174000.0,460463000.0,2214322000.0,708451000.0,460463000.0,294441000.0,1973589000.0,2201407000.0,1974291000.0,702000.0,1973589000.0,-93451000.0,-93451000.0,1222645000.0,3214281000.0,74795000.0,609000.0,609000.0,0.0,3550316000.0,796794000.0,344405000.0,452389000.0,224571000.0,227818000.0,2753522000.0,1098263000.0,1098263000.0,82785000.0,69870000.0,12915000.0,12915000.0,1572474000.0,723190000.0,849284000.0,849284000.0,5524607000.0,2062634000.0,123626000.0,1513126000.0,593975000.0,919151000.0,425882000.0,-394242000.0,820124000.0,6060000.0,274180000.0,409526000.0,130358000.0,3461973000.0,79346000.0,85641000.0,11627000.0,74014000.0,2840547000.0,273176000.0,2567371000.0,-22382000.0,2589753000.0,456439000.0,456439000.0,2022-12-31
13384440.0,47635583.0,61020023.0,641950000.0,557751000.0,2412466000.0,901029000.0,557751000.0,295107000.0,2065623000.0,2396942000.0,2066325000.0,702000.0,2065623000.0,-90675000.0,-90675000.0,1238722000.0,3318560000.0,75850000.0,610000.0,610000.0,0.0,3574585000.0,913194000.0,355587000.0,557607000.0,226288000.0,331319000.0,2661391000.0,1156530000.0,1156530000.0,84343000.0,68819000.0,15524000.0,15524000.0,1420518000.0,696414000.0,724104000.0,724104000.0,5640910000.0,2078490000.0,135284000.0,1507872000.0,584598000.0,923274000.0,435334000.0,,435334000.0,,435334000.0,,,3562420000.0,69834000.0,100405000.0,14418000.0,85987000.0,2972106000.0,302750000.0,2669356000.0,-21828000.0,2691184000.0,420075000.0,420075000.0,2023-03-31
13932485.0,47130116.0,61062601.0,568964000.0,615425000.0,2364238000.0,860159000.0,615425000.0,322111000.0,2117385000.0,2348839000.0,2118087000.0,702000.0,2117385000.0,-86527000.0,-86527000.0,1328808000.0,3450553000.0,81556000.0,611000.0,611000.0,0.0,3789582000.0,840120000.0,357740000.0,482380000.0,250926000.0,231454000.0,2949462000.0,1357740000.0,1357740000.0,86584000.0,71185000.0,15399000.0,15399000.0,1505138000.0,714980000.0,790158000.0,790158000.0,5907669000.0,2098048000.0,133822000.0,1501960000.0,574475000.0,927485000.0,462266000.0,,462266000.0,,462266000.0,,,3809621000.0,59018000.0,106080000.0,17419000.0,88661000.0,3141471000.0,289368000.0,2852103000.0,-20707000.0,2872810000.0,503052000.0,503052000.0,2023-06-30
13932485.0,47141954.0,61074439.0,434996000.0,724781000.0,2382892000.0,836093000.0,724781000.0,331034000.0,2278930000.0,2376410000.0,2279969000.0,1039000.0,2278930000.0,-91357000.0,-91357000.0,1328784000.0,3611442000.0,87018000.0,611000.0,611000.0,0.0,3944224000.0,711422000.0,357636000.0,353786000.0,256306000.0,97480000.0,3232802000.0,1489324000.0,1489324000.0,81210000.0,74728000.0,6482000.0,6482000.0,1662268000.0,838113000.0,824155000.0,824155000.0,6224193000.0,2155298000.0,124344000.0,1554149000.0,600790000.0,953359000.0,476805000.0,,476805000.0,,476805000.0,,,4068895000.0,57012000.0,115466000.0,21716000.0,93750000.0,3372785000.0,308868000.0,3063917000.0,-21644000.0,3085561000.0,523632000.0,523632000.0,2023-09-30
14046777.0,47047265.0,61094042.0,339969000.0,927197000.0,2475081000.0,928616000.0,927197000.0,334666000.0,2469778000.0,2472616000.0,2470815000.0,1037000.0,2469778000.0,-85704000.0,-85704000.0,1351381000.0,3814439000.0,91813000.0,611000.0,611000.0,0.0,4138906000.0,620551000.0,358283000.0,262268000.0,259430000.0,2838000.0,3518355000.0,1595109000.0,1595109000.0,77701000.0,75236000.0,2465000.0,2465000.0,1845545000.0,909578000.0,935967000.0,935967000.0,6609721000.0,2162750000.0,130293000.0,1542581000.0,586032000.0,956549000.0,489876000.0,-412224000.0,902100000.0,13514000.0,315430000.0,431042000.0,142114000.0,4446971000.0,73072000.0,110774000.0,16327000.0,94447000.0,3473375000.0,269885000.0,3203490000.0,-22502000.0,3225992000.0,789750000.0,789750000.0,2023-12-31
14166515.0,46995600.0,61162115.0,345812000.0,1088015000.0,2614345000.0,1076644000.0,1088015000.0,345812000.0,2614345000.0,2614345000.0,2615382000.0,1037000.0,2614345000.0,-86436000.0,-86436000.0,1390583000.0,4003079000.0,87673000.0,612000.0,612000.0,0.0,4071945000.0,640460000.0,370661000.0,269799000.0,269799000.0,,3431485000.0,1649207000.0,1649207000.0,76013000.0,76013000.0,,,1706265000.0,841206000.0,865059000.0,865059000.0,6687327000.0,2179198000.0,144953000.0,1526330000.0,569781000.0,956549000.0,507915000.0,,507915000.0,,507915000.0,,,4508129000.0,79651000.0,113751000.0,15187000.0,98564000.0,3473742000.0,267611000.0,3206131000.0,-31364000.0,3237495000.0,840985000.0,840985000.0,2024-03-31
