symbol,sector,market_cap,ordinary_shares_number,date,predictions,prev_market_cap,fair_market_cup_via_diff,market_cap_norm,fair_market_cap_norm
TER,Industrials,16441574710.700624,155445000.0,2023-03-31,0.17994945301827514,16610025612.751436,19598990636.385597,105.77101039403406,126.08312030869824
TER,Industrials,16610025612.751436,154148000.0,2023-06-30,0.02998460705247319,14823294247.987364,15267764901.23645,107.75375361828526,99.04614332483361
TER,Industrials,14823294247.987364,153235000.0,2023-09-30,-0.09640241887036474,16377415877.959131,14798593372.477953,96.73569516094472,96.57449911885635
TER,Industrials,16377415877.959131,152698000.0,2023-12-31,0.08650650715441381,,,107.25363710041475,
