treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,other_equity_interest,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,tradeand_other_payables_non_current,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_debt,long_term_provisions,current_liabilities,other_current_liabilities,current_debt_and_capital_lease_obligation,current_debt,other_current_borrowings,current_provisions,payables_and_accrued_expenses,payables,other_payable,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,investments_and_advances,investmentin_financial_assets,available_for_sale_securities,long_term_equity_investment,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,assets_held_for_sale_current,inventory,other_inventories,finished_goods,work_in_process,raw_materials,receivables,receivables_adjustments_allowances,other_receivables,taxes_receivable,accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,date
27766370.0,1554524455.0,1582290825.0,3601762000000.0,4286903000000.0,-2280728000000.0,10462881000000.0,359137000000.0,-2280728000000.0,6175978000000.0,10090862000000.0,6176498000000.0,520000000.0,6175978000000.0,1380202000000.0,100314000000.0,1507720000000.0,1712036000000.0,1676334000000.0,1676334000000.0,7328207000000.0,5091398000000.0,570244000000.0,132809000000.0,132809000000.0,25152000000.0,388681000000.0,388681000000.0,3914884000000.0,3914884000000.0,59628000000.0,2236809000000.0,821708000000.0,372019000000.0,372019000000.0,372019000000.0,473194000000.0,569888000000.0,569888000000.0,,188779000000.0,188779000000.0,381109000000.0,13504705000000.0,10908758000000.0,66774000000.0,359393000000.0,359393000000.0,369469000000.0,275043000000.0,275043000000.0,94426000000.0,8456706000000.0,3765757000000.0,4690949000000.0,1656416000000.0,,,,,,,,2595946000000.0,154824000000.0,7356000000.0,927286000000.0,,,,,779872000000.0,,,72554000000.0,707318000000.0,726608000000.0,41467000000.0,685141000000.0,,,2022-12-31
27767213.0,1554528812.0,1582296025.0,3848811000000.0,4382341000000.0,-2706258000000.0,10736463000000.0,-83984000000.0,-2706258000000.0,6354122000000.0,10396863000000.0,6354671000000.0,549000000.0,6354122000000.0,1508118000000.0,100317000000.0,1541146000000.0,1728830000000.0,1676345000000.0,1676345000000.0,7603079000000.0,5121139000000.0,599657000000.0,127594000000.0,,24558000000.0,270620000000.0,270620000000.0,4042741000000.0,4042741000000.0,55969000000.0,2481940000000.0,752370000000.0,339600000000.0,339600000000.0,339600000000.0,508360000000.0,881610000000.0,881610000000.0,341780000000.0,232377000000.0,232377000000.0,307453000000.0,13957750000000.0,11559794000000.0,63325000000.0,366003000000.0,366003000000.0,378857000000.0,279683000000.0,279683000000.0,99174000000.0,9060380000000.0,4269657000000.0,4790723000000.0,1691229000000.0,-1007754000000.0,2698983000000.0,207400000000.0,993249000000.0,1400108000000.0,98227000000.0,0.0,2397956000000.0,160866000000.0,15235000000.0,986457000000.0,-1000000.0,269042000000.0,436508000000.0,280908000000.0,681694000000.0,-99260000000.0,73999000000.0,32264000000.0,674691000000.0,553704000000.0,20174000000.0,533530000000.0,303973000000.0,229557000000.0,2023-03-31
27756186.0,1554571739.0,1582327925.0,4430734000000.0,4747114000000.0,-2775160000000.0,11668166000000.0,-29724000000.0,-2775160000000.0,6921052000000.0,11251306000000.0,6921669000000.0,617000000.0,6921052000000.0,2112862000000.0,100255000000.0,1490097000000.0,1741937000000.0,1676411000000.0,1676411000000.0,7871069000000.0,5369328000000.0,568106000000.0,137108000000.0,137108000000.0,4807000000.0,269549000000.0,269549000000.0,4330254000000.0,4330254000000.0,59504000000.0,2501741000000.0,873428000000.0,416860000000.0,416860000000.0,416860000000.0,527773000000.0,683680000000.0,683680000000.0,,242756000000.0,242756000000.0,440924000000.0,14792738000000.0,12320721000000.0,60143000000.0,375522000000.0,375522000000.0,393529000000.0,293108000000.0,293108000000.0,100421000000.0,9696212000000.0,4514084000000.0,5182128000000.0,1795315000000.0,,,,,,,,2472017000000.0,179883000000.0,14670000000.0,1083374000000.0,,,,,825481000000.0,,,32586000000.0,792895000000.0,368609000000.0,52229000000.0,316380000000.0,,,2023-06-30
13484874.0,1568888351.0,1582373225.0,4361153000000.0,4679204000000.0,-2633086000000.0,11749556000000.0,94449000000.0,-2633086000000.0,7070352000000.0,11474715000000.0,7071025000000.0,673000000.0,7070352000000.0,2287968000000.0,51246000000.0,1446018000000.0,1711109000000.0,1676503000000.0,1676503000000.0,7800864000000.0,5433247000000.0,646229000000.0,134953000000.0,134953000000.0,4025000000.0,228719000000.0,228719000000.0,4404363000000.0,4404363000000.0,14958000000.0,2367617000000.0,883823000000.0,274841000000.0,274841000000.0,274841000000.0,657657000000.0,551296000000.0,551296000000.0,,130218000000.0,130218000000.0,421078000000.0,14871889000000.0,12409821000000.0,59672000000.0,336211000000.0,336211000000.0,416364000000.0,313252000000.0,313252000000.0,103112000000.0,9703438000000.0,4402421000000.0,5301017000000.0,1894136000000.0,,,,,,,,2462066000000.0,178219000000.0,6108000000.0,1155866000000.0,,,,,788066000000.0,,,32739000000.0,755327000000.0,333807000000.0,15756000000.0,318051000000.0,,,2023-09-30
13486498.0,1568906327.0,1582392825.0,4375805000000.0,4664164000000.0,-2466375000000.0,11406098000000.0,146662000000.0,-2466375000000.0,6741934000000.0,11035806000000.0,6742607000000.0,673000000.0,6741934000000.0,1989668000000.0,51253000000.0,1396838000000.0,1730138000000.0,1676543000000.0,1676543000000.0,7480340000000.0,5198172000000.0,614599000000.0,138945000000.0,138945000000.0,4101000000.0,133036000000.0,133036000000.0,4293872000000.0,4293872000000.0,13619000000.0,2282168000000.0,833297000000.0,370292000000.0,370292000000.0,370292000000.0,482467000000.0,596112000000.0,596112000000.0,,112446000000.0,112446000000.0,483666000000.0,14222947000000.0,11794118000000.0,54703000000.0,316689000000.0,316689000000.0,372918000000.0,269606000000.0,269606000000.0,103312000000.0,9208309000000.0,4097022000000.0,5111287000000.0,1841499000000.0,,,,,,,,2428830000000.0,179394000000.0,19313000000.0,1169640000000.0,,,,,743079000000.0,,,26849000000.0,716230000000.0,317404000000.0,29045000000.0,288359000000.0,,,2023-12-31
