tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,preferred_stock_dividends,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,special_income_charges,other_special_charges,write_off,impairment_of_capital_assets,gain_on_sale_of_security,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,salaries_and_wages,total_revenue,operating_revenue,date
-47066666.666667,0.133333,-353000000.0,-353000000.0,1326000000.0,727000000.0,2074000000.0,10337000000.0,12411000000.0,1631933333.333333,1326000000.0,356700000.0,349500000.0,3.32,3.35,1185000000.0,1185000000.0,141000000.0,1326000000.0,1326000000.0,1326000000.0,204000000.0,1530000000.0,-353000000.0,169000000.0,,184000000.0,0.0,727000000.0,727000000.0,3980000000.0,216000000.0,3764000000.0,3764000000.0,10593000000.0,10593000000.0,2022-12-31
-81130000.0,0.19,-427000000.0,-427000000.0,3234000000.0,970000000.0,1781000000.0,13157000000.0,14938000000.0,3579870000.0,3234000000.0,351300000.0,346600000.0,8.79,8.87,3087000000.0,3087000000.0,147000000.0,3234000000.0,3234000000.0,3234000000.0,759000000.0,3993000000.0,-427000000.0,72000000.0,355000000.0,355000000.0,0.0,615000000.0,615000000.0,4262000000.0,172000000.0,4090000000.0,4090000000.0,12224000000.0,12224000000.0,2023-03-31
-301935483.870968,0.299539,-1008000000.0,-1008000000.0,1216000000.0,1594000000.0,1684000000.0,15152000000.0,16836000000.0,1922064516.129032,1216000000.0,347200000.0,342300000.0,3.08,3.09,1071000000.0,1071000000.0,145000000.0,1216000000.0,1216000000.0,1216000000.0,520000000.0,1736000000.0,-1008000000.0,19000000.0,,989000000.0,0.0,605000000.0,605000000.0,3765000000.0,146000000.0,3619000000.0,3619000000.0,10895000000.0,10895000000.0,2023-06-30
-242881712.626996,0.253266,-959000000.0,-959000000.0,2058000000.0,1512000000.0,1547000000.0,16710000000.0,18257000000.0,2774118287.373004,2058000000.0,343900000.0,338700000.0,5.47,5.52,1882000000.0,1882000000.0,176000000.0,2058000000.0,2058000000.0,2058000000.0,698000000.0,2756000000.0,-959000000.0,15000000.0,,944000000.0,0.0,648000000.0,648000000.0,4324000000.0,136000000.0,4188000000.0,4188000000.0,11817000000.0,11817000000.0,2023-09-30
80326530.612245,0.109139,736000000.0,736000000.0,2008000000.0,780000000.0,1339000000.0,17145000000.0,18484000000.0,1352326530.612245,2008000000.0,340900000.0,335700000.0,5.48,5.52,1867000000.0,1867000000.0,141000000.0,2008000000.0,2008000000.0,2008000000.0,246000000.0,2254000000.0,736000000.0,9000000.0,,-745000000.0,0.0,2990000000.0,2990000000.0,3777000000.0,175000000.0,3602000000.0,3602000000.0,11318000000.0,11318000000.0,2023-12-31
