tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_business,earnings_from_equity_interest,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,research_and_development,selling_general_and_administration,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.189,1082900000.0,,,572200000.0,321500000.0,2272300000.0,1082900000.0,761400000.0,-41200000.0,41200000.0,572200000.0,572200000.0,2522700000.0,652000000.0,222600000.0,222200000.0,2.57,2.58,572200000.0,572200000.0,572200000.0,-11600000.0,583800000.0,583800000.0,136400000.0,720200000.0,109400000.0,-600000.0,,,110000000.0,-41200000.0,41200000.0,652000000.0,250400000.0,-8400000.0,24400000.0,234400000.0,,,902400000.0,2272300000.0,3174700000.0,3174700000.0,2022-12-31
-39347200.0,0.212,1137000000.0,-185600000.0,-185600000.0,439800000.0,339600000.0,2282800000.0,951400000.0,611800000.0,-40900000.0,40900000.0,586052800.0,439800000.0,2554700000.0,459800000.0,222700000.0,222300000.0,1.97,1.98,439800000.0,439800000.0,439800000.0,-10100000.0,449900000.0,449900000.0,121000000.0,570900000.0,-33600000.0,-13900000.0,-185600000.0,-185600000.0,165900000.0,-40900000.0,40900000.0,645400000.0,271900000.0,-6500000.0,27200000.0,251200000.0,,,917300000.0,2282800000.0,3200100000.0,3200100000.0,2023-03-31
-10974000.0,0.186,1196400000.0,-59000000.0,-59000000.0,595600000.0,339900000.0,2070700000.0,1137400000.0,797500000.0,-47400000.0,47400000.0,643626000.0,595600000.0,2330700000.0,644200000.0,222800000.0,222400000.0,2.67,2.68,595600000.0,595600000.0,595600000.0,-14900000.0,610500000.0,610500000.0,139600000.0,750100000.0,94300000.0,-11700000.0,-59000000.0,-59000000.0,165000000.0,-47400000.0,47400000.0,703200000.0,260000000.0,-8000000.0,29300000.0,238700000.0,238700000.0,238700000.0,963200000.0,2070700000.0,3033900000.0,3033900000.0,2023-06-30
0.0,0.18331,1246500000.0,0.0,0.0,685200000.0,357300000.0,2207200000.0,1246500000.0,889200000.0,-48000000.0,48000000.0,685200000.0,692600000.0,2452700000.0,738600000.0,222800000.0,222400000.0,3.11,3.11,692600000.0,692600000.0,692600000.0,-1800000.0,694400000.0,687000000.0,154200000.0,841200000.0,150600000.0,-12800000.0,0.0,0.0,163400000.0,-48000000.0,48000000.0,738600000.0,245500000.0,-11900000.0,24700000.0,232700000.0,,,984100000.0,2207200000.0,3191300000.0,3191300000.0,2023-09-30
0.0,0.179,1159700000.0,,,609300000.0,349200000.0,2067200000.0,1159700000.0,810500000.0,-53500000.0,53500000.0,609300000.0,609300000.0,2330500000.0,666900000.0,222800000.0,222500000.0,2.73,2.74,609300000.0,609300000.0,609300000.0,-12300000.0,621600000.0,621600000.0,135400000.0,757000000.0,143600000.0,-14800000.0,,,158400000.0,-53500000.0,53500000.0,666900000.0,263300000.0,-800000.0,25700000.0,238400000.0,,,930200000.0,2067200000.0,2997400000.0,2997400000.0,2023-12-31
