total_debt,ordinary_shares_number,date,common_stock_equity,invested_capital,total_liabilities_net_minority_interest,stockholders_equity,cash_cash_equivalents_and_short_term_investments,total_assets,long_term_debt_and_capital_lease_obligation,total_capitalization,total_revenue,tax_effect_of_unusual_items,pretax_income,tax_rate_for_calcs,total_expenses,normalized_income,net_income_continuous_operations,operating_revenue,net_income,net_income_common_stockholders,operating_cash_flow,investing_cash_flow,financing_cash_flow,end_cash_position,free_cash_flow,enterprise_value,profitability_of_net_income,profitability_of_operation_profit,profitability_of_assets_(operating),profitability_of_assets_(net),profitability_of_equity,fair_value_of_shares_(operation),fanancial_leverage_ratio,day_mean (mean),day_mean (std),day_mean (max),day_mean (min),day_mean (amount_of_outliers),volume (mean),volume (std),volume (max),volume (min),volume (amount_of_outliers),amplitude (mean),amplitude (std),amplitude (max),amplitude (min),amplitude (amount_of_outliers),daily_returns (mean),daily_returns (std),daily_returns (max),daily_returns (min),daily_returns (amount_of_outliers),sharp_ratio,sortino_ratio,geom_mean,capm_alpha,capm_beta,total_assets_diff(-1),total_assets_diff(-1)_rate,total_liabilities_net_minority_interest_diff(-1),total_liabilities_net_minority_interest_diff(-1)_rate,total_capitalization_diff(-1),total_capitalization_diff(-1)_rate,common_stock_equity_diff(-1),common_stock_equity_diff(-1)_rate,invested_capital_diff(-1),invested_capital_diff(-1)_rate,total_debt_diff(-1),total_debt_diff(-1)_rate,total_revenue_diff(-1),total_revenue_diff(-1)_rate,operating_revenue_diff(-1),operating_revenue_diff(-1)_rate,total_expenses_diff(-1),total_expenses_diff(-1)_rate,net_income_diff(-1),net_income_diff(-1)_rate,operating_cash_flow_diff(-1),operating_cash_flow_diff(-1)_rate,investing_cash_flow_diff(-1),investing_cash_flow_diff(-1)_rate,financing_cash_flow_diff(-1),financing_cash_flow_diff(-1)_rate,free_cash_flow_diff(-1),free_cash_flow_diff(-1)_rate,market_cap,sector,symbol,actual,target
2735000000.0,292123241.0,2023-10-31,5845000000.0,8580000000.0,4918000000.0,5845000000.0,1590000000.0,10763000000.0,2735000000.0,8580000000.0,1688000000.0,0.0,420000000.0,0.21,1280000000.0,475000000.0,475000000.0,1688000000.0,475000000.0,475000000.0,516000000.0,-40000000.0,-201000000.0,1593000000.0,432000000.0,8580000000.0,0.28139810426540285,1.0,0.15683359658087895,0.044132676762984296,0.08126603934987169,5.0829383886255926,0.4679213002566296,115.16601507368016,6.793652653100363,127.42215027220479,101.7678763632461,0.0,1984328.7878787878,868105.3608316167,6882600.0,838300.0,4.0,2.6614330333906273,1.384212059597558,8.458608597867979,1.2752663074541601,5.0,-0.2608754456770443,1.1680187164492888,2.345250310723042,-3.4172089378725476,0.0,-0.004975970585958792,-0.00023262775893581993,-0.0008102055884252612,-0.03563179322789786,1.0378757813931911,88000000.0,0.008176159063458144,-199000000.0,-0.04046360309068727,288000000.0,0.033566433566433566,287000000.0,0.04910179640718563,233000000.0,0.027156177156177155,-54000000.0,-0.019744058500914076,16000000.0,0.009478672985781991,16000000.0,0.009478672985781991,-259000000.0,-0.20234375,364000000.0,0.7663157894736842,-46000000.0,-0.08914728682170543,49000000.0,-1.225,121000000.0,-0.6019900497512438,-49000000.0,-0.11342592592592593,39319692451.737686,Industrials,A,True,-0.13480916933761622
2789000000.0,292747000.0,2023-07-31,5558000000.0,8347000000.0,5117000000.0,5558000000.0,1329000000.0,10675000000.0,2734000000.0,8292000000.0,1672000000.0,0.0,132000000.0,0.159,1539000000.0,111000000.0,111000000.0,1672000000.0,111000000.0,111000000.0,562000000.0,-89000000.0,-322000000.0,1332000000.0,481000000.0,8347000000.0,0.06638755980861244,1.0,0.15662763466042154,0.010398126463700235,0.019971212666426773,4.992224880382775,0.5017992083483267,122.07401100063218,5.680314399303519,135.28865054286507,114.66470894939283,0.0,2157222.222222222,994566.9842563845,6850400.0,996200.0,1.0,2.5723902877906686,1.0985732924620875,7.766291636203803,1.3350420972798247,5.0,-0.14552777423722218,1.5859541126341214,2.2314889569119973,-8.33625231515454,0.0,-0.0019349295070679993,-0.0001011519060062089,-0.00041553808826177985,-0.029072125698882796,1.0659585569802317,-117000000.0,-0.010960187353629977,106000000.0,0.020715262849325778,-222000000.0,-0.026772793053545588,-223000000.0,-0.040122346167686215,-167000000.0,-0.020007188211333415,56000000.0,0.020078881319469343,-45000000.0,-0.026913875598086126,-45000000.0,-0.026913875598086126,205000000.0,0.1332033788174139,-191000000.0,-1.7207207207207207,164000000.0,0.2918149466192171,-12000000.0,0.1348314606741573,68000000.0,-0.2111801242236025,140000000.0,0.2910602910602911,39984977195.672745,Industrials,A,False,-0.04722649125110627
2733000000.0,295000000.0,2023-04-30,5781000000.0,8514000000.0,5011000000.0,5781000000.0,1175000000.0,10792000000.0,2733000000.0,8514000000.0,1717000000.0,0.0,377000000.0,0.199,1334000000.0,302000000.0,302000000.0,1717000000.0,302000000.0,302000000.0,398000000.0,-77000000.0,-390000000.0,1178000000.0,341000000.0,8514000000.0,0.17588817705299942,1.0,0.1590993328391401,0.027983691623424758,0.052240096869053794,4.958648806057076,0.472755578619616,140.14905419276639,6.9394508870046545,154.954129183891,129.9039364393226,4.0,1481495.1612903227,558986.4821573519,3297900.0,771500.0,3.0,2.997461871004245,1.2014802998036753,7.020488011782646,1.2906254843116187,1.0,-0.18827757292768418,1.2966789870165565,3.05787171308262,-3.739909852022881,0.0,0.001032689223417439,5.22122702692014e-05,3.3908626522194396e-05,0.0069765165877328054,1.0758719754754436,-127000000.0,-0.011767976278724982,-299000000.0,-0.05966872879664738,172000000.0,0.020202020202020204,172000000.0,0.029752637951911434,-66000000.0,-0.007751937984496124,-238000000.0,-0.08708379070618368,-39000000.0,-0.022714036109493303,-39000000.0,-0.022714036109493303,4000000.0,0.0029985007496251873,-50000000.0,-0.16556291390728478,102000000.0,0.2562814070351759,27000000.0,-0.35064935064935066,-373000000.0,0.9564102564102565,121000000.0,0.3548387096774194,40760265901.767624,Industrials,A,False,-0.15824974058887192
2971000000.0,296000000.0,2023-01-31,5609000000.0,8580000000.0,5310000000.0,5609000000.0,1250000000.0,10919000000.0,2733000000.0,8342000000.0,1756000000.0,0.0,410000000.0,0.141,1330000000.0,352000000.0,352000000.0,1756000000.0,352000000.0,352000000.0,296000000.0,-104000000.0,-17000000.0,1253000000.0,220000000.0,8580000000.0,0.20045558086560364,1.0,0.16082058796593093,0.032237384375858595,0.06275628454269923,4.886104783599089,0.5296844357282938,149.06533265093967,5.949792791755947,157.0529462610928,132.94927256794864,2.0,1313046.0317460317,496385.038346017,3512500.0,642700.0,4.0,3.5059994940881007,1.443492604502031,11.54611195815309,1.5662534242906077,2.0,0.16936846944867712,1.6155124190807488,6.21817773264207,-2.7729580771882,0.0,0.0039459720142423,0.0002151995514712942,0.000478304563585219,0.03827202645301773,1.0582142615438739,387000000.0,0.03544280611777635,83000000.0,0.015630885122410548,304000000.0,0.03644210021577559,304000000.0,0.0541986093777857,506000000.0,0.05897435897435897,202000000.0,0.06799057556378324,-93000000.0,-0.05296127562642369,-93000000.0,-0.05296127562642369,-48000000.0,-0.03609022556390978,-16000000.0,-0.045454545454545456,-152000000.0,-0.5135135135135135,6000000.0,-0.057692307692307696,324000000.0,-19.058823529411764,-158000000.0,-0.7181818181818181,40826672673.55411,Industrials,A,False,0.10419498107367067
2153700000.0,74879816.0,2023-09-30,4355500000.0,6381000000.0,6995500000.0,4355500000.0,680700000.0,11351100000.0,2047900000.0,6275200000.0,3455500000.0,-631446.540881,333900000.0,0.225517,3029100000.0,282768553.459119,280500000.0,3455500000.0,280600000.0,280600000.0,567700000.0,-111100000.0,-223300000.0,680700000.0,447000000.0,6509200000.0,0.0812038778758501,1.0,0.3044198359630344,0.024720071182528565,0.06442429112616233,1.8837216032412096,0.4944782458959936,126.7304099945116,6.654062497091229,138.8247908130873,115.02725635558437,0.0,584434.375,262438.17082478566,2265800.0,204900.0,1.0,2.8284040783982913,0.8795262984162221,5.496014947132721,1.1969583837380924,4.0,-0.11857421811843712,1.2728174085143868,2.9436733836090223,-2.8152147166666404,0.0,0.002428777070618111,7.926521312641537e-05,0.0001079485824784232,-0.010892873613954765,1.090386620729218,-42900000.0,-0.0037793694003224357,-259500000.0,-0.03709527553427203,122200000.0,0.019473482916879142,216700000.0,0.0497531856273677,-19100000.0,-0.0029932612443190725,-238400000.0,-0.11069322561173794,-367200000.0,-0.1062653740413833,-367200000.0,-0.1062653740413833,-290100000.0,-0.09577102109537486,-38600000.0,-0.1375623663578047,375600000.0,0.661617051259468,27700000.0,-0.24932493249324933,-96200000.0,0.43081056874160323,366600000.0,0.8201342281879195,8792346698.577333,Industrials,AGCO,True,-0.11679620545307032
2392100000.0,74876364.0,2023-06-30,4138800000.0,6400100000.0,7255000000.0,4138800000.0,463500000.0,11394000000.0,2145000000.0,6153000000.0,3822700000.0,-1910082.404266,412600000.0,0.269026,3319200000.0,324389917.595734,319200000.0,3822700000.0,319200000.0,319200000.0,192100000.0,-138800000.0,-127100000.0,463500000.0,80400000.0,6530900000.0,0.08350119025819447,1.0,0.3355011409513779,0.02801474460242233,0.07712380400115976,1.708452141156774,0.5779694597467865,120.82761733963636,6.0551347163176645,133.42088058199673,110.35722241746845,0.0,627469.8412698413,219084.32212634958,1194300.0,258800.0,6.0,3.524991220471865,1.8919742769481718,11.644805875072748,1.4853535845615795,5.0,0.040220899478866284,1.77655050442638,4.7334249048252,-5.9510596436569045,0.0,0.00369921867487036,0.00011001550208774825,0.0002210303586538398,-0.0010862171667252983,1.0816369392765341,582400000.0,0.05111462173073548,576300000.0,0.07943487250172294,229200000.0,0.037250121891760114,6100000.0,0.0014738571566637673,280800000.0,0.0438743144638365,283200000.0,0.11838969942728146,489200000.0,0.12797237554607999,489200000.0,0.12797237554607999,375900000.0,0.11325018076644974,86600000.0,0.27130325814536344,749200000.0,3.9000520562207184,-10000000.0,0.07204610951008646,-588700000.0,4.631785995279308,762800000.0,9.487562189054726,8718795562.892685,Industrials,AGCO,False,0.11178427472366953
2108900000.0,74846174.0,2023-03-31,4132700000.0,6119300000.0,6678700000.0,4132700000.0,558700000.0,10811600000.0,1913400000.0,5923800000.0,3333500000.0,-1036206.896552,336400000.0,0.357313,2943300000.0,234463793.103448,232600000.0,3333500000.0,232600000.0,232600000.0,-557100000.0,-128800000.0,461600000.0,558700000.0,-682400000.0,6241600000.0,0.06977651117444128,1.0,0.30832624218432053,0.02151392948314773,0.05628281752849227,1.872386380680966,0.5102959324412611,128.70956734458264,5.414553353619026,136.80509296835442,114.22483355681604,4.0,688551.6129032258,250864.83042180273,1644900.0,334100.0,1.0,3.558029378052991,1.5405282862807947,9.504974515967916,1.7138749731221026,3.0,-0.0242293040254057,1.6960597033017009,4.636595941979346,-5.175582426333,0.0,0.0017686141951818504,5.577287463534772e-05,2.4581756129737897e-05,0.011383387105035704,1.071151870196428,707900000.0,0.06547597025417144,457600000.0,0.06851632802790962,776600000.0,0.13109828150849118,250300000.0,0.060565731846008664,776100000.0,0.12682823198731882,522700000.0,0.24785433164208828,-565400000.0,-0.1696115194240288,-565400000.0,-0.1696115194240288,-486900000.0,-0.16542656202221995,-89600000.0,-0.38521066208082544,-1690400000.0,3.034284688565787,-12900000.0,0.10015527950310558,1338200000.0,2.899046793760832,-1697900000.0,2.4881301289566236,8679444783.672071,Industrials,AGCO,False,-0.10507317137590587
3658322000.0,117353272.0,2023-09-30,9897815000.0,13556137000.0,8720915000.0,9897815000.0,1601668000.0,18883354000.0,3495971000.0,13393786000.0,2310596000.0,0.0,-158164000.0,0.054,2450610000.0,302533000.0,320693000.0,2310596000.0,302533000.0,302533000.0,628853000.0,-662925000.0,99698000.0,1601668000.0,82955000.0,13556137000.0,0.13093288484875765,1.0,0.12236152539427053,0.016021147514366358,0.030565634940640938,5.866943853447336,0.3696090500782243,199.1057127770289,21.5260381008881,242.61172003765262,163.4020144762679,0.0,1775064.0625,545911.0674388696,3307800.0,880100.0,1.0,5.861943430693296,2.637152248485007,16.08887589748329,2.0596225235029237,3.0,-0.37604856271677084,1.681351897321798,2.7641450897184736,-4.104742801570336,0.0,-0.0004202887327916666,-2.735451045970569e-05,-0.0004672673836664254,0.04319179141162111,1.443954254178716,-226314000.0,-0.01198484125224788,-300713000.0,-0.034481817561574674,69188000.0,0.005165679069383369,82506000.0,0.008335779159339713,225292000.0,0.016619188785123667,142786000.0,0.039030462600066367,-59594000.0,-0.02579161393856823,-59594000.0,-0.02579161393856823,220418000.0,0.08994413635788641,-347510000.0,-1.1486680791847501,555146000.0,0.8827913677759349,-149227000.0,0.22510389561413433,-146187000.0,-1.4662982206262913,512935000.0,6.183292146344404,25305207564.499836,Industrials,ALB,True,-0.33620457144148824
3515536000.0,117340000.0,2023-06-30,9815309000.0,13330845000.0,9021628000.0,9815309000.0,1599738000.0,19109668000.0,3509289000.0,13324598000.0,2370190000.0,0.0,168375000.0,0.255,2230192000.0,650043000.0,676439000.0,2370190000.0,650043000.0,650043000.0,73707000.0,-513698000.0,245885000.0,1599738000.0,-429980000.0,13330845000.0,0.2742577599264194,1.0,0.1240309355452957,0.03401644654423091,0.06622746161124424,5.624378214404753,0.3581686526628963,203.6931046334865,15.7222599079898,229.23916656802106,173.14454662308486,0.0,2328368.253968254,1220003.5193581034,8800100.0,1092600.0,5.0,6.755067835396672,2.6631666894522117,16.626632829450017,2.9498895100708467,2.0,0.023950731561670862,2.3517026821672,5.84271443086167,-7.4499974074643625,0.0,0.0029628826746920683,0.0001832195639166516,0.0005777807271860613,0.08595375996760901,1.4439093535648089,1545310000.0,0.08086535046030104,916340000.0,0.10157146803215561,878470000.0,0.06592844301944419,602574000.0,0.061391240968572666,882550000.0,0.06620360524782938,279976000.0,0.07963963389935418,-210062000.0,-0.08862665018416245,-210062000.0,-0.08862665018416245,751703000.0,0.33705752688557755,-588537000.0,-0.9053816439835518,-647273000.0,-8.781703230358039,25310000.0,-0.049270193771437695,364561000.0,1.4826483925412286,-735352000.0,1.7102004744406716,25505811270.989384,Industrials,ALB,False,0.14394366871395528
3235560000.0,117299000.0,2023-03-31,9212735000.0,12448295000.0,8105288000.0,9212735000.0,1586734000.0,17564358000.0,3233393000.0,12446128000.0,2580252000.0,0.0,1157478000.0,0.239,1478489000.0,1238580000.0,1276703000.0,2580252000.0,1238580000.0,1238580000.0,720980000.0,-539008000.0,-118676000.0,1586734000.0,305372000.0,12448295000.0,0.48002288148599437,1.0,0.14690272197822432,0.07051666790212315,0.13444216076984739,4.824449317353499,0.351205152433018,244.417542687478,22.91155642989025,286.92881443595127,209.41227116338717,0.0,1687279.0322580645,713335.7835158872,5758300.0,843500.0,4.0,9.399321052756594,4.409187115613173,29.721443211188387,3.6383457791508818,3.0,0.07323855559095423,2.459538275695191,4.635627201406219,-7.1617480312911805,0.0,0.003071060644186878,0.00024030195613708943,0.0008505630693904642,0.11331496815971534,1.4603058348313918,2107836000.0,0.12000643576041892,839613000.0,0.10358829939170576,1248529000.0,0.10031465207492643,1230108000.0,0.1335225641462606,1248568000.0,0.10030032225296717,-80809000.0,-0.02497527475923797,-40726000.0,-0.01578372965121236,-40726000.0,-0.01578372965121236,-309480000.0,-0.209321814365883,106135000.0,0.08569087180480874,-231267000.0,-0.32076756636799914,70332000.0,-0.13048414865827596,180688000.0,-1.5225319356904514,-201163000.0,-0.6587473638709508,25681870245.168594,Industrials,ALB,False,-0.10829797742578759
