open,close,high,low,date
366.41,364.31,370.21,363.0299,2022-09-26
368.02,363.38,370.4,360.87,2022-09-27
364.38,370.53,372.3,362.6,2022-09-28
366.81,362.79,367.11,359.7,2022-09-29
361.8,357.18,365.91,357.04,2022-09-30
361.08,366.61,368.55,359.21,2022-10-03
372.4,377.97,378.0,366.5677,2022-10-04
373.39,377.09,379.46,370.95,2022-10-05
375.62,373.2,378.72,372.68,2022-10-06
368.97,362.79,373.2933,360.94,2022-10-07
363.96,360.02,364.21,357.67,2022-10-10
358.235,357.74,363.03,355.71,2022-10-11
358.17,356.56,359.8179,356.3,2022-10-12
349.205,365.97,367.51,348.11,2022-10-13
368.55,357.63,370.26,356.96,2022-10-14
364.01,366.82,367.9799,357.2808,2022-10-17
375.13,371.13,375.45,367.52,2022-10-18
368.99,368.5,371.85,365.55,2022-10-19
368.03,365.41,372.67,364.61,2022-10-20
365.12,374.29,374.8,363.54,2022-10-21
375.89,378.87,380.06,373.11,2022-10-24
378.79,384.92,385.25,378.671,2022-10-25
381.62,382.02,387.58,381.35,2022-10-26
383.07,379.98,385.0,379.33,2022-10-27
379.87,389.02,389.52,379.68,2022-10-28
386.44,386.21,388.4,385.26,2022-10-31
390.14,384.52,390.39,383.29,2022-11-01
383.9,374.87,388.63,374.76,2022-11-02
371.465,371.01,374.2,368.79,2022-11-03
377.0,376.35,378.87,370.0,2022-11-04
377.71,379.95,380.57,375.53,2022-11-07
381.11,382.0,385.12,377.72,2022-11-08
379.93,374.13,381.14,373.61,2022-11-09
388.05,394.69,395.04,385.642,2022-11-10
395.59,398.51,399.35,393.61,2022-11-11
396.66,395.12,400.1799,394.83,2022-11-14
401.15,398.49,402.31,394.49,2022-11-15
396.78,395.45,397.78,394.79,2022-11-16
390.46,394.24,394.95,390.14,2022-11-17
397.74,396.03,397.81,393.04,2022-11-18
394.64,394.59,395.82,392.66,2022-11-21
396.63,399.9,400.07,395.1527,2022-11-22
399.55,402.42,402.93,399.31,2022-11-23
401.83,402.33,402.91,401.535,2022-11-25
399.09,395.91,400.81,395.11,2022-11-28
396.05,395.23,397.3,393.3,2022-11-29
395.49,407.68,407.68,393.48,2022-11-30
408.77,407.38,410.0,404.75,2022-12-01
402.25,406.91,407.86,402.14,2022-12-02
403.95,399.59,404.93,398.17,2022-12-05
399.42,393.83,399.99,391.64,2022-12-06
392.94,393.16,395.64,391.97,2022-12-07
395.14,396.24,397.36,393.2684,2022-12-08
394.94,393.28,397.62,393.15,2022-12-09
394.11,398.95,398.95,393.412,2022-12-12
410.22,401.97,410.49,399.07,2022-12-13
401.61,399.4,405.5,396.31,2022-12-14
394.3,389.63,395.25,387.885,2022-12-15
385.18,383.27,386.575,381.04,2022-12-16
383.47,380.02,383.82,378.28,2022-12-19
379.23,380.54,382.23,377.85,2022-12-20
383.25,386.23,387.41,382.69,2022-12-21
383.05,380.72,386.2134,374.77,2022-12-22
379.65,382.91,383.06,378.03,2022-12-23
382.79,381.4,383.15,379.65,2022-12-27
381.33,376.66,383.39,376.42,2022-12-28
379.63,383.44,384.35,379.08,2022-12-29
380.64,382.43,382.58,378.43,2022-12-30
384.37,380.82,386.43,377.831,2023-01-03
383.18,383.76,385.88,380.0,2023-01-04
381.72,379.38,381.84,378.76,2023-01-05
382.61,388.08,389.25,379.4127,2023-01-06
390.37,387.86,393.7,387.67,2023-01-09
387.25,390.58,390.65,386.27,2023-01-10
392.23,395.52,395.6,391.38,2023-01-11
396.67,396.96,398.485,392.42,2023-01-12
393.62,398.5,399.1,393.34,2023-01-13
398.48,397.77,400.23,397.06,2023-01-17
399.01,391.49,400.12,391.28,2023-01-18
