treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_revenue,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,pensionand_other_post_retirement_benefit_plans_current,current_provisions,payables_and_accrued_expenses,current_accrued_expenses,payables,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,other_properties,machinery_furniture_equipment,properties,current_assets,other_current_assets,current_deferred_assets,prepaid_assets,receivables,taxes_receivable,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date,other_payable
,230108000.0,230108000.0,841247000.0,1439980000.0,-988979000.0,530815000.0,524296000.0,-988979000.0,118116000.0,-791049000.0,385210000.0,-791049000.0,-791049000.0,-9718000.0,-9718000.0,-4467142000.0,3685805000.0,6000.0,6000.0,0.0,3148471000.0,2000672000.0,29935000.0,712658000.0,712658000.0,1258079000.0,81820000.0,1176259000.0,1147799000.0,30627000.0,768918000.0,768918000.0,181901000.0,36296000.0,145605000.0,145605000.0,17739000.0,,148614000.0,86889000.0,61725000.0,30887000.0,10059000.0,30838000.0,2357422000.0,685327000.0,22008000.0,242506000.0,197930000.0,12670000.0,185260000.0,222883000.0,-459124000.0,682007000.0,61937000.0,250205000.0,369865000.0,0.0,1672095000.0,33086000.0,109871000.0,51080000.0,90000000.0,6362000.0,83638000.0,-642000.0,84280000.0,1388058000.0,907441000.0,480617000.0,2022-10-31,
,233591000.0,233591000.0,780163000.0,1301450000.0,-977883000.0,404082000.0,579481000.0,-977883000.0,114686000.0,-782682000.0,404082000.0,-782682000.0,-782682000.0,-5801000.0,-5801000.0,-4548666000.0,3771779000.0,6000.0,6000.0,0.0,3154177000.0,2041910000.0,35745000.0,738816000.0,738816000.0,1267349000.0,80585000.0,1186764000.0,1112267000.0,30744000.0,787495000.0,787495000.0,34101000.0,34101000.0,,,36150000.0,71000000.0,152777000.0,86343000.0,66434000.0,22364000.0,5613000.0,44070000.0,2371495000.0,679747000.0,26134000.0,239117000.0,195201000.0,9941000.0,185260000.0,219295000.0,-479579000.0,698874000.0,63174000.0,253983000.0,381717000.0,0.0,1691748000.0,57349000.0,109363000.0,52495000.0,161177000.0,5919000.0,155258000.0,-472000.0,155730000.0,1311364000.0,904763000.0,406601000.0,2023-01-31,
,235744027.0,235744027.0,767378000.0,1311813000.0,-981661000.0,418229000.0,596058000.0,-981661000.0,104517000.0,-789067000.0,418229000.0,-789067000.0,-789067000.0,-4283000.0,-4283000.0,-4619635000.0,3834845000.0,6000.0,6000.0,0.0,3185064000.0,2052214000.0,34544000.0,737338000.0,737338000.0,1280332000.0,73036000.0,1207296000.0,1132850000.0,31247000.0,806002000.0,806002000.0,31481000.0,31481000.0,,,38901000.0,71000000.0,154219000.0,101545000.0,52674000.0,18439000.0,5369000.0,34235000.0,2395997000.0,667089000.0,24291000.0,236935000.0,192594000.0,7334000.0,185260000.0,213269000.0,-499519000.0,712788000.0,65960000.0,249253000.0,397575000.0,0.0,1728908000.0,55366000.0,113736000.0,59920000.0,141398000.0,6325000.0,135073000.0,-745000.0,135818000.0,1358488000.0,918570000.0,439918000.0,2023-04-30,
,239607000.0,239607000.0,705236000.0,1316672000.0,-897250000.0,510746000.0,725626000.0,-897250000.0,98507000.0,-707419000.0,510746000.0,-707419000.0,-707419000.0,-5171000.0,-5171000.0,-4632922000.0,3930668000.0,6000.0,6000.0,0.0,3234334000.0,2098226000.0,39754000.0,771367000.0,771367000.0,1287105000.0,68940000.0,1218165000.0,1136108000.0,34106000.0,823665000.0,823665000.0,29567000.0,29567000.0,,,24250000.0,71000000.0,153520000.0,103980000.0,49540000.0,19612000.0,2185000.0,29928000.0,2526915000.0,665181000.0,31941000.0,237990000.0,189831000.0,4893000.0,184938000.0,205419000.0,-507969000.0,713388000.0,64667000.0,242211000.0,406510000.0,0.0,1861734000.0,56135000.0,120001000.0,84998000.0,163205000.0,5954000.0,157251000.0,-733000.0,157984000.0,1437395000.0,924466000.0,512929000.0,2023-07-31,
0.0,243052000.0,243052000.0,626727000.0,1340525000.0,-830894000.0,596978000.0,818376000.0,-830894000.0,101336000.0,-642211000.0,596978000.0,-642211000.0,-642211000.0,-4375000.0,-4375000.0,-4658514000.0,4020672000.0,6000.0,6000.0,0.0,3212851000.0,2113280000.0,33987000.0,767685000.0,767685000.0,1311608000.0,72419000.0,1239189000.0,1099571000.0,19145000.0,877547000.0,877547000.0,28917000.0,28917000.0,,,25691000.0,,148271000.0,96427000.0,51844000.0,16049000.0,0.0,35795000.0,2570640000.0,652693000.0,30807000.0,226698000.0,188683000.0,3745000.0,184938000.0,206505000.0,-503266000.0,709771000.0,65522000.0,232363000.0,411886000.0,0.0,1917947000.0,24600000.0,126195000.0,55418000.0,140618000.0,6902000.0,133716000.0,-1360000.0,135076000.0,1571116000.0,958654000.0,612462000.0,2023-10-31,
,244659000.0,244659000.0,571188000.0,1353305000.0,-803801000.0,638752000.0,917615000.0,-803801000.0,102871000.0,-611682000.0,638752000.0,-611682000.0,-611682000.0,879000.0,879000.0,-4652346000.0,4039779000.0,6000.0,6000.0,0.0,3341216000.0,2178394000.0,39635000.0,814605000.0,814605000.0,1324154000.0,73720000.0,1250434000.0,1162822000.0,20711000.0,893889000.0,893889000.0,29151000.0,29151000.0,,,29038000.0,,190033000.0,121615000.0,68418000.0,28022000.0,0.0,39544000.0,2729534000.0,649097000.0,29892000.0,214555000.0,192119000.0,6884000.0,185235000.0,212531000.0,-521692000.0,734223000.0,65920000.0,239849000.0,428454000.0,0.0,2080437000.0,32444000.0,138606000.0,69501000.0,195926000.0,6880000.0,189046000.0,-1080000.0,190126000.0,1643960000.0,964714000.0,679246000.0,2024-01-31,852000.0
