tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
173697.270471,0.173697,561000000.0,1000000.0,1000000.0,328000000.0,39000000.0,1781000000.0,562000000.0,523000000.0,-120000000.0,120000000.0,327173697.270471,328000000.0,1940000000.0,504000000.0,272000000.0,270000000.0,1.21,1.22,328000000.0,328000000.0,328000000.0,-5000000.0,333000000.0,333000000.0,70000000.0,403000000.0,19000000.0,18000000.0,0.0,0.0,,1000000.0,-120000000.0,120000000.0,504000000.0,159000000.0,25000000.0,39000000.0,39000000.0,95000000.0,95000000.0,95000000.0,663000000.0,1781000000.0,2444000000.0,1038000000.0,2022-12-31
0.0,0.307947,455000000.0,,,206000000.0,37000000.0,1646000000.0,455000000.0,418000000.0,-116000000.0,116000000.0,206000000.0,206000000.0,1795000000.0,498000000.0,269000000.0,266000000.0,0.77,0.77,206000000.0,206000000.0,206000000.0,-3000000.0,209000000.0,209000000.0,93000000.0,302000000.0,-80000000.0,12000000.0,,,-92000000.0,,-116000000.0,116000000.0,498000000.0,149000000.0,21000000.0,37000000.0,37000000.0,91000000.0,91000000.0,91000000.0,647000000.0,1646000000.0,2293000000.0,901000000.0,2023-03-31
-1637323.943662,0.272887,722000000.0,-6000000.0,-6000000.0,411000000.0,37000000.0,1805000000.0,716000000.0,679000000.0,-111000000.0,111000000.0,415362676.056338,411000000.0,1986000000.0,674000000.0,266000000.0,264000000.0,1.55,1.56,411000000.0,411000000.0,411000000.0,-2000000.0,413000000.0,413000000.0,155000000.0,568000000.0,5000000.0,11000000.0,,,0.0,-6000000.0,-111000000.0,111000000.0,674000000.0,181000000.0,33000000.0,37000000.0,37000000.0,111000000.0,111000000.0,111000000.0,855000000.0,1805000000.0,2660000000.0,1114000000.0,2023-06-30
-2158759.124088,0.308394,708000000.0,-7000000.0,-7000000.0,377000000.0,40000000.0,1858000000.0,701000000.0,661000000.0,-113000000.0,113000000.0,381841240.875912,377000000.0,2020000000.0,653000000.0,262000000.0,260000000.0,1.44,1.45,377000000.0,377000000.0,377000000.0,-2000000.0,379000000.0,379000000.0,169000000.0,548000000.0,8000000.0,15000000.0,,,0.0,-7000000.0,-113000000.0,113000000.0,653000000.0,162000000.0,26000000.0,40000000.0,40000000.0,96000000.0,96000000.0,96000000.0,815000000.0,1858000000.0,2673000000.0,1122000000.0,2023-09-30
-8610000.0,0.21,472000000.0,-41000000.0,-41000000.0,147000000.0,33000000.0,1996000000.0,431000000.0,398000000.0,-124000000.0,124000000.0,179390000.0,147000000.0,2171000000.0,400000000.0,258000000.0,256000000.0,0.57,0.58,147000000.0,147000000.0,147000000.0,-3000000.0,150000000.0,150000000.0,124000000.0,274000000.0,-40000000.0,1000000.0,,,0.0,-3000000.0,-124000000.0,124000000.0,438000000.0,175000000.0,32000000.0,33000000.0,33000000.0,110000000.0,110000000.0,110000000.0,613000000.0,1996000000.0,2609000000.0,1093000000.0,2023-12-31
1594520.547945,0.265753,526000000.0,6000000.0,6000000.0,265000000.0,36000000.0,1877000000.0,532000000.0,496000000.0,-131000000.0,131000000.0,260594520.547945,265000000.0,2047000000.0,533000000.0,255000000.0,252000000.0,1.04,1.05,265000000.0,265000000.0,265000000.0,-3000000.0,268000000.0,268000000.0,97000000.0,365000000.0,-30000000.0,-36000000.0,7000000.0,7000000.0,0.0,-1000000.0,-131000000.0,131000000.0,526000000.0,170000000.0,30000000.0,36000000.0,36000000.0,104000000.0,104000000.0,104000000.0,696000000.0,1877000000.0,2573000000.0,1002000000.0,2024-03-31
