tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,impairment_of_capital_assets,restructuring_and_mergern_acquisition,gain_on_sale_of_security,operating_income,operating_expense,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-480480.0,0.21,1028213000.0,-2288000.0,-2288000.0,495007000.0,593715000.0,1274895000.0,1025925000.0,432210000.0,496814520.0,495007000.0,1366759000.0,,,,,495007000.0,495007000.0,495007000.0,-2606000.0,497613000.0,497613000.0,38141000.0,-141000.0,459331000.0,27540000.0,29828000.0,-4754000.0,3108552000.0,-3106886000.0,3088000.0,2466000.0,432210000.0,91864000.0,91864000.0,12365000.0,79499000.0,18304000.0,61195000.0,524074000.0,1274895000.0,1798969000.0,1677742000.0,2022-12-31
-1981140.0,0.14,1107038000.0,-14151000.0,-14151000.0,432105000.0,610517000.0,1272748000.0,1092887000.0,482370000.0,444274860.0,432105000.0,1383352000.0,241559712.0,239368415.0,1.79,1.81,432105000.0,432105000.0,432105000.0,-3172000.0,435277000.0,435277000.0,32544000.0,65594000.0,468327000.0,-14151000.0,,-23396000.0,-8939000.0,32335000.0,0.0,9245000.0,482370000.0,110604000.0,110604000.0,19958000.0,90646000.0,15335000.0,75311000.0,592974000.0,1272748000.0,1865722000.0,1766182000.0,2023-03-31
823693.370838,0.14073,1140848000.0,5853000.0,5853000.0,492894000.0,615604000.0,1272218000.0,1146701000.0,531097000.0,487864693.370838,492894000.0,1391955000.0,232866512.0,231318582.0,2.12,2.13,492894000.0,492894000.0,492894000.0,-3976000.0,496870000.0,496870000.0,34374000.0,75747000.0,538243000.0,7182000.0,1329000.0,11112000.0,-210000.0,-10902000.0,0.0,-5259000.0,531097000.0,119737000.0,119737000.0,27100000.0,92637000.0,15438000.0,77199000.0,650834000.0,1272218000.0,1923052000.0,1757143000.0,2023-06-30
59696580.0,0.094,531726000.0,635070000.0,635070000.0,1105254000.0,623012000.0,1235975000.0,1166796000.0,543784000.0,529880580.0,1105254000.0,1347883000.0,227379759.0,224239197.0,4.86,4.93,1105254000.0,1105254000.0,1105254000.0,-3749000.0,1109003000.0,1109003000.0,41019000.0,110677000.0,1178661000.0,635070000.0,,645647000.0,-645754000.0,107000.0,0.0,-10577000.0,543784000.0,111908000.0,111908000.0,23310000.0,88598000.0,16659000.0,71939000.0,655692000.0,1235975000.0,1891667000.0,1761759000.0,2023-09-30
20565294.037012,0.035915,570246000.0,572610000.0,572610000.0,1105838000.0,631445000.0,1262517000.0,1142856000.0,511411000.0,553793294.037012,1105838000.0,1384396000.0,,,,,1105838000.0,1105838000.0,1105838000.0,-857000.0,1106695000.0,1106695000.0,58778000.0,39038000.0,1086955000.0,575451000.0,2841000.0,563685000.0,-614000000.0,50315000.0,0.0,8925000.0,511411000.0,121879000.0,121879000.0,22429000.0,99450000.0,18126000.0,81324000.0,633290000.0,1262517000.0,1895807000.0,1801544000.0,2023-12-31
