tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,preferred_stock_dividends,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,impairment_of_capital_assets,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.181,5659000000.0,0.0,0.0,3933000000.0,653000000.0,10897000000.0,5659000000.0,5006000000.0,-105000000.0,171000000.0,66000000.0,3933000000.0,3933000000.0,15988000000.0,4785000000.0,2481200000.0,2365900000.0,1.59,1.63,3863000000.0,70000000.0,3863000000.0,70000000.0,3933000000.0,-26000000.0,3959000000.0,3959000000.0,876000000.0,4835000000.0,155000000.0,155000000.0,0.0,0.0,-105000000.0,171000000.0,66000000.0,4785000000.0,5091000000.0,5091000000.0,9876000000.0,10897000000.0,20773000000.0,20773000000.0,2022-12-31
0.0,0.201,5202000000.0,,,3397000000.0,692000000.0,10404000000.0,5202000000.0,4510000000.0,-139000000.0,222000000.0,83000000.0,3397000000.0,3397000000.0,15820000000.0,4248000000.0,2473200000.0,2359100000.0,1.37,1.41,3328000000.0,,3328000000.0,69000000.0,3397000000.0,-27000000.0,3424000000.0,3424000000.0,864000000.0,4288000000.0,179000000.0,179000000.0,,,-139000000.0,222000000.0,83000000.0,4248000000.0,5416000000.0,5416000000.0,9664000000.0,10404000000.0,20068000000.0,20068000000.0,2023-03-31
0.0,0.198677,5179000000.0,,,3384000000.0,706000000.0,10613000000.0,5179000000.0,4473000000.0,-124000000.0,240000000.0,116000000.0,3384000000.0,3384000000.0,16391000000.0,4162000000.0,2477500000.0,2417142857.0,1.37,1.4,3594000000.0,,3312000000.0,72000000.0,3384000000.0,-8000000.0,3392000000.0,3392000000.0,841000000.0,4233000000.0,195000000.0,195000000.0,,,-124000000.0,240000000.0,116000000.0,4162000000.0,5778000000.0,5778000000.0,9940000000.0,10613000000.0,20553000000.0,20553000000.0,2023-06-30
0.0,0.215,6729000000.0,,,4521000000.0,702000000.0,10501000000.0,6729000000.0,6027000000.0,-97000000.0,225000000.0,128000000.0,4521000000.0,4521000000.0,16105000000.0,5767000000.0,2475200000.0,2360000000.0,1.83,1.89,4450000000.0,,4450000000.0,70000000.0,4521000000.0,-35000000.0,4556000000.0,4556000000.0,1246000000.0,5802000000.0,132000000.0,132000000.0,,,-97000000.0,225000000.0,128000000.0,5766000000.0,5604000000.0,5604000000.0,11370000000.0,10501000000.0,21871000000.0,21871000000.0,2023-09-30
-299043000.0,0.223,6806000000.0,-1341000000.0,-1341000000.0,3468000000.0,721000000.0,10144000000.0,5465000000.0,4744000000.0,-115000000.0,248000000.0,133000000.0,4509957000.0,3468000000.0,15666000000.0,4433000000.0,2468400000.0,2358000000.0,1.4,1.44,3398000000.0,,3398000000.0,70000000.0,3468000000.0,-25000000.0,3493000000.0,3493000000.0,1003000000.0,4496000000.0,-1164000000.0,177000000.0,-1341000000.0,1341000000.0,-115000000.0,248000000.0,133000000.0,5775000000.0,5522000000.0,5522000000.0,11297000000.0,10144000000.0,21441000000.0,21441000000.0,2023-12-31
0.0,0.177,5537000000.0,0.0,0.0,3754000000.0,712000000.0,9855000000.0,5537000000.0,4825000000.0,-129000000.0,233000000.0,104000000.0,3754000000.0,3754000000.0,15735000000.0,4460000000.0,2472000000.0,2360500000.0,1.52,1.56,3685000000.0,,3685000000.0,69000000.0,3754000000.0,-27000000.0,3781000000.0,3781000000.0,812000000.0,4592000000.0,260000000.0,260000000.0,0.0,0.0,-129000000.0,233000000.0,104000000.0,4460000000.0,5880000000.0,5880000000.0,10340000000.0,9855000000.0,20195000000.0,20195000000.0,2024-03-31
