tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,otherunder_preferred_stock_dividend,preferred_stock_dividends,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,write_off,impairment_of_capital_assets,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-303643.724696,0.030364,3144000000.0,-10000000.0,-10000000.0,1155000000.0,1060000000.0,17123000000.0,3134000000.0,2074000000.0,-592000000.0,592000000.0,1164696356.275304,1155000000.0,18695000000.0,1806000000.0,3103200000.0,3090300000.0,0.34,0.34,1049000000.0,0.0,1049000000.0,105000000.0,1000000.0,1155000000.0,-282000000.0,1437000000.0,1437000000.0,45000000.0,1482000000.0,268000000.0,207000000.0,0.0,,,,71000000.0,-10000000.0,-592000000.0,592000000.0,1806000000.0,1572000000.0,1356000000.0,216000000.0,3378000000.0,17123000000.0,20501000000.0,20302000000.0,2022-12-31
-982213.438735,0.046772,3217000000.0,-21000000.0,-21000000.0,1113000000.0,1059000000.0,15669000000.0,3196000000.0,2137000000.0,-619000000.0,619000000.0,1133017786.561265,1113000000.0,16932000000.0,2062000000.0,3115400000.0,3095500000.0,0.32,0.32,1003000000.0,,1003000000.0,109000000.0,1000000.0,1113000000.0,-334000000.0,1447000000.0,1447000000.0,71000000.0,1518000000.0,74000000.0,7000000.0,-1000000.0,,1000000.0,,88000000.0,-20000000.0,-619000000.0,619000000.0,2063000000.0,1263000000.0,1025000000.0,238000000.0,3326000000.0,15669000000.0,18995000000.0,18768000000.0,2023-03-31
2013422.818792,0.080537,3018000000.0,25000000.0,25000000.0,911000000.0,1061000000.0,15153000000.0,3043000000.0,1982000000.0,-641000000.0,641000000.0,888013422.818792,911000000.0,16475000000.0,1835000000.0,3148200000.0,3126900000.0,0.25,0.25,797000000.0,0.0,797000000.0,113000000.0,1000000.0,911000000.0,-322000000.0,1233000000.0,1233000000.0,108000000.0,1341000000.0,137000000.0,17000000.0,-10000000.0,,,10000000.0,95000000.0,35000000.0,-641000000.0,641000000.0,1845000000.0,1322000000.0,1094000000.0,228000000.0,3167000000.0,15153000000.0,18320000000.0,18052000000.0,2023-06-30
-40692170.818505,0.068505,3457000000.0,-594000000.0,-594000000.0,584000000.0,1107000000.0,17166000000.0,2863000000.0,1756000000.0,-632000000.0,632000000.0,1137307829.181495,584000000.0,18505000000.0,2233000000.0,3167700000.0,3144000000.0,0.15,0.15,465000000.0,-1000000.0,466000000.0,118000000.0,,584000000.0,-463000000.0,1047000000.0,1047000000.0,77000000.0,1124000000.0,-478000000.0,13000000.0,-626000000.0,625000000.0,,1000000.0,103000000.0,32000000.0,-632000000.0,632000000.0,2234000000.0,1339000000.0,1105000000.0,234000000.0,3573000000.0,17166000000.0,20739000000.0,20452000000.0,2023-09-30
-320322.180917,0.02912,3469000000.0,-11000000.0,-11000000.0,1327000000.0,1158000000.0,16938000000.0,3458000000.0,2300000000.0,-686000000.0,686000000.0,1337679677.819083,1327000000.0,18367000000.0,2165000000.0,,,,,1204000000.0,1000000.0,1203000000.0,123000000.0,1000000.0,1327000000.0,-240000000.0,1567000000.0,1567000000.0,47000000.0,1614000000.0,135000000.0,49000000.0,0.0,0.0,,0.0,97000000.0,-11000000.0,-686000000.0,686000000.0,2165000000.0,1429000000.0,1144000000.0,285000000.0,3594000000.0,16938000000.0,20532000000.0,20253000000.0,2023-12-31
